FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-190.995089;-;-;-;-17.341467;-15.665937;-;
0;-;0.300000;-196.439045;-;-;-;-17.341467;-15.665937;-;
0;-;0.500000;-200.068349;-;-;-;-17.341467;-15.665937;-;
0;-;0.700000;-203.697653;-;-;-;-17.341467;-15.665937;-;
0;-;1.000000;-209.141609;-;-;-;-17.341467;-15.665937;-;
1;0;0.000000;-192.873225;-;-;-;-17.341467;-15.665937;-;
1;1;0.500000;-199.171893;-;-;-;-17.341467;-15.665937;-;
1;1;2.000000;-196.648169;-;-;-;-17.341467;-15.665937;-;
1;1;5.000000;-193.191757;-;-;-;-17.341467;-15.665937;-;
1;1;10.000000;-191.332880;-;-;-;-17.341467;-15.665937;-;
1;2;0.500000;-193.321023;-;-;-;-17.341467;-15.665937;-;
1;2;2.000000;-194.919148;-;-;-;-17.341467;-15.665937;-;
1;2;5.000000;-198.375769;-;-;-;-17.341467;-15.665937;-;
1;2;10.000000;-202.695914;-;-;-;-17.341467;-15.665937;-;
1;3;0.500000;-192.480766;-;-;-;-17.341467;-15.665937;-;
1;3;2.000000;-191.648286;-;-;-;-17.341467;-15.665937;-;
1;3;5.000000;-191.078528;-;-;-;-17.341467;-15.665937;-;
1;3;10.000000;-190.996584;-;-;-;-17.341467;-15.665937;-;
1;4;2.000000;-194.556976;-;-;-;-17.341467;-15.665937;-;
1;4;5.000000;-198.632916;-;-;-;-17.341467;-15.665937;-;
1;4;10.000000;-203.056000;-;-;-;-17.341467;-15.665937;-;
1;5;2.000000;-191.189473;-;-;-;-17.341467;-15.665937;-;
1;5;5.000000;-190.995304;-;-;-;-17.341467;-15.665937;-;
1;5;10.000000;-190.995089;-;-;-;-17.341467;-15.665937;-;
2;0;0/0.000000;-201.852878;0.000098;0.558660;1.000104;-17.341467;-15.871915;0.000001;
2;1;-1/1.000000;-201.547165;0.000103;0.570217;1.000075;-17.341467;-15.867883;0.000001;
2;2;-1/0.500000;-201.787411;0.000100;0.552524;1.000091;-17.341467;-15.870839;0.000001;
2;2;-1/2.000000;-201.589614;0.000108;0.533382;1.000091;-17.341467;-15.868076;0.000001;
2;2;-1/5.000000;-201.183505;0.000125;0.549246;1.000118;-17.341467;-15.862311;0.000001;
2;2;-1/10.000000;-200.419655;0.000178;0.437792;1.000289;-17.341467;-15.848568;0.000001;
2;2;-1/20.000000;-198.586754;0.000335;0.274142;1.000269;-17.341467;-15.811357;0.000001;
2;2;-1/40.000000;-195.507540;0.000307;0.155626;1.000220;-17.341467;-15.749412;0.000000;
2;2;-1/80.000000;-193.272543;0.000094;0.124097;1.000230;-17.341467;-15.707828;0.000000;
2;3;-1/1.000000;-201.149474;0.000111;0.542867;1.000172;-17.341467;-15.862690;0.000001;
2;3;-1/2.000000;-200.856142;0.000118;0.508206;1.000215;-17.341467;-15.857554;0.000001;
2;3;-1/5.000000;-199.972898;0.000154;0.419512;1.000261;-17.341467;-15.840778;0.000001;
2;3;-1/10.000000;-198.598824;0.000209;0.305063;1.000089;-17.341467;-15.811491;0.000001;
2;3;-1/20.000000;-196.516779;0.000223;0.205660;1.000177;-17.341467;-15.768940;0.000000;
2;4;-1/1.000000;-201.534543;0.000102;0.545192;1.000103;-17.341467;-15.867603;0.000001;
2;4;-1/2.000000;-201.694457;0.000102;0.554863;1.000125;-17.341467;-15.869343;0.000001;
2;4;-1/5.000000;-201.788451;0.000099;0.562994;1.000122;-17.341467;-15.871287;0.000001;
2;4;-1/10.000000;-201.814940;0.000100;0.572839;1.000136;-17.341467;-15.871935;0.000001;
2;4;-1/20.000000;-201.840683;0.000098;0.554413;1.000121;-17.341467;-15.871767;0.000001;

