FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-297.104360;-;-;-;-165.063158;-161.779908;-;
0;-;0.300000;-299.807466;-;-;-;-165.063158;-161.779908;-;
0;-;0.500000;-301.609537;-;-;-;-165.063158;-161.779908;-;
0;-;0.700000;-303.411607;-;-;-;-165.063158;-161.779908;-;
0;-;1.000000;-306.114713;-;-;-;-165.063158;-161.779908;-;
1;0;0.000000;-301.634254;-;-;-;-165.063158;-161.779908;-;
1;1;0.500000;-301.612626;-;-;-;-165.063158;-161.779908;-;
1;1;2.000000;-301.621895;-;-;-;-165.063158;-161.779908;-;
1;1;5.000000;-301.640433;-;-;-;-165.063158;-161.779908;-;
1;1;10.000000;-301.671326;-;-;-;-165.063158;-161.779908;-;
1;2;0.500000;-302.194214;-;-;-;-165.063158;-161.779908;-;
1;2;2.000000;-303.712431;-;-;-;-165.063158;-161.779908;-;
1;2;5.000000;-305.441348;-;-;-;-165.063158;-161.779908;-;
1;2;10.000000;-306.056051;-;-;-;-165.063158;-161.779908;-;
1;3;0.500000;-301.073783;-;-;-;-165.063158;-161.779908;-;
1;3;2.000000;-299.548708;-;-;-;-165.063158;-161.779908;-;
1;3;5.000000;-297.798153;-;-;-;-165.063158;-161.779908;-;
1;3;10.000000;-297.166354;-;-;-;-165.063158;-161.779908;-;
1;4;2.000000;-303.886774;-;-;-;-165.063158;-161.779908;-;
1;4;5.000000;-305.840779;-;-;-;-165.063158;-161.779908;-;
1;4;10.000000;-306.106385;-;-;-;-165.063158;-161.779908;-;
1;5;2.000000;-299.381733;-;-;-;-165.063158;-161.779908;-;
1;5;5.000000;-297.393743;-;-;-;-165.063158;-161.779908;-;
1;5;10.000000;-297.113654;-;-;-;-165.063158;-161.779908;-;
2;0;0/0.000000;-301.288410;0.000028;0.532833;1.000136;-165.063158;-162.105202;0.000004;
2;1;-1/1.000000;-301.288525;0.000028;0.527641;1.000128;-165.063158;-162.105715;0.000004;
2;2;-1/0.500000;-301.288969;0.000028;0.529841;1.000135;-165.063158;-162.105176;0.000004;
2;2;-1/2.000000;-301.289592;0.000028;0.527376;1.000129;-165.063158;-162.105900;0.000004;
2;2;-1/5.000000;-301.290803;0.000028;0.531569;1.000138;-165.063158;-162.106201;0.000004;
2;2;-1/10.000000;-301.292407;0.000028;0.533139;1.000123;-165.063158;-162.105888;0.000004;
2;2;-1/20.000000;-301.297772;0.000029;0.521641;1.000140;-165.063158;-162.105980;0.000004;
2;2;-1/40.000000;-301.308382;0.000028;0.539930;1.000112;-165.063158;-162.106735;0.000004;
2;2;-1/80.000000;-301.327243;0.000028;0.552628;1.000130;-165.063158;-162.106011;0.000004;
2;3;-1/1.000000;-301.476403;0.000028;0.575861;1.000113;-165.063158;-162.107934;0.000004;
2;3;-1/2.000000;-301.479383;0.000028;0.577260;1.000128;-165.063158;-162.107637;0.000004;
2;3;-1/5.000000;-301.482066;0.000028;0.574061;1.000128;-165.063158;-162.107792;0.000004;
2;3;-1/10.000000;-301.486985;0.000028;0.575596;1.000127;-165.063158;-162.107305;0.000004;
2;3;-1/20.000000;-301.497997;0.000028;0.575379;1.000096;-165.063158;-162.107456;0.000004;
2;4;-1/1.000000;-301.288859;0.000027;0.534491;1.000148;-165.063158;-162.105319;0.000004;
2;4;-1/2.000000;-301.289004;0.000028;0.527560;1.000116;-165.063158;-162.105505;0.000004;
2;4;-1/5.000000;-301.288127;0.000028;0.528464;1.000177;-165.063158;-162.105556;0.000004;
2;4;-1/10.000000;-301.288190;0.000028;0.527759;1.000134;-165.063158;-162.105582;0.000004;
2;4;-1/20.000000;-301.289265;0.000028;0.522541;1.000146;-165.063158;-162.105246;0.000004;

