FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-190.045991;-;-;-;-40.377778;-37.811498;-;
0;-;0.300000;-193.323428;-;-;-;-40.377778;-37.811498;-;
0;-;0.500000;-195.508386;-;-;-;-40.377778;-37.811498;-;
0;-;0.700000;-197.693345;-;-;-;-40.377778;-37.811498;-;
0;-;1.000000;-200.970782;-;-;-;-40.377778;-37.811498;-;
1;0;0.000000;-191.764895;-;-;-;-40.377778;-37.811498;-;
1;1;0.500000;-195.041591;-;-;-;-40.377778;-37.811498;-;
1;1;2.000000;-193.706614;-;-;-;-40.377778;-37.811498;-;
1;1;5.000000;-191.714600;-;-;-;-40.377778;-37.811498;-;
1;1;10.000000;-190.389842;-;-;-;-40.377778;-37.811498;-;
1;2;0.500000;-192.146573;-;-;-;-40.377778;-37.811498;-;
1;2;2.000000;-193.457075;-;-;-;-40.377778;-37.811498;-;
1;2;5.000000;-196.036591;-;-;-;-40.377778;-37.811498;-;
1;2;10.000000;-198.706033;-;-;-;-40.377778;-37.811498;-;
1;3;0.500000;-191.424337;-;-;-;-40.377778;-37.811498;-;
1;3;2.000000;-190.678355;-;-;-;-40.377778;-37.811498;-;
1;3;5.000000;-190.134637;-;-;-;-40.377778;-37.811498;-;
1;3;10.000000;-190.047887;-;-;-;-40.377778;-37.811498;-;
1;4;2.000000;-193.213346;-;-;-;-40.377778;-37.811498;-;
1;4;5.000000;-196.329096;-;-;-;-40.377778;-37.811498;-;
1;4;10.000000;-198.998639;-;-;-;-40.377778;-37.811498;-;
1;5;2.000000;-190.316443;-;-;-;-40.377778;-37.811498;-;
1;5;5.000000;-190.047045;-;-;-;-40.377778;-37.811498;-;
1;5;10.000000;-190.045991;-;-;-;-40.377778;-37.811498;-;
2;0;0/0.000000;-197.450972;0.000053;0.334376;1.000315;-40.377778;-38.026103;0.000003;
2;1;-1/1.000000;-197.282747;0.000058;0.332834;1.000140;-40.377778;-38.018352;0.000002;
2;2;-1/0.500000;-197.425402;0.000059;0.320968;1.000151;-40.377778;-38.025642;0.000003;
2;2;-1/2.000000;-197.317160;0.000059;0.318362;1.000153;-40.377778;-38.019885;0.000003;
2;2;-1/5.000000;-197.108898;0.000067;0.319544;1.000128;-40.377778;-38.009390;0.000002;
2;2;-1/10.000000;-196.704613;0.000081;0.266823;1.000189;-40.377778;-37.994030;0.000002;
2;2;-1/20.000000;-195.763758;0.000123;0.140451;1.000191;-40.377778;-37.960071;0.000001;
2;2;-1/40.000000;-193.957478;0.000154;0.039898;1.000312;-40.377778;-37.905667;0.000001;
2;2;-1/80.000000;-192.202382;0.000137;0.008146;1.001255;-40.377778;-37.860928;0.000000;
2;3;-1/1.000000;-196.975531;0.000057;0.312463;1.000120;-40.377778;-38.005004;0.000002;
2;3;-1/2.000000;-196.774700;0.000060;0.276895;1.000107;-40.377778;-37.997301;0.000002;
2;3;-1/5.000000;-196.219067;0.000068;0.219330;1.000032;-40.377778;-37.974329;0.000001;
2;3;-1/10.000000;-195.423542;0.000077;0.127639;1.000087;-40.377778;-37.946921;0.000001;
2;3;-1/20.000000;-194.235483;0.000081;0.049999;1.000372;-40.377778;-37.912787;0.000001;
2;4;-1/1.000000;-197.250026;0.000056;0.332832;1.000117;-40.377778;-38.015991;0.000002;
2;4;-1/2.000000;-197.352074;0.000055;0.327027;1.000072;-40.377778;-38.021567;0.000003;
2;4;-1/5.000000;-197.407849;0.000055;0.313290;1.000242;-40.377778;-38.023972;0.000003;
2;4;-1/10.000000;-197.430628;0.000055;0.328604;1.000370;-40.377778;-38.024745;0.000003;
2;4;-1/20.000000;-197.445374;0.000054;0.319511;1.000212;-40.377778;-38.025986;0.000003;

