FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.228106;0.000304;0.520778;1.000014;104.908187;109.224812;0.000023;
2;1;-1/1.000000;-1786.029159;0.000302;0.544941;1.000058;104.908187;109.233790;0.000022;
2;2;-1/0.500000;-1786.176310;0.000307;0.541732;1.000059;104.908187;109.227565;0.000023;
2;2;-1/2.000000;-1786.007123;0.000321;0.543501;1.000080;104.908187;109.235520;0.000022;
2;2;-1/5.000000;-1785.696771;0.000327;0.541361;1.000066;104.908187;109.242903;0.000022;
2;2;-1/10.000000;-1785.142485;0.000340;0.527643;1.000048;104.908187;109.266619;0.000021;
2;2;-1/20.000000;-1783.985948;0.000395;0.467102;1.000169;104.908187;109.300848;0.000020;
2;2;-1/40.000000;-1781.936328;0.000350;0.362381;1.000157;104.908187;109.318013;0.000021;
2;2;-1/80.000000;-1779.617844;0.000181;0.248293;1.000098;104.908187;109.222679;0.000028;
2;3;-1/1.000000;-1785.398718;0.000305;0.539264;1.000089;104.908187;109.261117;0.000021;
2;3;-1/2.000000;-1785.216842;0.000312;0.532568;1.000087;104.908187;109.266180;0.000021;
2;3;-1/5.000000;-1784.672413;0.000315;0.517267;1.000169;104.908187;109.287342;0.000020;
2;3;-1/10.000000;-1783.816414;0.000313;0.490498;1.000088;104.908187;109.310847;0.000020;
2;3;-1/20.000000;-1782.372669;0.000293;0.395854;1.000144;104.908187;109.330481;0.000019;
2;4;-1/1.000000;-1786.028034;0.000304;0.548021;1.000054;104.908187;109.231718;0.000022;
2;4;-1/2.000000;-1786.137786;0.000309;0.537805;1.000051;104.908187;109.230807;0.000022;
2;4;-1/5.000000;-1786.198275;0.000301;0.540177;1.000086;104.908187;109.229461;0.000024;
2;4;-1/10.000000;-1786.202902;0.000311;0.531006;1.000069;104.908187;109.223241;0.000023;
2;4;-1/20.000000;-1786.214539;0.000292;0.539274;1.000054;104.908187;109.223131;0.000022;

