FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-605.776403;-;-;-;-44.800000;-42.560000;-;
0;-;0.300000;-609.464192;-;-;-;-44.800000;-42.560000;-;
0;-;0.500000;-611.922717;-;-;-;-44.800000;-42.560000;-;
0;-;0.700000;-614.381243;-;-;-;-44.800000;-42.560000;-;
0;-;1.000000;-618.069032;-;-;-;-44.800000;-42.560000;-;
1;0;0.000000;-608.234929;-;-;-;-44.800000;-42.560000;-;
1;1;0.500000;-611.462606;-;-;-;-44.800000;-42.560000;-;
1;1;2.000000;-610.132219;-;-;-;-44.800000;-42.560000;-;
1;1;5.000000;-608.018892;-;-;-;-44.800000;-42.560000;-;
1;1;10.000000;-606.359392;-;-;-;-44.800000;-42.560000;-;
1;2;0.500000;-608.749439;-;-;-;-44.800000;-42.560000;-;
1;2;2.000000;-610.463345;-;-;-;-44.800000;-42.560000;-;
1;2;5.000000;-613.599538;-;-;-;-44.800000;-42.560000;-;
1;2;10.000000;-616.405888;-;-;-;-44.800000;-42.560000;-;
1;3;0.500000;-607.769288;-;-;-;-44.800000;-42.560000;-;
1;3;2.000000;-606.722680;-;-;-;-44.800000;-42.560000;-;
1;3;5.000000;-605.919689;-;-;-;-44.800000;-42.560000;-;
1;3;10.000000;-605.779969;-;-;-;-44.800000;-42.560000;-;
1;4;2.000000;-610.201750;-;-;-;-44.800000;-42.560000;-;
1;4;5.000000;-614.040983;-;-;-;-44.800000;-42.560000;-;
1;4;10.000000;-616.749121;-;-;-;-44.800000;-42.560000;-;
1;5;2.000000;-606.268108;-;-;-;-44.800000;-42.560000;-;
1;5;5.000000;-605.780337;-;-;-;-44.800000;-42.560000;-;
1;5;10.000000;-605.776405;-;-;-;-44.800000;-42.560000;-;
2;0;0/0.000000;-612.826703;0.000077;0.889500;1.000207;-44.800000;-42.995721;0.000003;
2;1;-1/1.000000;-612.513690;0.000077;0.882542;1.000250;-44.800000;-42.981338;0.000003;
2;2;-1/0.500000;-612.754069;0.000079;0.886850;1.000209;-44.800000;-42.992240;0.000003;
2;2;-1/2.000000;-612.539448;0.000080;0.879908;1.000250;-44.800000;-42.982306;0.000003;
2;2;-1/5.000000;-612.106088;0.000083;0.854012;1.000193;-44.800000;-42.961033;0.000003;
2;2;-1/10.000000;-611.391345;0.000088;0.763510;1.000126;-44.800000;-42.923904;0.000003;
2;2;-1/20.000000;-610.089887;0.000100;0.588913;1.000069;-44.800000;-42.845493;0.000002;
2;2;-1/40.000000;-608.320630;0.000069;0.445037;1.000024;-44.800000;-42.728007;0.000001;
2;2;-1/80.000000;-607.059041;0.000019;0.433123;1.000018;-44.800000;-42.644485;0.000000;
2;3;-1/1.000000;-611.979122;0.000072;0.853046;1.000173;-44.800000;-42.956315;0.000003;
2;3;-1/2.000000;-611.714746;0.000070;0.828614;1.000115;-44.800000;-42.943411;0.000003;
2;3;-1/5.000000;-611.047816;0.000069;0.758997;1.000121;-44.800000;-42.906923;0.000003;
2;3;-1/10.000000;-610.181355;0.000071;0.650891;1.000105;-44.800000;-42.853003;0.000002;
2;3;-1/20.000000;-608.978678;0.000063;0.529733;1.000015;-44.800000;-42.771762;0.000001;
2;4;-1/1.000000;-612.479834;0.000075;0.881323;1.000261;-44.800000;-42.979858;0.000003;
2;4;-1/2.000000;-612.648146;0.000077;0.885406;1.000218;-44.800000;-42.987364;0.000003;
2;4;-1/5.000000;-612.752839;0.000078;0.889359;1.000221;-44.800000;-42.992387;0.000003;
2;4;-1/10.000000;-612.789376;0.000078;0.888991;1.000210;-44.800000;-42.993999;0.000003;
2;4;-1/20.000000;-612.808731;0.000077;0.890707;1.000216;-44.800000;-42.994911;0.000003;

