FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-811.346562;-807.686847;0.000010;
2;1;-1/1.000000;-1003.013800;0.000015;0.397933;1.000135;-811.346562;-807.679691;0.000010;
2;2;-1/0.500000;-1003.001944;0.000015;0.385063;1.000064;-811.346562;-807.683885;0.000010;
2;2;-1/2.000000;-1003.015565;0.000014;0.397386;1.000180;-811.346562;-807.676296;0.000009;
2;2;-1/5.000000;-1003.049154;0.000013;0.408945;1.000121;-811.346562;-807.661577;0.000009;
2;2;-1/10.000000;-1003.091611;0.000011;0.402016;1.000057;-811.346562;-807.642184;0.000008;
2;2;-1/20.000000;-1003.172130;0.000008;0.396719;1.000077;-811.346562;-807.603621;0.000007;
2;2;-1/40.000000;-1003.294688;0.000005;0.324641;1.000132;-811.346562;-807.550085;0.000006;
2;2;-1/80.000000;-1003.452033;0.000004;0.195499;1.000281;-811.346562;-807.482902;0.000008;
2;3;-1/1.000000;-1003.071546;0.000011;0.396075;1.000001;-811.346562;-807.649786;0.000008;
2;3;-1/2.000000;-1003.078107;0.000011;0.390831;1.000075;-811.346562;-807.645159;0.000008;
2;3;-1/5.000000;-1003.111892;0.000010;0.403544;1.000194;-811.346562;-807.632178;0.000007;
2;3;-1/10.000000;-1003.166879;0.000008;0.374995;1.000033;-811.346562;-807.604736;0.000007;
2;3;-1/20.000000;-1003.248075;0.000006;0.352577;1.000028;-811.346562;-807.568436;0.000006;
2;4;-1/1.000000;-1003.010267;0.000014;0.393619;1.000176;-811.346562;-807.679524;0.000009;
2;4;-1/2.000000;-1003.006769;0.000014;0.405463;1.000064;-811.346562;-807.680384;0.000009;
2;4;-1/5.000000;-1002.999691;0.000015;0.393847;1.000100;-811.346562;-807.685337;0.000010;
2;4;-1/10.000000;-1002.995023;0.000015;0.392202;1.000041;-811.346562;-807.688942;0.000010;
2;4;-1/20.000000;-1002.998649;0.000015;0.376893;1.000103;-811.346562;-807.686132;0.000010;

