FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.543688;-;-;-;-30.750000;-29.212000;-;
0;-;0.300000;-432.969731;-;-;-;-30.750000;-29.212000;-;
0;-;0.500000;-433.920427;-;-;-;-30.750000;-29.212000;-;
0;-;0.700000;-434.871123;-;-;-;-30.750000;-29.212000;-;
0;-;1.000000;-436.297167;-;-;-;-30.750000;-29.212000;-;
1;0;0.000000;-432.494074;-;-;-;-30.750000;-29.212000;-;
1;1;0.500000;-433.742467;-;-;-;-30.750000;-29.212000;-;
1;1;2.000000;-433.227912;-;-;-;-30.750000;-29.212000;-;
1;1;5.000000;-432.410613;-;-;-;-30.750000;-29.212000;-;
1;1;10.000000;-431.768986;-;-;-;-30.750000;-29.212000;-;
1;2;0.500000;-432.692986;-;-;-;-30.750000;-29.212000;-;
1;2;2.000000;-433.355618;-;-;-;-30.750000;-29.212000;-;
1;2;5.000000;-434.568270;-;-;-;-30.750000;-29.212000;-;
1;2;10.000000;-435.653621;-;-;-;-30.750000;-29.212000;-;
1;3;0.500000;-432.314060;-;-;-;-30.750000;-29.212000;-;
1;3;2.000000;-431.909462;-;-;-;-30.750000;-29.212000;-;
1;3;5.000000;-431.599067;-;-;-;-30.750000;-29.212000;-;
1;3;10.000000;-431.545065;-;-;-;-30.750000;-29.212000;-;
1;4;2.000000;-433.254446;-;-;-;-30.750000;-29.212000;-;
1;4;5.000000;-434.738914;-;-;-;-30.750000;-29.212000;-;
1;4;10.000000;-435.786351;-;-;-;-30.750000;-29.212000;-;
1;5;2.000000;-431.733703;-;-;-;-30.750000;-29.212000;-;
1;5;5.000000;-431.545206;-;-;-;-30.750000;-29.212000;-;
1;5;10.000000;-431.543688;-;-;-;-30.750000;-29.212000;-;
2;0;0/0.000000;-434.433980;0.000014;0.904520;1.000071;-30.750000;-29.471816;0.000001;
2;1;-1/1.000000;-434.277793;0.000015;0.926261;1.000080;-30.750000;-29.463903;0.000001;
2;2;-1/0.500000;-434.399495;0.000014;0.899715;1.000081;-30.750000;-29.470078;0.000001;
2;2;-1/2.000000;-434.292901;0.000015;0.926535;1.000085;-30.750000;-29.464468;0.000001;
2;2;-1/5.000000;-434.062547;0.000016;0.879078;1.000109;-30.750000;-29.450819;0.000001;
2;2;-1/10.000000;-433.665541;0.000016;0.921514;1.000178;-30.750000;-29.425762;0.000001;
2;2;-1/20.000000;-433.038329;0.000010;0.885736;1.000058;-30.750000;-29.378462;0.000001;
2;2;-1/40.000000;-432.455224;0.000005;0.608269;1.000068;-30.750000;-29.319540;0.000000;
2;2;-1/80.000000;-432.036019;0.000002;0.387315;1.000123;-30.750000;-29.269272;0.000000;
2;3;-1/1.000000;-433.982783;0.000014;0.883296;1.000112;-30.750000;-29.447334;0.000001;
2;3;-1/2.000000;-433.835626;0.000014;0.930392;1.000128;-30.750000;-29.438024;0.000001;
2;3;-1/5.000000;-433.474057;0.000012;0.918631;1.000157;-30.750000;-29.413747;0.000001;
2;3;-1/10.000000;-433.083017;0.000008;0.897028;1.000072;-30.750000;-29.384414;0.000001;
2;3;-1/20.000000;-432.674113;0.000005;0.760501;1.000062;-30.750000;-29.345212;0.000000;
2;4;-1/1.000000;-434.256542;0.000014;0.930132;1.000079;-30.750000;-29.463302;0.000001;
2;4;-1/2.000000;-434.344063;0.000014;0.910921;1.000079;-30.750000;-29.467724;0.000001;
2;4;-1/5.000000;-434.397548;0.000014;0.899644;1.000077;-30.750000;-29.470312;0.000001;
2;4;-1/10.000000;-434.415671;0.000014;0.899512;1.000075;-30.750000;-29.471101;0.000001;
2;4;-1/20.000000;-434.424813;0.000014;0.905618;1.000072;-30.750000;-29.471471;0.000001;

