FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-811.346562;-807.686045;0.000010;
2;1;-1/1.000000;-1003.021912;0.000013;0.409877;1.000093;-811.346562;-807.674499;0.000009;
2;2;-1/0.500000;-1003.003882;0.000015;0.397714;1.000096;-811.346562;-807.684005;0.000010;
2;2;-1/2.000000;-1003.021471;0.000014;0.394378;1.000152;-811.346562;-807.674679;0.000009;
2;2;-1/5.000000;-1003.050968;0.000012;0.402950;1.000044;-811.346562;-807.659798;0.000009;
2;2;-1/10.000000;-1003.095567;0.000011;0.391798;1.000074;-811.346562;-807.639544;0.000008;
2;2;-1/20.000000;-1003.175126;0.000008;0.399072;1.000131;-811.346562;-807.602500;0.000007;
2;2;-1/40.000000;-1003.298531;0.000005;0.320835;1.000236;-811.346562;-807.550479;0.000006;
2;2;-1/80.000000;-1003.453934;0.000004;0.193679;1.000204;-811.346562;-807.482889;0.000008;
2;3;-1/1.000000;-1003.071652;0.000011;0.384587;1.000242;-811.346562;-807.649548;0.000008;
2;3;-1/2.000000;-1003.084764;0.000011;0.405764;1.000120;-811.346562;-807.645966;0.000008;
2;3;-1/5.000000;-1003.117812;0.000009;0.397316;1.000263;-811.346562;-807.629021;0.000007;
2;3;-1/10.000000;-1003.169632;0.000008;0.399644;1.000097;-811.346562;-807.604083;0.000006;
2;3;-1/20.000000;-1003.249582;0.000006;0.354436;1.000285;-811.346562;-807.568531;0.000006;
2;4;-1/1.000000;-1003.014356;0.000014;0.386201;1.000220;-811.346562;-807.679207;0.000010;
2;4;-1/2.000000;-1003.007499;0.000014;0.397951;1.000107;-811.346562;-807.681343;0.000010;
2;4;-1/5.000000;-1003.002556;0.000015;0.400264;1.000166;-811.346562;-807.684182;0.000010;
2;4;-1/10.000000;-1003.003590;0.000014;0.398187;1.000156;-811.346562;-807.683804;0.000010;
2;4;-1/20.000000;-1003.003319;0.000015;0.399198;1.000189;-811.346562;-807.684084;0.000009;

