FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-139.400065;-;-;-;-6.123288;-4.484818;-;
0;-;0.300000;-143.993393;-;-;-;-6.123288;-4.484818;-;
0;-;0.500000;-147.055612;-;-;-;-6.123288;-4.484818;-;
0;-;0.700000;-150.117830;-;-;-;-6.123288;-4.484818;-;
0;-;1.000000;-154.711158;-;-;-;-6.123288;-4.484818;-;
1;0;0.000000;-139.972271;-;-;-;-6.123288;-4.484818;-;
1;1;0.500000;-146.174121;-;-;-;-6.123288;-4.484818;-;
1;1;2.000000;-143.746703;-;-;-;-6.123288;-4.484818;-;
1;1;5.000000;-140.778684;-;-;-;-6.123288;-4.484818;-;
1;1;10.000000;-139.548524;-;-;-;-6.123288;-4.484818;-;
1;2;0.500000;-140.120443;-;-;-;-6.123288;-4.484818;-;
1;2;2.000000;-140.675344;-;-;-;-6.123288;-4.484818;-;
1;2;5.000000;-142.027392;-;-;-;-6.123288;-4.484818;-;
1;2;10.000000;-144.174745;-;-;-;-6.123288;-4.484818;-;
1;3;0.500000;-139.845237;-;-;-;-6.123288;-4.484818;-;
1;3;2.000000;-139.586050;-;-;-;-6.123288;-4.484818;-;
1;3;5.000000;-139.421405;-;-;-;-6.123288;-4.484818;-;
1;3;10.000000;-139.400380;-;-;-;-6.123288;-4.484818;-;
1;4;2.000000;-140.523092;-;-;-;-6.123288;-4.484818;-;
1;4;5.000000;-142.055094;-;-;-;-6.123288;-4.484818;-;
1;4;10.000000;-144.249725;-;-;-;-6.123288;-4.484818;-;
1;5;2.000000;-139.421449;-;-;-;-6.123288;-4.484818;-;
1;5;5.000000;-139.400066;-;-;-;-6.123288;-4.484818;-;
1;5;10.000000;-139.400065;-;-;-;-6.123288;-4.484818;-;
2;0;0/0.000000;-147.162076;0.000124;0.276015;1.000536;-6.123288;-4.615919;0.000001;
2;1;-1/1.000000;-146.803644;0.000101;0.239557;1.000562;-6.123288;-4.616660;0.000001;
2;2;-1/0.500000;-147.065846;0.000121;0.261955;1.000399;-6.123288;-4.616399;0.000001;
2;2;-1/2.000000;-146.838932;0.000112;0.253170;1.000558;-6.123288;-4.616866;0.000001;
2;2;-1/5.000000;-146.418459;0.000098;0.262821;1.000501;-6.123288;-4.617069;0.000001;
2;2;-1/10.000000;-145.879120;0.000095;0.228234;1.000435;-6.123288;-4.615613;0.000001;
2;2;-1/20.000000;-145.040537;0.000138;0.155459;1.000284;-6.123288;-4.608206;0.000001;
2;2;-1/40.000000;-143.619505;0.000236;0.068752;1.000629;-6.123288;-4.581614;0.000001;
2;2;-1/80.000000;-141.815301;0.000242;0.019875;1.002484;-6.123288;-4.540134;0.000000;
2;3;-1/1.000000;-146.498423;0.000087;0.268169;1.000384;-6.123288;-4.617677;0.000001;
2;3;-1/2.000000;-146.284508;0.000083;0.246945;1.000289;-6.123288;-4.617061;0.000001;
2;3;-1/5.000000;-145.776910;0.000079;0.234501;1.000469;-6.123288;-4.615881;0.000001;
2;3;-1/10.000000;-145.177260;0.000102;0.180315;1.000410;-6.123288;-4.611035;0.000001;
2;3;-1/20.000000;-144.212746;0.000149;0.105580;1.000569;-6.123288;-4.594464;0.000001;
2;4;-1/1.000000;-146.798711;0.000101;0.248309;1.000414;-6.123288;-4.616765;0.000001;
2;4;-1/2.000000;-146.966666;0.000108;0.266851;1.000419;-6.123288;-4.616799;0.000001;
2;4;-1/5.000000;-147.066830;0.000120;0.283080;1.000397;-6.123288;-4.616062;0.000001;
2;4;-1/10.000000;-147.116982;0.000124;0.273893;1.000642;-6.123288;-4.616305;0.000001;
2;4;-1/20.000000;-147.138876;0.000123;0.271202;1.000699;-6.123288;-4.616406;0.000001;

