FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.249151;0.000297;0.529421;1.000156;104.908187;109.220129;0.000023;
2;1;-1/1.000000;-1786.028259;0.000308;0.516455;1.000082;104.908187;109.233981;0.000024;
2;2;-1/0.500000;-1786.186500;0.000302;0.531711;1.000160;104.908187;109.225086;0.000023;
2;2;-1/2.000000;-1786.031088;0.000304;0.541744;1.000079;104.908187;109.231004;0.000023;
2;2;-1/5.000000;-1785.702052;0.000315;0.525214;1.000065;104.908187;109.247518;0.000023;
2;2;-1/10.000000;-1785.137341;0.000345;0.496372;1.000100;104.908187;109.268570;0.000023;
2;2;-1/20.000000;-1783.999889;0.000370;0.477670;1.000112;104.908187;109.301326;0.000020;
2;2;-1/40.000000;-1781.964822;0.000351;0.349008;1.000135;104.908187;109.321821;0.000020;
2;2;-1/80.000000;-1779.628309;0.000180;0.248110;1.000196;104.908187;109.229487;0.000028;
2;3;-1/1.000000;-1785.423507;0.000305;0.542913;1.000133;104.908187;109.261872;0.000022;
2;3;-1/2.000000;-1785.227534;0.000310;0.525945;1.000104;104.908187;109.269935;0.000021;
2;3;-1/5.000000;-1784.669752;0.000315;0.530890;1.000090;104.908187;109.287947;0.000020;
2;3;-1/10.000000;-1783.821912;0.000316;0.481967;1.000112;104.908187;109.313256;0.000019;
2;3;-1/20.000000;-1782.400479;0.000295;0.376810;1.000167;104.908187;109.333447;0.000019;
2;4;-1/1.000000;-1786.040359;0.000294;0.526888;1.000038;104.908187;109.232653;0.000023;
2;4;-1/2.000000;-1786.148592;0.000302;0.531427;1.000082;104.908187;109.225202;0.000022;
2;4;-1/5.000000;-1786.210203;0.000296;0.539654;1.000013;104.908187;109.222480;0.000023;
2;4;-1/10.000000;-1786.220095;0.000299;0.517101;1.000038;104.908187;109.222279;0.000024;
2;4;-1/20.000000;-1786.226999;0.000293;0.531340;1.000015;104.908187;109.225134;0.000023;

