FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-131.619403;-;-;-;-296.952587;-292.675777;-;
0;-;0.300000;-168.773894;-;-;-;-296.952587;-292.675777;-;
0;-;0.500000;-193.543554;-;-;-;-296.952587;-292.675777;-;
0;-;0.700000;-218.313215;-;-;-;-296.952587;-292.675777;-;
0;-;1.000000;-255.467706;-;-;-;-296.952587;-292.675777;-;
1;0;0.000000;-216.902054;-;-;-;-296.952587;-292.675777;-;
1;1;0.500000;-196.461205;-;-;-;-296.952587;-292.675777;-;
1;1;2.000000;-205.086261;-;-;-;-296.952587;-292.675777;-;
1;1;5.000000;-220.754392;-;-;-;-296.952587;-292.675777;-;
1;1;10.000000;-239.157545;-;-;-;-296.952587;-292.675777;-;
1;2;0.500000;-223.304426;-;-;-;-296.952587;-292.675777;-;
1;2;2.000000;-238.717240;-;-;-;-296.952587;-292.675777;-;
1;2;5.000000;-252.321845;-;-;-;-296.952587;-292.675777;-;
1;2;10.000000;-255.346758;-;-;-;-296.952587;-292.675777;-;
1;3;0.500000;-210.085128;-;-;-;-296.952587;-292.675777;-;
1;3;2.000000;-189.071657;-;-;-;-296.952587;-292.675777;-;
1;3;5.000000;-157.060275;-;-;-;-296.952587;-292.675777;-;
1;3;10.000000;-137.116047;-;-;-;-296.952587;-292.675777;-;
1;4;2.000000;-243.458583;-;-;-;-296.952587;-292.675777;-;
1;4;5.000000;-255.105093;-;-;-;-296.952587;-292.675777;-;
1;4;10.000000;-255.466644;-;-;-;-296.952587;-292.675777;-;
1;5;2.000000;-190.345525;-;-;-;-296.952587;-292.675777;-;
1;5;5.000000;-150.794749;-;-;-;-296.952587;-292.675777;-;
1;5;10.000000;-134.588308;-;-;-;-296.952587;-292.675777;-;
2;0;0/0.000000;-187.276237;0.007278;0.519542;1.000134;-296.952587;-293.066073;0.000004;
2;1;-1/1.000000;-188.161643;0.007198;0.508936;1.000193;-296.952587;-293.066312;0.000004;
2;2;-1/0.500000;-187.484614;0.007305;0.520799;1.000109;-296.952587;-293.066022;0.000004;
2;2;-1/2.000000;-188.134777;0.007316;0.529226;1.000121;-296.952587;-293.066588;0.000004;
2;2;-1/5.000000;-189.491541;0.007701;0.493501;1.000078;-296.952587;-293.066631;0.000004;
2;2;-1/10.000000;-191.843314;0.008355;0.442971;1.000061;-296.952587;-293.065160;0.000004;
2;2;-1/20.000000;-196.544026;0.010465;0.343724;1.000074;-296.952587;-293.055436;0.000004;
2;2;-1/40.000000;-206.237509;0.015664;0.213861;1.000191;-296.952587;-293.015490;0.000004;
2;2;-1/80.000000;-222.276378;0.014723;0.068475;1.000186;-296.952587;-292.920816;0.000003;
2;3;-1/1.000000;-190.788727;0.007231;0.459084;1.000086;-296.952587;-293.067907;0.000004;
2;3;-1/2.000000;-191.738360;0.007342;0.463697;1.000081;-296.952587;-293.066985;0.000004;
2;3;-1/5.000000;-194.363861;0.007696;0.415235;1.000109;-296.952587;-293.062537;0.000004;
2;3;-1/10.000000;-198.470013;0.008611;0.336563;1.000048;-296.952587;-293.052758;0.000004;
2;3;-1/20.000000;-205.662449;0.010568;0.239830;1.000054;-296.952587;-293.021187;0.000004;
2;4;-1/1.000000;-188.264354;0.007182;0.515089;1.000137;-296.952587;-293.066798;0.000004;
2;4;-1/2.000000;-187.792797;0.007162;0.526856;1.000115;-296.952587;-293.065912;0.000004;
2;4;-1/5.000000;-187.471713;0.007213;0.483397;1.000091;-296.952587;-293.066308;0.000004;
2;4;-1/10.000000;-187.388199;0.007267;0.518497;1.000166;-296.952587;-293.065544;0.000004;
2;4;-1/20.000000;-187.311103;0.007129;0.522966;1.000142;-296.952587;-293.066304;0.000004;

