FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-143.570207;-;-;-;-24.000000;-22.597160;-;
0;-;0.300000;-146.099145;-;-;-;-24.000000;-23.018012;-;
0;-;0.500000;-147.785103;-;-;-;-24.000000;-23.298580;-;
0;-;0.700000;-149.471062;-;-;-;-24.000000;-23.579148;-;
0;-;1.000000;-152.000000;-;-;-;-24.000000;-24.000000;-;
1;0;0.000000;-145.012389;-;-;-;-24.000000;-22.837160;-;
1;1;0.500000;-147.439293;-;-;-;-24.000000;-23.241032;-;
1;1;2.000000;-146.446669;-;-;-;-24.000000;-23.075845;-;
1;1;5.000000;-144.934494;-;-;-;-24.000000;-22.824197;-;
1;1;10.000000;-143.873208;-;-;-;-24.000000;-22.647584;-;
1;2;0.500000;-145.326660;-;-;-;-24.000000;-22.889459;-;
1;2;2.000000;-146.395210;-;-;-;-24.000000;-23.067282;-;
1;2;5.000000;-148.449287;-;-;-;-24.000000;-23.409110;-;
1;2;10.000000;-150.476895;-;-;-;-24.000000;-23.746533;-;
1;3;0.500000;-144.730691;-;-;-;-24.000000;-22.790281;-;
1;3;2.000000;-144.108513;-;-;-;-24.000000;-22.686742;-;
1;3;5.000000;-143.647540;-;-;-;-24.000000;-22.610029;-;
1;3;10.000000;-143.571942;-;-;-;-24.000000;-22.597449;-;
1;4;2.000000;-146.207840;-;-;-;-24.000000;-23.036100;-;
1;4;5.000000;-148.701048;-;-;-;-24.000000;-23.451006;-;
1;4;10.000000;-150.708974;-;-;-;-24.000000;-23.785154;-;
1;5;2.000000;-143.816938;-;-;-;-24.000000;-22.638220;-;
1;5;5.000000;-143.571442;-;-;-;-24.000000;-22.597366;-;
1;5;10.000000;-143.570207;-;-;-;-24.000000;-22.597160;-;
2;0;0/0.000000;-149.182495;0.000017;0.315115;1.000179;-24.000000;-22.714547;0.000001;
2;1;-1/1.000000;-149.125168;0.000019;0.302533;1.000132;-24.000000;-22.708345;0.000001;
2;2;-1/0.500000;-149.171176;0.000017;0.289799;1.000301;-24.000000;-22.712859;0.000001;
2;2;-1/2.000000;-149.129565;0.000019;0.272321;1.000161;-24.000000;-22.709417;0.000001;
2;2;-1/5.000000;-149.041670;0.000024;0.280876;1.000181;-24.000000;-22.704071;0.000001;
2;2;-1/10.000000;-148.866804;0.000035;0.276014;1.000080;-24.000000;-22.694552;0.000000;
2;2;-1/20.000000;-148.380489;0.000092;0.182245;1.000228;-24.000000;-22.678578;0.000000;
2;2;-1/40.000000;-146.967114;0.000212;0.098002;1.000502;-24.000000;-22.649401;0.000000;
2;2;-1/80.000000;-145.322949;0.000071;0.093611;1.000491;-24.000000;-22.623613;0.000000;
2;3;-1/1.000000;-148.986464;0.000025;0.300757;1.000102;-24.000000;-22.699486;0.000001;
2;3;-1/2.000000;-148.900615;0.000028;0.266996;1.000165;-24.000000;-22.694601;0.000000;
2;3;-1/5.000000;-148.615810;0.000042;0.254999;1.000123;-24.000000;-22.682388;0.000000;
2;3;-1/10.000000;-148.068250;0.000076;0.191370;1.000423;-24.000000;-22.668848;0.000000;
2;3;-1/20.000000;-147.061908;0.000096;0.140688;1.000230;-24.000000;-22.650420;0.000000;
2;4;-1/1.000000;-149.106770;0.000019;0.293894;1.000114;-24.000000;-22.707672;0.000001;
2;4;-1/2.000000;-149.144909;0.000018;0.304837;1.000249;-24.000000;-22.710655;0.000001;
2;4;-1/5.000000;-149.168298;0.000017;0.303420;1.000188;-24.000000;-22.712294;0.000001;
2;4;-1/10.000000;-149.175083;0.000017;0.289886;1.000402;-24.000000;-22.713311;0.000001;
2;4;-1/20.000000;-149.180438;0.000017;0.298593;1.000299;-24.000000;-22.713881;0.000001;

