FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-137.540294;-;-;-;-32.204670;-31.338420;-;
0;-;0.300000;-142.585158;-;-;-;-32.204670;-31.338420;-;
0;-;0.500000;-145.948400;-;-;-;-32.204670;-31.338420;-;
0;-;0.700000;-149.311643;-;-;-;-32.204670;-31.338420;-;
0;-;1.000000;-154.356506;-;-;-;-32.204670;-31.338420;-;
1;0;0.000000;-143.792075;-;-;-;-32.204670;-31.338420;-;
1;1;0.500000;-145.678952;-;-;-;-32.204670;-31.338420;-;
1;1;2.000000;-144.876108;-;-;-;-32.204670;-31.338420;-;
1;1;5.000000;-143.341683;-;-;-;-32.204670;-31.338420;-;
1;1;10.000000;-141.192116;-;-;-;-32.204670;-31.338420;-;
1;2;0.500000;-144.790051;-;-;-;-32.204670;-31.338420;-;
1;2;2.000000;-147.742321;-;-;-;-32.204670;-31.338420;-;
1;2;5.000000;-151.831981;-;-;-;-32.204670;-31.338420;-;
1;2;10.000000;-153.948794;-;-;-;-32.204670;-31.338420;-;
1;3;0.500000;-142.835773;-;-;-;-32.204670;-31.338420;-;
1;3;2.000000;-140.444409;-;-;-;-32.204670;-31.338420;-;
1;3;5.000000;-138.158171;-;-;-;-32.204670;-31.338420;-;
1;3;10.000000;-137.570963;-;-;-;-32.204670;-31.338420;-;
1;4;2.000000;-147.719625;-;-;-;-32.204670;-31.338420;-;
1;4;5.000000;-152.710931;-;-;-;-32.204670;-31.338420;-;
1;4;10.000000;-154.195476;-;-;-;-32.204670;-31.338420;-;
1;5;2.000000;-139.864526;-;-;-;-32.204670;-31.338420;-;
1;5;5.000000;-137.659722;-;-;-;-32.204670;-31.338420;-;
1;5;10.000000;-137.541142;-;-;-;-32.204670;-31.338420;-;
2;0;0/0.000000;-148.628235;0.000069;0.699919;1.000103;-32.204670;-31.417163;0.000000;
2;1;-1/1.000000;-148.575527;0.000071;0.701483;1.000106;-32.204670;-31.416669;0.000000;
2;2;-1/0.500000;-148.611776;0.000069;0.699951;1.000103;-32.204670;-31.417059;0.000000;
2;2;-1/2.000000;-148.562143;0.000071;0.700289;1.000102;-32.204670;-31.416731;0.000000;
2;2;-1/5.000000;-148.459773;0.000075;0.694126;1.000100;-32.204670;-31.416015;0.000000;
2;2;-1/10.000000;-148.281351;0.000082;0.681758;1.000096;-32.204670;-31.414743;0.000000;
2;2;-1/20.000000;-147.888086;0.000101;0.654139;1.000114;-32.204670;-31.411681;0.000000;
2;2;-1/40.000000;-146.955833;0.000164;0.478202;1.000184;-32.204670;-31.404515;0.000000;
2;2;-1/80.000000;-144.733442;0.000339;0.204930;1.000328;-32.204670;-31.387146;0.000000;
2;3;-1/1.000000;-148.159828;0.000079;0.673733;1.000106;-32.204670;-31.413899;0.000000;
2;3;-1/2.000000;-148.063657;0.000082;0.666668;1.000111;-32.204670;-31.413182;0.000000;
2;3;-1/5.000000;-147.771439;0.000090;0.648123;1.000107;-32.204670;-31.410968;0.000000;
2;3;-1/10.000000;-147.286860;0.000106;0.580374;1.000133;-32.204670;-31.407203;0.000000;
2;3;-1/20.000000;-146.345019;0.000138;0.418933;1.000213;-32.204670;-31.399564;0.000000;
2;4;-1/1.000000;-148.533175;0.000071;0.700233;1.000101;-32.204670;-31.416563;0.000000;
2;4;-1/2.000000;-148.580694;0.000070;0.700536;1.000101;-32.204670;-31.416874;0.000000;
2;4;-1/5.000000;-148.609151;0.000069;0.700181;1.000103;-32.204670;-31.417051;0.000000;
2;4;-1/10.000000;-148.618671;0.000069;0.699953;1.000103;-32.204670;-31.417108;0.000000;
2;4;-1/20.000000;-148.623460;0.000069;0.699911;1.000103;-32.204670;-31.417135;0.000000;

