FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-230.274782;-;-;-;-70.857143;-69.665713;-;
0;-;0.300000;-357.621678;-;-;-;-70.857143;-69.665713;-;
0;-;0.500000;-442.519609;-;-;-;-70.857143;-69.665713;-;
0;-;0.700000;-527.417540;-;-;-;-70.857143;-69.665713;-;
0;-;1.000000;-654.764436;-;-;-;-70.857143;-69.665713;-;
1;0;0.000000;-482.728758;-;-;-;-70.857143;-69.665713;-;
1;1;0.500000;-447.544813;-;-;-;-70.857143;-69.665713;-;
1;1;2.000000;-462.564269;-;-;-;-70.857143;-69.665713;-;
1;1;5.000000;-491.862126;-;-;-;-70.857143;-69.665713;-;
1;1;10.000000;-536.144533;-;-;-;-70.857143;-69.665713;-;
1;2;0.500000;-507.778590;-;-;-;-70.857143;-69.665713;-;
1;2;2.000000;-571.770668;-;-;-;-70.857143;-69.665713;-;
1;2;5.000000;-635.797743;-;-;-;-70.857143;-69.665713;-;
1;2;10.000000;-653.674444;-;-;-;-70.857143;-69.665713;-;
1;3;0.500000;-456.877061;-;-;-;-70.857143;-69.665713;-;
1;3;2.000000;-382.107997;-;-;-;-70.857143;-69.665713;-;
1;3;5.000000;-283.727369;-;-;-;-70.857143;-69.665713;-;
1;3;10.000000;-237.631042;-;-;-;-70.857143;-69.665713;-;
1;4;2.000000;-585.042420;-;-;-;-70.857143;-69.665713;-;
1;4;5.000000;-650.123302;-;-;-;-70.857143;-69.665713;-;
1;4;10.000000;-654.713693;-;-;-;-70.857143;-69.665713;-;
1;5;2.000000;-380.415096;-;-;-;-70.857143;-69.665713;-;
1;5;5.000000;-261.857000;-;-;-;-70.857143;-69.665713;-;
1;5;10.000000;-232.624513;-;-;-;-70.857143;-69.665713;-;
2;0;0/0.000000;-444.110343;0.374089;0.952795;1.000032;-70.857143;-69.905371;0.000001;
2;1;-1/1.000000;-457.307808;0.369385;0.952981;1.000032;-70.857143;-69.905363;0.000001;
2;2;-1/0.500000;-447.411782;0.373853;0.952825;1.000032;-70.857143;-69.905370;0.000001;
2;2;-1/2.000000;-457.280089;0.371167;0.952990;1.000032;-70.857143;-69.905363;0.000001;
2;2;-1/5.000000;-476.605911;0.357376;0.953215;1.000033;-70.857143;-69.905340;0.000001;
2;2;-1/10.000000;-506.395374;0.314785;0.953566;1.000033;-70.857143;-69.905321;0.000001;
2;2;-1/20.000000;-552.403981;0.205676;0.953814;1.000033;-70.857143;-69.905293;0.000001;
2;2;-1/40.000000;-598.306528;0.075308;0.954291;1.000030;-70.857143;-69.905298;0.000001;
2;2;-1/80.000000;-625.834259;0.019350;0.953722;1.000027;-70.857143;-69.905235;0.000001;
2;3;-1/1.000000;-521.971995;0.230709;0.953471;1.000034;-70.857143;-69.905313;0.000001;
2;3;-1/2.000000;-529.356315;0.213569;0.953509;1.000034;-70.857143;-69.905314;0.000001;
2;3;-1/5.000000;-547.253886;0.171352;0.953736;1.000034;-70.857143;-69.905306;0.000001;
2;3;-1/10.000000;-567.841837;0.123355;0.954058;1.000033;-70.857143;-69.905294;0.000001;
2;3;-1/20.000000;-591.775361;0.071932;0.953924;1.000032;-70.857143;-69.905297;0.000001;
2;4;-1/1.000000;-461.968973;0.349888;0.953087;1.000032;-70.857143;-69.905356;0.000001;
2;4;-1/2.000000;-453.409539;0.362320;0.952906;1.000032;-70.857143;-69.905360;0.000001;
2;4;-1/5.000000;-447.923268;0.369492;0.952843;1.000032;-70.857143;-69.905365;0.000001;
2;4;-1/10.000000;-446.032717;0.371812;0.952823;1.000032;-70.857143;-69.905368;0.000001;
2;4;-1/20.000000;-445.075543;0.372956;0.952812;1.000032;-70.857143;-69.905369;0.000001;

