FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-479.640177;-479.640177;-;
0;-;0.300000;-1000.172723;-;-;-;-479.640177;-478.862870;-;
0;-;0.500000;-1001.371578;-;-;-;-479.640177;-478.344665;-;
0;-;0.700000;-1002.570434;-;-;-;-479.640177;-477.826461;-;
0;-;1.000000;-1004.368717;-;-;-;-479.640177;-477.049154;-;
1;0;0.000000;-1001.405377;-;-;-;-479.640177;-478.330056;-;
1;1;0.500000;-1001.375803;-;-;-;-479.640177;-478.342839;-;
1;1;2.000000;-1001.388477;-;-;-;-479.640177;-478.337361;-;
1;1;5.000000;-1001.413824;-;-;-;-479.640177;-478.326405;-;
1;1;10.000000;-1001.456053;-;-;-;-479.640177;-478.308151;-;
1;2;0.500000;-1001.777684;-;-;-;-479.640177;-478.169126;-;
1;2;2.000000;-1002.785206;-;-;-;-479.640177;-477.733625;-;
1;2;5.000000;-1003.927773;-;-;-;-479.640177;-477.239751;-;
1;2;10.000000;-1004.330812;-;-;-;-479.640177;-477.065538;-;
1;3;0.500000;-1001.032372;-;-;-;-479.640177;-478.491287;-;
1;3;2.000000;-1000.015472;-;-;-;-479.640177;-478.930842;-;
1;3;5.000000;-998.843319;-;-;-;-479.640177;-479.437504;-;
1;3;10.000000;-998.416901;-;-;-;-479.640177;-479.621823;-;
1;4;2.000000;-1002.903756;-;-;-;-479.640177;-477.682382;-;
1;4;5.000000;-1004.191722;-;-;-;-479.640177;-477.125659;-;
1;4;10.000000;-1004.363490;-;-;-;-479.640177;-477.051413;-;
1;5;2.000000;-999.906998;-;-;-;-479.640177;-478.977729;-;
1;5;5.000000;-998.572564;-;-;-;-479.640177;-479.554538;-;
1;5;10.000000;-998.380988;-;-;-;-479.640177;-479.637346;-;
2;0;0/0.000000;-1003.002316;0.000015;0.398047;1.000183;-479.640177;-477.289010;0.000010;
2;1;-1/1.000000;-1003.002316;0.000015;0.398047;1.000183;-479.640177;-477.289010;0.000010;
2;2;-1/0.500000;-1003.002990;0.000015;0.379622;1.000213;-479.640177;-477.287642;0.000011;
2;2;-1/2.000000;-1003.001765;0.000014;0.390174;1.000161;-479.640177;-477.287549;0.000011;
2;2;-1/5.000000;-1003.004797;0.000015;0.398400;1.000114;-479.640177;-477.291623;0.000010;
2;2;-1/10.000000;-1003.007835;0.000014;0.402551;1.000124;-479.640177;-477.289254;0.000010;
2;2;-1/20.000000;-1003.009259;0.000015;0.387532;1.000167;-479.640177;-477.290981;0.000011;
2;2;-1/40.000000;-1003.019119;0.000013;0.411835;1.000177;-479.640177;-477.286440;0.000010;
2;2;-1/80.000000;-1003.038821;0.000013;0.397040;1.000280;-479.640177;-477.290721;0.000010;
2;3;-1/1.000000;-1003.062843;0.000012;0.406202;1.000133;-479.640177;-477.290242;0.000009;
2;3;-1/2.000000;-1003.062214;0.000012;0.393858;1.000098;-479.640177;-477.288150;0.000009;
2;3;-1/5.000000;-1003.062762;0.000012;0.400378;1.000155;-479.640177;-477.290922;0.000009;
2;3;-1/10.000000;-1003.065981;0.000012;0.368150;1.000159;-479.640177;-477.290899;0.000009;
2;3;-1/20.000000;-1003.072209;0.000011;0.382843;1.000180;-479.640177;-477.290799;0.000010;
2;4;-1/1.000000;-1003.003490;0.000015;0.402999;1.000110;-479.640177;-477.287431;0.000010;
2;4;-1/2.000000;-1002.999247;0.000015;0.388793;1.000075;-479.640177;-477.289427;0.000011;
2;4;-1/5.000000;-1003.001783;0.000014;0.380695;1.000076;-479.640177;-477.286215;0.000011;
2;4;-1/10.000000;-1003.000153;0.000015;0.380612;1.000142;-479.640177;-477.287741;0.000010;
2;4;-1/20.000000;-1002.997955;0.000015;0.395883;1.000202;-479.640177;-477.287404;0.000011;

