FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.531250;-;-;-;9597.495680;9597.500000;-;
0;-;0.300000;-18403.541228;-;-;-;9597.495680;9597.502462;-;
0;-;0.500000;-18403.547880;-;-;-;9597.495680;9597.504104;-;
0;-;0.700000;-18403.554533;-;-;-;9597.495680;9597.505745;-;
0;-;1.000000;-18403.564511;-;-;-;9597.495680;9597.508207;-;
1;0;0.000000;-18403.534457;-;-;-;9597.495680;9597.500791;-;
1;1;0.500000;-18403.546208;-;-;-;9597.495680;9597.503691;-;
1;1;2.000000;-18403.541511;-;-;-;9597.495680;9597.502532;-;
1;1;5.000000;-18403.535153;-;-;-;9597.495680;9597.500963;-;
1;1;10.000000;-18403.531828;-;-;-;9597.495680;9597.500143;-;
1;2;0.500000;-18403.535229;-;-;-;9597.495680;9597.500982;-;
1;2;2.000000;-18403.537997;-;-;-;9597.495680;9597.501665;-;
1;2;5.000000;-18403.544061;-;-;-;9597.495680;9597.503161;-;
1;2;10.000000;-18403.551832;-;-;-;9597.495680;9597.505079;-;
1;3;0.500000;-18403.533783;-;-;-;9597.495680;9597.500625;-;
1;3;2.000000;-18403.532357;-;-;-;9597.495680;9597.500273;-;
1;3;5.000000;-18403.531390;-;-;-;9597.495680;9597.500034;-;
1;3;10.000000;-18403.531252;-;-;-;9597.495680;9597.500001;-;
1;4;2.000000;-18403.537356;-;-;-;9597.495680;9597.501507;-;
1;4;5.000000;-18403.544479;-;-;-;9597.495680;9597.503264;-;
1;4;10.000000;-18403.552446;-;-;-;9597.495680;9597.505230;-;
1;5;2.000000;-18403.531559;-;-;-;9597.495680;9597.500076;-;
1;5;5.000000;-18403.531250;-;-;-;9597.495680;9597.500000;-;
1;5;10.000000;-18403.531250;-;-;-;9597.495680;9597.500000;-;
2;0;0/0.000000;-18403.549177;0.000000;0.585168;1.000006;9597.495680;9597.502686;0.000000;
2;1;-1/1.000000;-18403.547795;0.000000;0.655859;1.000014;9597.495680;9597.502547;0.000000;
2;2;-1/0.500000;-18403.548851;0.000000;0.594727;1.000006;9597.495680;9597.502654;0.000000;
2;2;-1/2.000000;-18403.547887;0.000000;0.620572;1.000011;9597.495680;9597.502559;0.000000;
2;2;-1/5.000000;-18403.546023;0.000000;0.690193;1.000022;9597.495680;9597.502368;0.000000;
2;2;-1/10.000000;-18403.543218;0.000000;0.749436;1.000037;9597.495680;9597.502064;0.000000;
2;2;-1/20.000000;-18403.539112;0.000000;0.560846;1.000118;9597.495680;9597.501495;0.000000;
2;2;-1/40.000000;-18403.535383;0.000000;0.462406;1.000079;9597.495680;9597.500812;0.000000;
2;2;-1/80.000000;-18403.533319;0.000000;0.453593;1.000084;9597.495680;9597.500407;0.000000;
2;3;-1/1.000000;-18403.546303;0.000000;0.748342;1.000035;9597.495680;9597.502399;0.000000;
2;3;-1/2.000000;-18403.545326;0.000000;0.785250;1.000027;9597.495680;9597.502305;0.000000;
2;3;-1/5.000000;-18403.543022;0.000000;0.784892;1.000045;9597.495680;9597.502062;0.000000;
2;3;-1/10.000000;-18403.540358;0.000000;0.654839;1.000090;9597.495680;9597.501711;0.000000;
2;3;-1/20.000000;-18403.537262;0.000000;0.530188;1.000075;9597.495680;9597.501177;0.000000;
2;4;-1/1.000000;-18403.547740;0.000000;0.674995;1.000017;9597.495680;9597.502540;0.000000;
2;4;-1/2.000000;-18403.548422;0.000000;0.632037;1.000007;9597.495680;9597.502609;0.000000;
2;4;-1/5.000000;-18403.548864;0.000000;0.605479;1.000006;9597.495680;9597.502654;0.000000;
2;4;-1/10.000000;-18403.549018;0.000000;0.595851;1.000006;9597.495680;9597.502670;0.000000;
2;4;-1/20.000000;-18403.549097;0.000000;0.590610;1.000006;9597.495680;9597.502678;0.000000;

