FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-357.568316;-357.568316;-;
0;-;0.300000;-1000.172723;-;-;-;-357.568316;-356.908832;-;
0;-;0.500000;-1001.371578;-;-;-;-357.568316;-356.469176;-;
0;-;0.700000;-1002.570434;-;-;-;-357.568316;-356.029520;-;
0;-;1.000000;-1004.368717;-;-;-;-357.568316;-355.370036;-;
1;0;0.000000;-1001.937669;-;-;-;-357.568316;-356.261574;-;
1;1;0.500000;-1001.442326;-;-;-;-357.568316;-356.443231;-;
1;1;2.000000;-1001.653785;-;-;-;-357.568316;-356.365682;-;
1;1;5.000000;-1002.066331;-;-;-;-357.568316;-356.214390;-;
1;1;10.000000;-1002.690228;-;-;-;-357.568316;-355.985588;-;
1;2;0.500000;-1002.291497;-;-;-;-357.568316;-356.131814;-;
1;2;2.000000;-1003.195548;-;-;-;-357.568316;-355.800272;-;
1;2;5.000000;-1004.100446;-;-;-;-357.568316;-355.468419;-;
1;2;10.000000;-1004.353280;-;-;-;-357.568316;-355.375698;-;
1;3;0.500000;-1001.572550;-;-;-;-357.568316;-356.395474;-;
1;3;2.000000;-1000.516742;-;-;-;-357.568316;-356.782670;-;
1;3;5.000000;-999.128119;-;-;-;-357.568316;-357.291919;-;
1;3;10.000000;-998.478022;-;-;-;-357.568316;-357.530329;-;
1;4;2.000000;-1003.382778;-;-;-;-357.568316;-355.731609;-;
1;4;5.000000;-1004.302948;-;-;-;-357.568316;-355.394156;-;
1;4;10.000000;-1004.367995;-;-;-;-357.568316;-355.370301;-;
1;5;2.000000;-1000.492561;-;-;-;-357.568316;-356.791538;-;
1;5;5.000000;-998.819349;-;-;-;-357.568316;-357.405154;-;
1;5;10.000000;-998.407462;-;-;-;-357.568316;-357.556205;-;
2;0;0/0.000000;-1003.002316;0.000015;0.398047;1.000183;-357.568316;-355.756124;0.000002;
2;1;-1/1.000000;-1003.013764;0.000015;0.384466;1.000165;-357.568316;-355.751713;0.000002;
2;2;-1/0.500000;-1003.007468;0.000014;0.402354;1.000021;-357.568316;-355.754165;0.000002;
2;2;-1/2.000000;-1003.017966;0.000014;0.397697;1.000336;-357.568316;-355.749976;0.000002;
2;2;-1/5.000000;-1003.044780;0.000013;0.412560;1.000083;-357.568316;-355.740438;0.000002;
2;2;-1/10.000000;-1003.081514;0.000012;0.414524;1.000200;-357.568316;-355.727287;0.000002;
2;2;-1/20.000000;-1003.150523;0.000009;0.403711;1.000289;-357.568316;-355.702619;0.000001;
2;2;-1/40.000000;-1003.258582;0.000006;0.318201;1.000188;-357.568316;-355.663486;0.000001;
2;2;-1/80.000000;-1003.408975;0.000004;0.223929;1.000323;-357.568316;-355.612089;0.000001;
2;3;-1/1.000000;-1003.071155;0.000011;0.402006;1.000097;-357.568316;-355.731298;0.000002;
2;3;-1/2.000000;-1003.076839;0.000011;0.390312;1.000137;-357.568316;-355.728925;0.000002;
2;3;-1/5.000000;-1003.108995;0.000010;0.399584;1.000090;-357.568316;-355.716857;0.000002;
2;3;-1/10.000000;-1003.152055;0.000008;0.397874;1.000101;-357.568316;-355.701607;0.000001;
2;3;-1/20.000000;-1003.225447;0.000006;0.353915;1.000146;-357.568316;-355.675325;0.000001;
2;4;-1/1.000000;-1003.013176;0.000014;0.406050;1.000099;-357.568316;-355.751970;0.000002;
2;4;-1/2.000000;-1003.010681;0.000014;0.396488;1.000087;-357.568316;-355.752975;0.000002;
2;4;-1/5.000000;-1003.000625;0.000015;0.398952;1.000181;-357.568316;-355.756993;0.000002;
2;4;-1/10.000000;-1003.006699;0.000015;0.400515;1.000113;-357.568316;-355.754489;0.000002;
2;4;-1/20.000000;-1003.002607;0.000015;0.386712;1.000076;-357.568316;-355.755794;0.000002;

