FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-171.828100;-;-;-;-35.500000;-33.720260;-;
0;-;0.300000;-174.810456;-;-;-;-35.500000;-33.720260;-;
0;-;0.500000;-176.798693;-;-;-;-35.500000;-33.720260;-;
0;-;0.700000;-178.786931;-;-;-;-35.500000;-33.720260;-;
0;-;1.000000;-181.769287;-;-;-;-35.500000;-33.720260;-;
1;0;0.000000;-173.811042;-;-;-;-35.500000;-33.720260;-;
1;1;0.500000;-176.425938;-;-;-;-35.500000;-33.720260;-;
1;1;2.000000;-175.348274;-;-;-;-35.500000;-33.720260;-;
1;1;5.000000;-173.637680;-;-;-;-35.500000;-33.720260;-;
1;1;10.000000;-172.297183;-;-;-;-35.500000;-33.720260;-;
1;2;0.500000;-174.226337;-;-;-;-35.500000;-33.720260;-;
1;2;2.000000;-175.610268;-;-;-;-35.500000;-33.720260;-;
1;2;5.000000;-178.144938;-;-;-;-35.500000;-33.720260;-;
1;2;10.000000;-180.417098;-;-;-;-35.500000;-33.720260;-;
1;3;0.500000;-173.435258;-;-;-;-35.500000;-33.720260;-;
1;3;2.000000;-172.590893;-;-;-;-35.500000;-33.720260;-;
1;3;5.000000;-171.943489;-;-;-;-35.500000;-33.720260;-;
1;3;10.000000;-171.830966;-;-;-;-35.500000;-33.720260;-;
1;4;2.000000;-175.398452;-;-;-;-35.500000;-33.720260;-;
1;4;5.000000;-178.500899;-;-;-;-35.500000;-33.720260;-;
1;4;10.000000;-180.694731;-;-;-;-35.500000;-33.720260;-;
1;5;2.000000;-172.223632;-;-;-;-35.500000;-33.720260;-;
1;5;5.000000;-171.831239;-;-;-;-35.500000;-33.720260;-;
1;5;10.000000;-171.828101;-;-;-;-35.500000;-33.720260;-;
2;0;0/0.000000;-175.771824;0.000020;0.024772;1.005876;-35.500000;-33.749155;0.000000;
2;1;-1/1.000000;-175.767909;0.000019;0.026263;1.003242;-35.500000;-33.749072;0.000000;
2;2;-1/0.500000;-175.768410;0.000018;0.024092;1.004486;-35.500000;-33.749426;0.000000;
2;2;-1/2.000000;-175.758720;0.000018;0.026556;1.005110;-35.500000;-33.748677;0.000000;
2;2;-1/5.000000;-175.748440;0.000019;0.024139;1.003084;-35.500000;-33.748887;0.000000;
2;2;-1/10.000000;-175.726822;0.000018;0.025144;1.003605;-35.500000;-33.748255;0.000000;
2;2;-1/20.000000;-175.686210;0.000016;0.023908;1.002211;-35.500000;-33.747634;0.000000;
2;2;-1/40.000000;-175.607929;0.000016;0.025533;1.001625;-35.500000;-33.746429;0.000000;
2;2;-1/80.000000;-175.468316;0.000013;0.015651;1.002748;-35.500000;-33.744062;0.000000;
2;3;-1/1.000000;-175.750971;0.000018;0.026086;1.003605;-35.500000;-33.748621;0.000000;
2;3;-1/2.000000;-175.744426;0.000019;0.020256;1.005828;-35.500000;-33.748628;0.000000;
2;3;-1/5.000000;-175.720037;0.000019;0.025367;1.003801;-35.500000;-33.748257;0.000000;
2;3;-1/10.000000;-175.687726;0.000018;0.019178;1.004171;-35.500000;-33.747784;0.000000;
2;3;-1/20.000000;-175.625080;0.000014;0.027007;1.001850;-35.500000;-33.746304;0.000000;
2;4;-1/1.000000;-175.761538;0.000020;0.025279;1.003615;-35.500000;-33.748776;0.000000;
2;4;-1/2.000000;-175.769227;0.000022;0.014503;1.008124;-35.500000;-33.749218;0.000000;
2;4;-1/5.000000;-175.770091;0.000021;0.024367;1.003984;-35.500000;-33.748872;0.000000;
2;4;-1/10.000000;-175.766162;0.000019;0.025227;1.003403;-35.500000;-33.748959;0.000000;
2;4;-1/20.000000;-175.770772;0.000022;0.016987;1.003777;-35.500000;-33.748986;0.000000;

