FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-740.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-740.126316;-;-;-;0.000000;0.000000;-;
0;-;0.500000;-740.210526;-;-;-;0.000000;0.000000;-;
0;-;0.700000;-740.294737;-;-;-;0.000000;0.000000;-;
0;-;1.000000;-740.421053;-;-;-;0.000000;0.000000;-;
1;0;0.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-740.184347;-;-;-;0.000000;0.000000;-;
1;1;2.000000;-740.113238;-;-;-;0.000000;0.000000;-;
1;1;5.000000;-740.031940;-;-;-;0.000000;0.000000;-;
1;1;10.000000;-740.002818;-;-;-;0.000000;0.000000;-;
1;2;0.500000;-740.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-740.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-740.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-740.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-740.212213;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;1;-1/1.000000;-740.141776;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/0.500000;-740.194789;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/2.000000;-740.146261;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/5.000000;-740.082363;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/10.000000;-740.042604;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/20.000000;-740.021311;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/40.000000;-740.010655;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;2;-1/80.000000;-740.005328;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;3;-1/1.000000;-740.106413;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;3;-1/2.000000;-740.085162;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;3;-1/5.000000;-740.053250;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;3;-1/10.000000;-740.032777;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;3;-1/20.000000;-740.018529;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;4;-1/1.000000;-740.141776;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;4;-1/2.000000;-740.170004;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;4;-1/5.000000;-740.193049;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;4;-1/10.000000;-740.202179;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;
2;4;-1/20.000000;-740.207075;0.000000;1.000000;1.000000;0.000000;0.000000;0.000000;

