FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;5097.862682;5098.129032;-;
0;-;0.300000;-18404.089144;-;-;-;5097.862682;5098.840323;-;
0;-;0.500000;-18404.761476;-;-;-;5097.862682;5099.314516;-;
0;-;0.700000;-18405.433809;-;-;-;5097.862682;5099.788710;-;
0;-;1.000000;-18406.442308;-;-;-;5097.862682;5100.500000;-;
1;0;0.000000;-18404.074508;-;-;-;5097.862682;5098.830000;-;
1;1;0.500000;-18404.675680;-;-;-;5097.862682;5099.254004;-;
1;1;2.000000;-18404.422695;-;-;-;5097.862682;5099.075575;-;
1;1;5.000000;-18403.970420;-;-;-;5097.862682;5098.756587;-;
1;1;10.000000;-18403.466252;-;-;-;5097.862682;5098.400999;-;
1;2;0.500000;-18404.254682;-;-;-;5097.862682;5098.957076;-;
1;2;2.000000;-18404.816125;-;-;-;5097.862682;5099.353060;-;
1;2;5.000000;-18405.693316;-;-;-;5097.862682;5099.971739;-;
1;2;10.000000;-18406.267637;-;-;-;5097.862682;5100.376806;-;
1;3;0.500000;-18403.906176;-;-;-;5097.862682;5098.711276;-;
1;3;2.000000;-18403.504899;-;-;-;5097.862682;5098.428257;-;
1;3;5.000000;-18403.157842;-;-;-;5097.862682;5098.183479;-;
1;3;10.000000;-18403.083428;-;-;-;5097.862682;5098.130995;-;
1;4;2.000000;-18404.774539;-;-;-;5097.862682;5099.323729;-;
1;4;5.000000;-18405.859523;-;-;-;5097.862682;5100.088964;-;
1;4;10.000000;-18406.341275;-;-;-;5097.862682;5100.428742;-;
1;5;2.000000;-18403.374477;-;-;-;5097.862682;5098.336271;-;
1;5;5.000000;-18403.088238;-;-;-;5097.862682;5098.134388;-;
1;5;10.000000;-18403.080662;-;-;-;5097.862682;5098.129044;-;
2;0;0/0.000000;-18404.764561;0.000005;0.852533;1.000182;5097.862682;5099.810046;0.000010;
2;1;-1/1.000000;-18404.722526;0.000005;0.830933;1.000196;5097.862682;5099.784086;0.000011;
2;2;-1/0.500000;-18404.754040;0.000005;0.846773;1.000185;5097.862682;5099.803547;0.000011;
2;2;-1/2.000000;-18404.722455;0.000005;0.828233;1.000196;5097.862682;5099.784029;0.000011;
2;2;-1/5.000000;-18404.659092;0.000005;0.789577;1.000223;5097.862682;5099.744997;0.000012;
2;2;-1/10.000000;-18404.554070;0.000005;0.710995;1.000243;5097.862682;5099.679793;0.000013;
2;2;-1/20.000000;-18404.349580;0.000006;0.521859;1.000350;5097.862682;5099.546316;0.000017;
2;2;-1/40.000000;-18403.996018;0.000008;0.296595;1.000453;5097.862682;5099.268345;0.000032;
2;2;-1/80.000000;-18403.594674;0.000005;0.148041;1.000733;5097.862682;5098.828036;0.000043;
2;3;-1/1.000000;-18404.622940;0.000005;0.785822;1.000235;5097.862682;5099.722858;0.000012;
2;3;-1/2.000000;-18404.585993;0.000005;0.761596;1.000239;5097.862682;5099.700186;0.000012;
2;3;-1/5.000000;-18404.483167;0.000005;0.682562;1.000244;5097.862682;5099.636482;0.000014;
2;3;-1/10.000000;-18404.334280;0.000005;0.558733;1.000313;5097.862682;5099.541593;0.000018;
2;3;-1/20.000000;-18404.097136;0.000006;0.374115;1.000450;5097.862682;5099.368228;0.000028;
2;4;-1/1.000000;-18404.720961;0.000005;0.833878;1.000199;5097.862682;5099.783132;0.000011;
2;4;-1/2.000000;-18404.742473;0.000005;0.843051;1.000189;5097.862682;5099.796419;0.000011;
2;4;-1/5.000000;-18404.755638;0.000005;0.848899;1.000185;5097.862682;5099.804541;0.000010;
2;4;-1/10.000000;-18404.760087;0.000005;0.850722;1.000183;5097.862682;5099.807285;0.000010;
2;4;-1/20.000000;-18404.762320;0.000005;0.851628;1.000183;5097.862682;5099.808663;0.000010;

