FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-891.202340;-;-;-;-20.952381;-19.327071;-;
0;-;0.300000;-894.150461;-;-;-;-20.952381;-19.814664;-;
0;-;0.500000;-896.115876;-;-;-;-20.952381;-20.139726;-;
0;-;0.700000;-898.081290;-;-;-;-20.952381;-20.464788;-;
0;-;1.000000;-901.029412;-;-;-;-20.952381;-20.952381;-;
1;0;0.000000;-892.469178;-;-;-;-20.952381;-19.536595;-;
1;1;0.500000;-895.661342;-;-;-;-20.952381;-20.064550;-;
1;1;2.000000;-894.371855;-;-;-;-20.952381;-19.851281;-;
1;1;5.000000;-892.531315;-;-;-;-20.952381;-19.546872;-;
1;1;10.000000;-891.436936;-;-;-;-20.952381;-19.365871;-;
1;2;0.500000;-892.761386;-;-;-;-20.952381;-19.584923;-;
1;2;2.000000;-893.785311;-;-;-;-20.952381;-19.754271;-;
1;2;5.000000;-895.902948;-;-;-;-20.952381;-20.104510;-;
1;2;10.000000;-898.322278;-;-;-;-20.952381;-20.504645;-;
1;3;0.500000;-892.210907;-;-;-;-20.952381;-19.493879;-;
1;3;2.000000;-891.654719;-;-;-;-20.952381;-19.401891;-;
1;3;5.000000;-891.262681;-;-;-;-20.952381;-19.337051;-;
1;3;10.000000;-891.203513;-;-;-;-20.952381;-19.327265;-;
1;4;2.000000;-893.572705;-;-;-;-20.952381;-19.719108;-;
1;4;5.000000;-896.100722;-;-;-;-20.952381;-20.137220;-;
1;4;10.000000;-898.557467;-;-;-;-20.952381;-20.543543;-;
1;5;2.000000;-891.365652;-;-;-;-20.952381;-19.354081;-;
1;5;5.000000;-891.202690;-;-;-;-20.952381;-19.327129;-;
1;5;10.000000;-891.202340;-;-;-;-20.952381;-19.327071;-;
2;0;0/0.000000;-895.806169;0.000052;0.968054;1.000107;-20.952381;-19.756921;0.000003;
2;1;-1/1.000000;-895.509570;0.000044;0.967787;1.000101;-20.952381;-19.693503;0.000002;
2;2;-1/0.500000;-895.729876;0.000050;0.966100;1.000106;-20.952381;-19.740600;0.000003;
2;2;-1/2.000000;-895.512740;0.000046;0.965530;1.000099;-20.952381;-19.695851;0.000003;
2;2;-1/5.000000;-895.131962;0.000039;0.933852;1.000090;-20.952381;-19.623457;0.000002;
2;2;-1/10.000000;-894.620068;0.000032;0.823985;1.000112;-20.952381;-19.542064;0.000001;
2;2;-1/20.000000;-893.850427;0.000032;0.532217;1.000093;-20.952381;-19.458102;0.000000;
2;2;-1/40.000000;-892.828333;0.000036;0.258119;1.000155;-20.952381;-19.396258;0.000000;
2;2;-1/80.000000;-892.030444;0.000013;0.205834;1.000301;-20.952381;-19.361765;0.000000;
2;3;-1/1.000000;-895.192381;0.000035;0.956652;1.000119;-20.952381;-19.629091;0.000002;
2;3;-1/2.000000;-895.009159;0.000031;0.928038;1.000140;-20.952381;-19.595847;0.000001;
2;3;-1/5.000000;-894.586688;0.000025;0.833518;1.000172;-20.952381;-19.530522;0.000001;
2;3;-1/10.000000;-894.078984;0.000024;0.629649;1.000119;-20.952381;-19.473000;0.000000;
2;3;-1/20.000000;-893.357891;0.000030;0.357707;1.000072;-20.952381;-19.421657;0.000000;
2;4;-1/1.000000;-895.501784;0.000043;0.969417;1.000104;-20.952381;-19.690781;0.000002;
2;4;-1/2.000000;-895.643835;0.000047;0.966675;1.000108;-20.952381;-19.721017;0.000003;
2;4;-1/5.000000;-895.738555;0.000050;0.966873;1.000108;-20.952381;-19.741791;0.000003;
2;4;-1/10.000000;-895.771910;0.000051;0.967388;1.000108;-20.952381;-19.749227;0.000003;
2;4;-1/20.000000;-895.788936;0.000051;0.967542;1.000108;-20.952381;-19.753042;0.000003;

