FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-527.080807;-;-;-;-11.000000;-10.537140;-;
0;-;0.300000;-535.972845;-;-;-;-11.000000;-10.537140;-;
0;-;0.500000;-541.900871;-;-;-;-11.000000;-10.537140;-;
0;-;0.700000;-547.828896;-;-;-;-11.000000;-10.537140;-;
0;-;1.000000;-556.720935;-;-;-;-11.000000;-10.537140;-;
1;0;0.000000;-534.124868;-;-;-;-11.000000;-10.537140;-;
1;1;0.500000;-540.930262;-;-;-;-11.000000;-10.537140;-;
1;1;2.000000;-538.099679;-;-;-;-11.000000;-10.537140;-;
1;1;5.000000;-533.370340;-;-;-;-11.000000;-10.537140;-;
1;1;10.000000;-529.085755;-;-;-;-11.000000;-10.537140;-;
1;2;0.500000;-535.520660;-;-;-;-11.000000;-10.537140;-;
1;2;2.000000;-540.048850;-;-;-;-11.000000;-10.537140;-;
1;2;5.000000;-547.827906;-;-;-;-11.000000;-10.537140;-;
1;2;10.000000;-553.969405;-;-;-;-11.000000;-10.537140;-;
1;3;0.500000;-532.845727;-;-;-;-11.000000;-10.537140;-;
1;3;2.000000;-529.903789;-;-;-;-11.000000;-10.537140;-;
1;3;5.000000;-527.539521;-;-;-;-11.000000;-10.537140;-;
1;3;10.000000;-527.093951;-;-;-;-11.000000;-10.537140;-;
1;4;2.000000;-539.494888;-;-;-;-11.000000;-10.537140;-;
1;4;5.000000;-549.088836;-;-;-;-11.000000;-10.537140;-;
1;4;10.000000;-554.755730;-;-;-;-11.000000;-10.537140;-;
1;5;2.000000;-528.754848;-;-;-;-11.000000;-10.537140;-;
1;5;5.000000;-527.103277;-;-;-;-11.000000;-10.537140;-;
1;5;10.000000;-527.080824;-;-;-;-11.000000;-10.537140;-;
2;0;0/0.000000;-538.222485;0.000280;0.473300;1.000096;-11.000000;-10.584036;0.000000;
2;1;-1/1.000000;-537.889134;0.000270;0.472737;1.000118;-11.000000;-10.584048;0.000000;
2;2;-1/0.500000;-538.126821;0.000278;0.473466;1.000103;-11.000000;-10.584005;0.000000;
2;2;-1/2.000000;-537.843311;0.000271;0.473944;1.000115;-11.000000;-10.583908;0.000000;
2;2;-1/5.000000;-537.296319;0.000255;0.474219;1.000101;-11.000000;-10.583642;0.000000;
2;2;-1/10.000000;-536.465347;0.000227;0.470284;1.000092;-11.000000;-10.583169;0.000000;
2;2;-1/20.000000;-535.138317;0.000171;0.461268;1.000091;-11.000000;-10.581905;0.000000;
2;2;-1/40.000000;-533.497021;0.000114;0.327551;1.000067;-11.000000;-10.578495;0.000000;
2;2;-1/80.000000;-531.842881;0.000143;0.112693;1.000074;-11.000000;-10.570986;0.000000;
2;3;-1/1.000000;-537.347426;0.000246;0.474636;1.000106;-11.000000;-10.583748;0.000000;
2;3;-1/2.000000;-537.077887;0.000235;0.474056;1.000102;-11.000000;-10.583620;0.000000;
2;3;-1/5.000000;-536.361551;0.000206;0.472151;1.000108;-11.000000;-10.583209;0.000000;
2;3;-1/10.000000;-535.420188;0.000165;0.466784;1.000096;-11.000000;-10.582375;0.000000;
2;3;-1/20.000000;-534.173105;0.000116;0.442156;1.000049;-11.000000;-10.580551;0.000000;
2;4;-1/1.000000;-537.905956;0.000268;0.473867;1.000118;-11.000000;-10.583958;0.000000;
2;4;-1/2.000000;-538.062324;0.000274;0.473134;1.000112;-11.000000;-10.583995;0.000000;
2;4;-1/5.000000;-538.158004;0.000278;0.473507;1.000102;-11.000000;-10.584019;0.000000;
2;4;-1/10.000000;-538.190111;0.000279;0.473440;1.000099;-11.000000;-10.584026;0.000000;
2;4;-1/20.000000;-538.206267;0.000280;0.473363;1.000098;-11.000000;-10.584031;0.000000;

