FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-395.700137;-;-;-;-106.666667;-104.699997;-;
0;-;0.300000;-406.678800;-;-;-;-106.666667;-104.699997;-;
0;-;0.500000;-413.997908;-;-;-;-106.666667;-104.699997;-;
0;-;0.700000;-421.317017;-;-;-;-106.666667;-104.699997;-;
0;-;1.000000;-432.295680;-;-;-;-106.666667;-104.699997;-;
1;0;0.000000;-415.548533;-;-;-;-106.666667;-104.699997;-;
1;1;0.500000;-414.191729;-;-;-;-106.666667;-104.699997;-;
1;1;2.000000;-414.772757;-;-;-;-106.666667;-104.699997;-;
1;1;5.000000;-415.928972;-;-;-;-106.666667;-104.699997;-;
1;1;10.000000;-417.817494;-;-;-;-106.666667;-104.699997;-;
1;2;0.500000;-417.791739;-;-;-;-106.666667;-104.699997;-;
1;2;2.000000;-423.718716;-;-;-;-106.666667;-104.699997;-;
1;2;5.000000;-430.097018;-;-;-;-106.666667;-104.699997;-;
1;2;10.000000;-432.135922;-;-;-;-106.666667;-104.699997;-;
1;3;0.500000;-413.273487;-;-;-;-106.666667;-104.699997;-;
1;3;2.000000;-406.919170;-;-;-;-106.666667;-104.699997;-;
1;3;5.000000;-399.189872;-;-;-;-106.666667;-104.699997;-;
1;3;10.000000;-396.075175;-;-;-;-106.666667;-104.699997;-;
1;4;2.000000;-424.631716;-;-;-;-106.666667;-104.699997;-;
1;4;5.000000;-431.561181;-;-;-;-106.666667;-104.699997;-;
1;4;10.000000;-432.280938;-;-;-;-106.666667;-104.699997;-;
1;5;2.000000;-406.465351;-;-;-;-106.666667;-104.699997;-;
1;5;5.000000;-397.417707;-;-;-;-106.666667;-104.699997;-;
1;5;10.000000;-395.780749;-;-;-;-106.666667;-104.699997;-;
2;0;0/0.000000;-416.345848;0.001710;0.949184;1.000107;-106.666667;-105.095836;0.000003;
2;1;-1/1.000000;-416.640412;0.001705;0.949456;1.000108;-106.666667;-105.095783;0.000003;
2;2;-1/0.500000;-416.422905;0.001709;0.949339;1.000107;-106.666667;-105.095849;0.000003;
2;2;-1/2.000000;-416.653791;0.001705;0.949752;1.000108;-106.666667;-105.095887;0.000003;
2;2;-1/5.000000;-417.113508;0.001693;0.949263;1.000109;-106.666667;-105.095982;0.000003;
2;2;-1/10.000000;-417.869861;0.001660;0.947408;1.000110;-106.666667;-105.096282;0.000003;
2;2;-1/20.000000;-419.322081;0.001553;0.946468;1.000109;-106.666667;-105.097118;0.000003;
2;2;-1/40.000000;-421.846044;0.001238;0.938388;1.000105;-106.666667;-105.098644;0.000003;
2;2;-1/80.000000;-425.154737;0.000648;0.938806;1.000081;-106.666667;-105.104248;0.000003;
2;3;-1/1.000000;-419.812970;0.001375;0.944864;1.000098;-106.666667;-105.096835;0.000003;
2;3;-1/2.000000;-420.034512;0.001345;0.944521;1.000098;-106.666667;-105.096902;0.000003;
2;3;-1/5.000000;-420.659837;0.001258;0.942350;1.000098;-106.666667;-105.097134;0.000003;
2;3;-1/10.000000;-421.579266;0.001118;0.941874;1.000096;-106.666667;-105.097610;0.000003;
2;3;-1/20.000000;-423.039740;0.000878;0.938356;1.000088;-106.666667;-105.099147;0.000003;
2;4;-1/1.000000;-416.659120;0.001690;0.950163;1.000107;-106.666667;-105.095876;0.000003;
2;4;-1/2.000000;-416.503308;0.001700;0.949678;1.000107;-106.666667;-105.095858;0.000003;
2;4;-1/5.000000;-416.409032;0.001706;0.949354;1.000107;-106.666667;-105.095845;0.000003;
2;4;-1/10.000000;-416.377471;0.001708;0.949262;1.000107;-106.666667;-105.095841;0.000003;
2;4;-1/20.000000;-416.361666;0.001709;0.949225;1.000107;-106.666667;-105.095838;0.000003;

