FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;3318.500000;3319.080645;-;
0;-;0.300000;-18404.089144;-;-;-;3318.500000;3318.906452;-;
0;-;0.500000;-18404.761476;-;-;-;3318.500000;3318.790323;-;
0;-;0.700000;-18405.433809;-;-;-;3318.500000;3318.674194;-;
0;-;1.000000;-18406.442308;-;-;-;3318.500000;3318.500000;-;
1;0;0.000000;-18404.246560;-;-;-;3318.500000;3318.879262;-;
1;1;0.500000;-18404.697143;-;-;-;3318.500000;3318.801435;-;
1;1;2.000000;-18404.506013;-;-;-;3318.500000;3318.834448;-;
1;1;5.000000;-18404.147550;-;-;-;3318.500000;3318.896363;-;
1;1;10.000000;-18403.678148;-;-;-;3318.500000;3318.977441;-;
1;2;0.500000;-18404.440879;-;-;-;3318.500000;3318.845698;-;
1;2;2.000000;-18405.025540;-;-;-;3318.500000;3318.744712;-;
1;2;5.000000;-18405.867574;-;-;-;3318.500000;3318.599271;-;
1;2;10.000000;-18406.337669;-;-;-;3318.500000;3318.518074;-;
1;3;0.500000;-18404.061893;-;-;-;3318.500000;3318.911158;-;
1;3;2.000000;-18403.607338;-;-;-;3318.500000;3318.989672;-;
1;3;5.000000;-18403.187005;-;-;-;3318.500000;3319.062274;-;
1;3;10.000000;-18403.085389;-;-;-;3318.500000;3319.079826;-;
1;4;2.000000;-18405.008104;-;-;-;3318.500000;3318.747724;-;
1;4;5.000000;-18406.042643;-;-;-;3318.500000;3318.569032;-;
1;4;10.000000;-18406.394792;-;-;-;3318.500000;3318.508207;-;
1;5;2.000000;-18403.485016;-;-;-;3318.500000;3319.010800;-;
1;5;5.000000;-18403.097515;-;-;-;3318.500000;3319.077731;-;
1;5;10.000000;-18403.080730;-;-;-;3318.500000;3319.080631;-;
2;0;0/0.000000;-18404.764561;0.000005;0.852533;1.000182;3318.500000;3319.249590;0.000004;
2;1;-1/1.000000;-18404.733062;0.000005;0.835998;1.000192;3318.500000;3319.258572;0.000004;
2;2;-1/0.500000;-18404.756676;0.000005;0.848218;1.000184;3318.500000;3319.251835;0.000004;
2;2;-1/2.000000;-18404.733022;0.000005;0.834554;1.000193;3318.500000;3319.258496;0.000004;
2;2;-1/5.000000;-18404.685506;0.000005;0.806556;1.000210;3318.500000;3319.271613;0.000004;
2;2;-1/10.000000;-18404.606536;0.000005;0.752871;1.000237;3318.500000;3319.292372;0.000004;
2;2;-1/20.000000;-18404.450764;0.000006;0.621184;1.000298;3318.500000;3319.328295;0.000005;
2;2;-1/40.000000;-18404.161060;0.000007;0.384498;1.000410;3318.500000;3319.367795;0.000007;
2;2;-1/80.000000;-18403.750575;0.000007;0.203974;1.000660;3318.500000;3319.331826;0.000012;
2;3;-1/1.000000;-18404.632447;0.000005;0.791124;1.000232;3318.500000;3319.287045;0.000004;
2;3;-1/2.000000;-18404.604286;0.000005;0.773961;1.000238;3318.500000;3319.294644;0.000004;
2;3;-1/5.000000;-18404.524775;0.000005;0.716031;1.000241;3318.500000;3319.315146;0.000004;
2;3;-1/10.000000;-18404.405873;0.000005;0.618891;1.000277;3318.500000;3319.342263;0.000005;
2;3;-1/20.000000;-18404.206926;0.000005;0.446794;1.000387;3318.500000;3319.374035;0.000007;
2;4;-1/1.000000;-18404.731671;0.000005;0.838285;1.000193;3318.500000;3319.259178;0.000004;
2;4;-1/2.000000;-18404.747938;0.000005;0.845509;1.000187;3318.500000;3319.254458;0.000004;
2;4;-1/5.000000;-18404.757863;0.000005;0.849828;1.000184;3318.500000;3319.251556;0.000004;
2;4;-1/10.000000;-18404.761205;0.000005;0.851173;1.000183;3318.500000;3319.250576;0.000004;
2;4;-1/20.000000;-18404.762881;0.000005;0.851856;1.000182;3318.500000;3319.250084;0.000004;

