FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;11397.370759;11398.306452;-;
0;-;0.300000;-18404.089144;-;-;-;11397.370759;11398.964516;-;
0;-;0.500000;-18404.761476;-;-;-;11397.370759;11399.403226;-;
0;-;0.700000;-18405.433809;-;-;-;11397.370759;11399.841935;-;
0;-;1.000000;-18406.442308;-;-;-;11397.370759;11400.500000;-;
1;0;0.000000;-18403.860545;-;-;-;11397.370759;11398.815351;-;
1;1;0.500000;-18404.649028;-;-;-;11397.370759;11399.329851;-;
1;1;2.000000;-18404.321495;-;-;-;11397.370759;11399.116129;-;
1;1;5.000000;-18403.778219;-;-;-;11397.370759;11398.761632;-;
1;1;10.000000;-18403.296339;-;-;-;11397.370759;11398.447196;-;
1;2;0.500000;-18404.016380;-;-;-;11397.370759;11398.917036;-;
1;2;2.000000;-18404.523938;-;-;-;11397.370759;11399.248228;-;
1;2;5.000000;-18405.404120;-;-;-;11397.370759;11399.822563;-;
1;2;10.000000;-18406.112077;-;-;-;11397.370759;11400.284518;-;
1;3;0.500000;-18403.718003;-;-;-;11397.370759;11398.722340;-;
1;3;2.000000;-18403.391299;-;-;-;11397.370759;11398.509159;-;
1;3;5.000000;-18403.130585;-;-;-;11397.370759;11398.339038;-;
1;3;10.000000;-18403.082046;-;-;-;11397.370759;11398.307365;-;
1;4;2.000000;-18404.459510;-;-;-;11397.370759;11399.206187;-;
1;4;5.000000;-18405.544125;-;-;-;11397.370759;11399.913919;-;
1;4;10.000000;-18406.202327;-;-;-;11397.370759;11400.343408;-;
1;5;2.000000;-18403.261581;-;-;-;11397.370759;11398.424516;-;
1;5;5.000000;-18403.082904;-;-;-;11397.370759;11398.307926;-;
1;5;10.000000;-18403.080647;-;-;-;11397.370759;11398.306453;-;
2;0;0/0.000000;-18404.764561;0.000005;0.852533;1.000182;11397.370759;11400.041645;0.000016;
2;1;-1/1.000000;-18404.709381;0.000005;0.824853;1.000202;11397.370759;11400.019002;0.000018;
2;2;-1/0.500000;-18404.750763;0.000005;0.844955;1.000187;11397.370759;11400.035951;0.000017;
2;2;-1/2.000000;-18404.709281;0.000005;0.820404;1.000202;11397.370759;11400.018832;0.000018;
2;2;-1/5.000000;-18404.626237;0.000005;0.766664;1.000233;11397.370759;11399.984189;0.000020;
2;2;-1/10.000000;-18404.489352;0.000006;0.655295;1.000271;11397.370759;11399.923456;0.000024;
2;2;-1/20.000000;-18404.229496;0.000007;0.429503;1.000388;11397.370759;11399.780169;0.000040;
2;2;-1/40.000000;-18403.830060;0.000008;0.230544;1.000576;11397.370759;11399.428182;0.000075;
2;2;-1/80.000000;-18403.474914;0.000004;0.132182;1.000774;11397.370759;11398.936601;0.000059;
2;3;-1/1.000000;-18404.611244;0.000005;0.778434;1.000237;11397.370759;11399.979011;0.000020;
2;3;-1/2.000000;-18404.563727;0.000005;0.745749;1.000237;11397.370759;11399.959317;0.000022;
2;3;-1/5.000000;-18404.434089;0.000005;0.642211;1.000262;11397.370759;11399.901926;0.000027;
2;3;-1/10.000000;-18404.252487;0.000005;0.490952;1.000371;11397.370759;11399.808637;0.000040;
2;3;-1/20.000000;-18403.981725;0.000006;0.304863;1.000507;11397.370759;11399.604155;0.000067;
2;4;-1/1.000000;-18404.707784;0.000005;0.828214;1.000204;11397.370759;11400.018415;0.000018;
2;4;-1/2.000000;-18404.735717;0.000005;0.840056;1.000192;11397.370759;11400.029836;0.000017;
2;4;-1/5.000000;-18404.752881;0.000005;0.847700;1.000186;11397.370759;11400.036852;0.000017;
2;4;-1/10.000000;-18404.758699;0.000005;0.850164;1.000184;11397.370759;11400.039239;0.000016;
2;4;-1/20.000000;-18404.761624;0.000005;0.851346;1.000183;11397.370759;11400.040438;0.000016;

