FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-290.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-319.769000;-;-;-;0.000000;0.492000;-;
0;-;0.500000;-339.615000;-;-;-;0.000000;0.820000;-;
0;-;0.700000;-359.461000;-;-;-;0.000000;1.148000;-;
0;-;1.000000;-389.230000;-;-;-;0.000000;1.640000;-;
1;0;0.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-333.445226;-;-;-;0.000000;0.718031;-;
1;1;2.000000;-316.687057;-;-;-;0.000000;0.441064;-;
1;1;5.000000;-297.527407;-;-;-;0.000000;0.124407;-;
1;1;10.000000;-290.664132;-;-;-;0.000000;0.010976;-;
1;2;0.500000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-340.118247;0.019836;0.993505;0.999990;0.000000;0.816164;0.000006;
2;1;-1/1.000000;-324.132001;0.013403;0.994599;1.000009;0.000000;0.811193;0.000006;
2;2;-1/0.500000;-336.178073;0.019660;0.990722;1.000000;0.000000;0.814747;0.000006;
2;2;-1/2.000000;-325.208317;0.016613;0.990698;1.000010;0.000000;0.810169;0.000006;
2;2;-1/5.000000;-310.693829;0.008194;1.000000;0.999998;0.000000;0.798738;0.000006;
2;2;-1/10.000000;-301.434493;0.002493;1.000000;1.000019;0.000000;0.776984;0.000006;
2;2;-1/20.000000;-296.386210;0.000651;0.968264;1.000027;0.000000;0.735193;0.000006;
2;2;-1/40.000000;-293.738536;0.000178;0.669826;1.000030;0.000000;0.654297;0.000008;
2;2;-1/80.000000;-292.220529;0.000089;0.256335;1.000222;0.000000;0.510221;0.000016;
2;3;-1/1.000000;-315.993112;0.009034;0.999809;1.000008;0.000000;0.807015;0.000006;
2;3;-1/2.000000;-311.104826;0.006438;1.000000;0.999993;0.000000;0.802667;0.000006;
2;3;-1/5.000000;-303.757075;0.002944;1.000000;1.000005;0.000000;0.789277;0.000006;
2;3;-1/10.000000;-299.012731;0.001236;0.973799;1.000031;0.000000;0.768335;0.000006;
2;3;-1/20.000000;-295.651358;0.000432;0.937428;1.000017;0.000000;0.725716;0.000006;
2;4;-1/1.000000;-324.132001;0.013403;0.994599;1.000009;0.000000;0.811193;0.000006;
2;4;-1/2.000000;-330.611971;0.016557;0.991138;1.000005;0.000000;0.812871;0.000006;
2;4;-1/5.000000;-335.851819;0.018591;0.992265;1.000004;0.000000;0.814487;0.000006;
2;4;-1/10.000000;-337.898806;0.019254;0.992177;0.999997;0.000000;0.815224;0.000006;
2;4;-1/20.000000;-338.989041;0.019559;0.992534;0.999992;0.000000;0.815637;0.000006;

