FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-247.000000;-;-;-;-4.500000;-4.500000;-;
0;-;0.300000;-249.569022;-;-;-;-4.500000;-3.979386;-;
0;-;0.500000;-251.281703;-;-;-;-4.500000;-3.632310;-;
0;-;0.700000;-252.994385;-;-;-;-4.500000;-3.285234;-;
0;-;1.000000;-255.563407;-;-;-;-4.500000;-2.764620;-;
1;0;0.000000;-247.222057;-;-;-;-4.500000;-4.455000;-;
1;1;0.500000;-250.776610;-;-;-;-4.500000;-3.734667;-;
1;1;2.000000;-249.391412;-;-;-;-4.500000;-4.015379;-;
1;1;5.000000;-247.731847;-;-;-;-4.500000;-4.351691;-;
1;1;10.000000;-247.074134;-;-;-;-4.500000;-4.484977;-;
1;2;0.500000;-247.280357;-;-;-;-4.500000;-4.443185;-;
1;2;2.000000;-247.500534;-;-;-;-4.500000;-4.398566;-;
1;2;5.000000;-248.048385;-;-;-;-4.500000;-4.287544;-;
1;2;10.000000;-248.956104;-;-;-;-4.500000;-4.103594;-;
1;3;0.500000;-247.172264;-;-;-;-4.500000;-4.465091;-;
1;3;2.000000;-247.071346;-;-;-;-4.500000;-4.485542;-;
1;3;5.000000;-247.008042;-;-;-;-4.500000;-4.498370;-;
1;3;10.000000;-247.000115;-;-;-;-4.500000;-4.499977;-;
1;4;2.000000;-247.438356;-;-;-;-4.500000;-4.411167;-;
1;4;5.000000;-248.054178;-;-;-;-4.500000;-4.286370;-;
1;4;10.000000;-248.978583;-;-;-;-4.500000;-4.099039;-;
1;5;2.000000;-247.005758;-;-;-;-4.500000;-4.498833;-;
1;5;5.000000;-247.000000;-;-;-;-4.500000;-4.500000;-;
1;5;10.000000;-247.000000;-;-;-;-4.500000;-4.500000;-;
2;0;0/0.000000;-252.107952;0.000034;0.395608;1.000136;-4.500000;-2.982493;0.000001;
2;1;-1/1.000000;-251.881997;0.000034;0.391498;1.000168;-4.500000;-2.997107;0.000002;
2;2;-1/0.500000;-252.060712;0.000034;0.393791;1.000144;-4.500000;-2.985443;0.000001;
2;2;-1/2.000000;-251.912296;0.000037;0.389593;1.000156;-4.500000;-2.994492;0.000002;
2;2;-1/5.000000;-251.589284;0.000042;0.377589;1.000176;-4.500000;-3.013276;0.000002;
2;2;-1/10.000000;-250.998410;0.000047;0.357829;1.000193;-4.500000;-3.047029;0.000002;
2;2;-1/20.000000;-249.927297;0.000041;0.320701;1.000200;-4.500000;-3.118315;0.000003;
2;2;-1/40.000000;-248.804665;0.000021;0.267399;1.000256;-4.500000;-3.253190;0.000004;
2;2;-1/80.000000;-248.027523;0.000008;0.225617;1.000195;-4.500000;-3.465347;0.000006;
2;3;-1/1.000000;-251.636694;0.000035;0.386877;1.000165;-4.500000;-3.011224;0.000002;
2;3;-1/2.000000;-251.416321;0.000035;0.381549;1.000175;-4.500000;-3.023680;0.000002;
2;3;-1/5.000000;-250.819938;0.000033;0.362748;1.000199;-4.500000;-3.056443;0.000002;
2;3;-1/10.000000;-250.085383;0.000028;0.340046;1.000209;-4.500000;-3.101848;0.000003;
2;3;-1/20.000000;-249.252130;0.000020;0.304740;1.000218;-4.500000;-3.181712;0.000003;
2;4;-1/1.000000;-251.876413;0.000034;0.392696;1.000156;-4.500000;-2.997074;0.000002;
2;4;-1/2.000000;-251.991967;0.000034;0.394225;1.000150;-4.500000;-2.989899;0.000002;
2;4;-1/5.000000;-252.061575;0.000034;0.394829;1.000142;-4.500000;-2.985480;0.000001;
2;4;-1/10.000000;-252.084801;0.000034;0.395187;1.000139;-4.500000;-2.983985;0.000001;
2;4;-1/20.000000;-252.096379;0.000034;0.395427;1.000139;-4.500000;-2.983245;0.000001;

