FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-945.243246;-;-;-;0.000000;0.423834;-;
0;-;0.500000;-946.072077;-;-;-;0.000000;0.706390;-;
0;-;0.700000;-946.900908;-;-;-;0.000000;0.988946;-;
0;-;1.000000;-948.144155;-;-;-;0.000000;1.412780;-;
1;0;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-945.814408;-;-;-;0.000000;0.618548;-;
1;1;2.000000;-945.114535;-;-;-;0.000000;0.379955;-;
1;1;5.000000;-944.314368;-;-;-;0.000000;0.107171;-;
1;1;10.000000;-944.027736;-;-;-;0.000000;0.009456;-;
1;2;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-945.444638;0.000023;1.000000;0.999996;0.000000;0.940849;0.000003;
2;1;-1/1.000000;-945.108037;0.000015;1.000000;0.999996;0.000000;0.877532;0.000003;
2;2;-1/0.500000;-945.338627;0.000021;1.000000;0.999996;0.000000;0.920778;0.000003;
2;2;-1/2.000000;-945.068100;0.000016;1.000000;0.999995;0.000000;0.868013;0.000003;
2;2;-1/5.000000;-944.720590;0.000009;1.000000;0.999988;0.000000;0.793846;0.000003;
2;2;-1/10.000000;-944.459282;0.000003;1.000000;0.999985;0.000000;0.722899;0.000004;
2;2;-1/20.000000;-944.280318;0.000001;1.000000;0.999983;0.000000;0.639456;0.000004;
2;2;-1/40.000000;-944.170828;0.000000;0.993854;0.999983;0.000000;0.521626;0.000003;
2;2;-1/80.000000;-944.098991;0.000000;0.991159;0.999983;0.000000;0.355341;0.000002;
2;3;-1/1.000000;-944.905918;0.000011;1.000000;0.999993;0.000000;0.837364;0.000003;
2;3;-1/2.000000;-944.770819;0.000008;1.000000;0.999991;0.000000;0.808703;0.000003;
2;3;-1/5.000000;-944.544196;0.000004;1.000000;0.999987;0.000000;0.753338;0.000003;
2;3;-1/10.000000;-944.379746;0.000002;1.000000;0.999984;0.000000;0.697675;0.000004;
2;3;-1/20.000000;-944.251641;0.000001;1.000000;0.999984;0.000000;0.621829;0.000004;
2;4;-1/1.000000;-945.108037;0.000015;1.000000;0.999996;0.000000;0.877532;0.000003;
2;4;-1/2.000000;-945.252281;0.000019;1.000000;0.999997;0.000000;0.905045;0.000003;
2;4;-1/5.000000;-945.360472;0.000021;1.000000;0.999997;0.000000;0.925282;0.000003;
2;4;-1/10.000000;-945.401196;0.000022;1.000000;0.999996;0.000000;0.932831;0.000003;
2;4;-1/20.000000;-945.422560;0.000022;1.000000;0.999996;0.000000;0.936778;0.000003;

