FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;-291.983320;-289.800900;-;
0;-;0.300000;-1782.358225;-;-;-;-291.983320;-289.460156;-;
0;-;0.500000;-1787.139451;-;-;-;-291.983320;-289.232994;-;
0;-;0.700000;-1791.920676;-;-;-;-291.983320;-289.005831;-;
0;-;1.000000;-1799.092514;-;-;-;-291.983320;-288.665087;-;
1;0;0.000000;-1795.212785;-;-;-;-291.983320;-288.849418;-;
1;1;0.500000;-1788.146227;-;-;-;-291.983320;-289.185160;-;
1;1;2.000000;-1791.029352;-;-;-;-291.983320;-289.048179;-;
1;1;5.000000;-1795.363954;-;-;-;-291.983320;-288.842236;-;
1;1;10.000000;-1798.303160;-;-;-;-291.983320;-288.702591;-;
1;2;0.500000;-1795.977552;-;-;-;-291.983320;-288.813083;-;
1;2;2.000000;-1797.657748;-;-;-;-291.983320;-288.733255;-;
1;2;5.000000;-1798.889611;-;-;-;-291.983320;-288.674728;-;
1;2;10.000000;-1799.088099;-;-;-;-291.983320;-288.665297;-;
1;3;0.500000;-1794.357087;-;-;-;-291.983320;-288.890074;-;
1;3;2.000000;-1791.429376;-;-;-;-291.983320;-289.029173;-;
1;3;5.000000;-1785.715671;-;-;-;-291.983320;-289.300639;-;
1;3;10.000000;-1779.902800;-;-;-;-291.983320;-289.576817;-;
1;4;2.000000;-1798.462872;-;-;-;-291.983320;-288.695002;-;
1;4;5.000000;-1799.089823;-;-;-;-291.983320;-288.665215;-;
1;4;10.000000;-1799.092514;-;-;-;-291.983320;-288.665087;-;
1;5;2.000000;-1791.962698;-;-;-;-291.983320;-289.003835;-;
1;5;5.000000;-1785.048667;-;-;-;-291.983320;-289.332330;-;
1;5;10.000000;-1779.254991;-;-;-;-291.983320;-289.607595;-;
2;0;0/0.000000;-1785.263557;0.000267;0.526485;1.000086;-291.983320;-290.254678;0.000007;
2;1;-1/1.000000;-1785.728258;0.000267;0.565542;1.000087;-291.983320;-290.212219;0.000007;
2;2;-1/0.500000;-1785.362604;0.000262;0.518590;1.000077;-291.983320;-290.245285;0.000007;
2;2;-1/2.000000;-1785.688372;0.000274;0.546861;1.000042;-291.983320;-290.217347;0.000007;
2;2;-1/5.000000;-1786.319756;0.000281;0.591975;1.000182;-291.983320;-290.159557;0.000007;
2;2;-1/10.000000;-1787.386635;0.000292;0.543971;1.000120;-291.983320;-290.059139;0.000007;
2;2;-1/20.000000;-1789.290732;0.000317;0.383237;1.000118;-291.983320;-289.877316;0.000008;
2;2;-1/40.000000;-1791.989989;0.000328;0.230296;1.000217;-291.983320;-289.611382;0.000010;
2;2;-1/80.000000;-1794.796111;0.000296;0.131267;1.000932;-291.983320;-289.289306;0.000015;
2;3;-1/1.000000;-1786.456312;0.000249;0.604380;1.000091;-291.983320;-290.147928;0.000007;
2;3;-1/2.000000;-1786.873040;0.000242;0.577672;1.000129;-291.983320;-290.109418;0.000007;
2;3;-1/5.000000;-1787.973112;0.000243;0.506611;1.000154;-291.983320;-290.005761;0.000006;
2;3;-1/10.000000;-1789.350403;0.000230;0.397478;1.000139;-291.983320;-289.870573;0.000007;
2;3;-1/20.000000;-1791.215087;0.000221;0.282063;1.000381;-291.983320;-289.692447;0.000008;
2;4;-1/1.000000;-1785.781994;0.000256;0.569637;1.000128;-291.983320;-290.210725;0.000007;
2;4;-1/2.000000;-1785.513483;0.000263;0.554976;1.000080;-291.983320;-290.233849;0.000007;
2;4;-1/5.000000;-1785.362255;0.000261;0.538975;1.000129;-291.983320;-290.246472;0.000007;
2;4;-1/10.000000;-1785.302667;0.000264;0.523146;1.000093;-291.983320;-290.251180;0.000007;
2;4;-1/20.000000;-1785.286759;0.000267;0.522255;1.000075;-291.983320;-290.253131;0.000007;

