FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;11396.774194;11396.774194;-;
0;-;0.300000;-18404.089144;-;-;-;11396.774194;11397.891935;-;
0;-;0.500000;-18404.761476;-;-;-;11396.774194;11398.637097;-;
0;-;0.700000;-18405.433809;-;-;-;11396.774194;11399.382258;-;
0;-;1.000000;-18406.442308;-;-;-;11396.774194;11400.500000;-;
1;0;0.000000;-18403.695069;-;-;-;11396.774194;11397.455173;-;
1;1;0.500000;-18404.628454;-;-;-;11396.774194;11398.489665;-;
1;1;2.000000;-18404.245467;-;-;-;11396.774194;11398.065191;-;
1;1;5.000000;-18403.651889;-;-;-;11396.774194;11397.407315;-;
1;1;10.000000;-18403.215861;-;-;-;11396.774194;11396.924056;-;
1;2;0.500000;-18403.826808;-;-;-;11396.774194;11397.601183;-;
1;2;2.000000;-18404.271031;-;-;-;11396.774194;11398.093525;-;
1;2;5.000000;-18405.108042;-;-;-;11396.774194;11399.021203;-;
1;2;10.000000;-18405.901958;-;-;-;11396.774194;11399.901118;-;
1;3;0.500000;-18403.576523;-;-;-;11396.774194;11397.323787;-;
1;3;2.000000;-18403.312841;-;-;-;11396.774194;11397.031541;-;
1;3;5.000000;-18403.114714;-;-;-;11396.774194;11396.811953;-;
1;3;10.000000;-18403.081442;-;-;-;11396.774194;11396.775077;-;
1;4;2.000000;-18404.197191;-;-;-;11396.774194;11398.011687;-;
1;4;5.000000;-18405.216941;-;-;-;11396.774194;11399.141899;-;
1;4;10.000000;-18405.995647;-;-;-;11396.774194;11400.004956;-;
1;5;2.000000;-18403.192946;-;-;-;11396.774194;11396.898659;-;
1;5;5.000000;-18403.081331;-;-;-;11396.774194;11396.774954;-;
1;5;10.000000;-18403.080645;-;-;-;11396.774194;11396.774194;-;
2;0;0/0.000000;-18404.764561;0.000005;0.852533;1.000182;11396.774194;11399.531180;0.000016;
2;1;-1/1.000000;-18404.699227;0.000005;0.821054;1.000206;11396.774194;11399.471962;0.000017;
2;2;-1/0.500000;-18404.748232;0.000005;0.843486;1.000187;11396.774194;11399.516314;0.000016;
2;2;-1/2.000000;-18404.699099;0.000005;0.814660;1.000205;11396.774194;11399.471029;0.000018;
2;2;-1/5.000000;-18404.600938;0.000005;0.748778;1.000237;11396.774194;11399.377598;0.000020;
2;2;-1/10.000000;-18404.439885;0.000006;0.611493;1.000304;11396.774194;11399.212775;0.000027;
2;2;-1/20.000000;-18404.142303;0.000007;0.373654;1.000412;11396.774194;11398.851281;0.000050;
2;2;-1/40.000000;-18403.730435;0.000007;0.197651;1.000676;11396.774194;11398.175498;0.000085;
2;2;-1/80.000000;-18403.413958;0.000003;0.129326;1.000783;11396.774194;11397.511353;0.000047;
2;3;-1/1.000000;-18404.602321;0.000005;0.772656;1.000238;11396.774194;11399.382553;0.000019;
2;3;-1/2.000000;-18404.546846;0.000005;0.733101;1.000238;11396.774194;11399.329288;0.000020;
2;3;-1/5.000000;-18404.398008;0.000005;0.612042;1.000282;11396.774194;11399.177161;0.000027;
2;3;-1/10.000000;-18404.194457;0.000005;0.437808;1.000394;11396.774194;11398.939204;0.000043;
2;3;-1/20.000000;-18403.905860;0.000006;0.267002;1.000554;11396.774194;11398.509736;0.000074;
2;4;-1/1.000000;-18404.697752;0.000005;0.824036;1.000208;11396.774194;11399.471089;0.000017;
2;4;-1/2.000000;-18404.730527;0.000005;0.837806;1.000194;11396.774194;11399.500793;0.000017;
2;4;-1/5.000000;-18404.750759;0.000005;0.846746;1.000186;11396.774194;11399.518897;0.000016;
2;4;-1/10.000000;-18404.757627;0.000005;0.849730;1.000184;11396.774194;11399.525017;0.000016;
2;4;-1/20.000000;-18404.761086;0.000005;0.851124;1.000183;11396.774194;11399.528092;0.000016;

