FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-118.148069;-;-;-;-22.652370;-21.414250;-;
0;-;0.300000;-119.962155;-;-;-;-22.652370;-21.414250;-;
0;-;0.500000;-121.171545;-;-;-;-22.652370;-21.414250;-;
0;-;0.700000;-122.380935;-;-;-;-22.652370;-21.414250;-;
0;-;1.000000;-124.195021;-;-;-;-22.652370;-21.414250;-;
1;0;0.000000;-119.254406;-;-;-;-22.652370;-21.414250;-;
1;1;0.500000;-120.932403;-;-;-;-22.652370;-21.414250;-;
1;1;2.000000;-120.243852;-;-;-;-22.652370;-21.414250;-;
1;1;5.000000;-119.176406;-;-;-;-22.652370;-21.414250;-;
1;1;10.000000;-118.391726;-;-;-;-22.652370;-21.414250;-;
1;2;0.500000;-119.491556;-;-;-;-22.652370;-21.414250;-;
1;2;2.000000;-120.291119;-;-;-;-22.652370;-21.414250;-;
1;2;5.000000;-121.797193;-;-;-;-22.652370;-21.414250;-;
1;2;10.000000;-123.224829;-;-;-;-22.652370;-21.414250;-;
1;3;0.500000;-119.040994;-;-;-;-22.652370;-21.414250;-;
1;3;2.000000;-118.566245;-;-;-;-22.652370;-21.414250;-;
1;3;5.000000;-118.209446;-;-;-;-22.652370;-21.414250;-;
1;3;10.000000;-118.149505;-;-;-;-22.652370;-21.414250;-;
1;4;2.000000;-120.158330;-;-;-;-22.652370;-21.414250;-;
1;4;5.000000;-121.993317;-;-;-;-22.652370;-21.414250;-;
1;4;10.000000;-123.393377;-;-;-;-22.652370;-21.414250;-;
1;5;2.000000;-118.350482;-;-;-;-22.652370;-21.414250;-;
1;5;5.000000;-118.149309;-;-;-;-22.652370;-21.414250;-;
1;5;10.000000;-118.148069;-;-;-;-22.652370;-21.414250;-;
2;0;0/0.000000;-120.792467;0.000027;0.047511;1.002589;-22.652370;-21.459467;0.000002;
2;1;-1/1.000000;-120.763966;0.000030;0.023942;1.005230;-22.652370;-21.458475;0.000001;
2;2;-1/0.500000;-120.779883;0.000030;0.042241;1.002614;-22.652370;-21.457228;0.000001;
2;2;-1/2.000000;-120.758570;0.000030;0.038186;1.001997;-22.652370;-21.457336;0.000001;
2;2;-1/5.000000;-120.712487;0.000027;0.039318;1.002498;-22.652370;-21.457759;0.000001;
2;2;-1/10.000000;-120.647539;0.000026;0.027917;1.002785;-22.652370;-21.457915;0.000001;
2;2;-1/20.000000;-120.538154;0.000022;0.032512;1.003108;-22.652370;-21.457674;0.000001;
2;2;-1/40.000000;-120.366135;0.000030;0.027670;1.004424;-22.652370;-21.455509;0.000001;
2;2;-1/80.000000;-120.093026;0.000090;0.012558;1.004746;-22.652370;-21.451874;0.000001;
2;3;-1/1.000000;-120.719645;0.000028;0.039687;1.002152;-22.652370;-21.459238;0.000001;
2;3;-1/2.000000;-120.697821;0.000026;0.038460;1.004449;-22.652370;-21.458305;0.000001;
2;3;-1/5.000000;-120.632275;0.000021;0.035960;1.002678;-22.652370;-21.457754;0.000001;
2;3;-1/10.000000;-120.532265;0.000023;0.032582;1.002436;-22.652370;-21.457077;0.000001;
2;3;-1/20.000000;-120.403490;0.000019;0.034428;1.003882;-22.652370;-21.456559;0.000001;
2;4;-1/1.000000;-120.760245;0.000029;0.039612;1.003407;-22.652370;-21.458778;0.000001;
2;4;-1/2.000000;-120.773840;0.000028;0.041034;1.002483;-22.652370;-21.458879;0.000001;
2;4;-1/5.000000;-120.792428;0.000027;0.045390;1.005685;-22.652370;-21.457441;0.000001;
2;4;-1/10.000000;-120.792976;0.000031;0.036017;1.002305;-22.652370;-21.457982;0.000001;
2;4;-1/20.000000;-120.785928;0.000033;0.039734;1.003014;-22.652370;-21.458307;0.000001;

