FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-609.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-653.850000;-;-;-;0.000000;0.000000;-;
0;-;0.500000;-683.750000;-;-;-;0.000000;0.000000;-;
0;-;0.700000;-713.650000;-;-;-;0.000000;0.000000;-;
0;-;1.000000;-758.500000;-;-;-;0.000000;0.000000;-;
1;0;0.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-674.454613;-;-;-;0.000000;0.000000;-;
1;1;2.000000;-649.206742;-;-;-;0.000000;0.000000;-;
1;1;5.000000;-620.340798;-;-;-;0.000000;0.000000;-;
1;1;10.000000;-610.000581;-;-;-;0.000000;0.000000;-;
1;2;0.500000;-609.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-609.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-609.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-609.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-683.725908;0.046979;1.000000;0.999973;0.000000;-0.000000;0.000000;
2;1;-1/1.000000;-658.890211;0.031929;0.983936;0.999964;0.000000;-0.000000;0.000000;
2;2;-1/0.500000;-677.551355;0.046426;1.000000;0.999971;0.000000;-0.000000;0.000000;
2;2;-1/2.000000;-660.433456;0.039698;0.982964;0.999964;0.000000;-0.000000;0.000000;
2;2;-1/5.000000;-637.994080;0.019303;0.975683;0.999956;0.000000;0.000000;0.000000;
2;2;-1/10.000000;-624.006379;0.005690;0.995121;0.999955;0.000000;0.000000;0.000000;
2;2;-1/20.000000;-616.506777;0.001458;0.975497;0.999954;0.000000;0.000000;0.000000;
2;2;-1/40.000000;-612.753389;0.000365;0.975497;0.999954;0.000000;0.000000;0.000000;
2;2;-1/80.000000;-610.876694;0.000091;0.975497;0.999954;0.000000;0.000000;0.000000;
2;3;-1/1.000000;-646.446865;0.021660;0.980507;0.999961;0.000000;0.000000;0.000000;
2;3;-1/2.000000;-638.971572;0.015440;0.978999;0.999959;0.000000;0.000000;0.000000;
2;3;-1/5.000000;-627.745366;0.007058;0.977253;0.999957;0.000000;0.000000;0.000000;
2;3;-1/10.000000;-620.540747;0.002951;0.976425;0.999956;0.000000;0.000000;0.000000;
2;3;-1/20.000000;-615.525038;0.001009;0.975967;0.999955;0.000000;0.000000;0.000000;
2;4;-1/1.000000;-658.890211;0.031929;0.983936;0.999964;0.000000;-0.000000;0.000000;
2;4;-1/2.000000;-668.831740;0.038727;1.000000;0.999967;0.000000;-0.000000;0.000000;
2;4;-1/5.000000;-676.958115;0.043714;1.000000;0.999970;0.000000;-0.000000;0.000000;
2;4;-1/10.000000;-680.181279;0.045379;1.000000;0.999971;0.000000;-0.000000;0.000000;
2;4;-1/20.000000;-681.910468;0.046191;1.000000;0.999972;0.000000;-0.000000;0.000000;

