FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-347.994495;-347.994495;-;
0;-;0.300000;-1000.172723;-;-;-;-347.994495;-347.041930;-;
0;-;0.500000;-1001.371578;-;-;-;-347.994495;-346.406887;-;
0;-;0.700000;-1002.570434;-;-;-;-347.994495;-345.771844;-;
0;-;1.000000;-1004.368717;-;-;-;-347.994495;-344.819278;-;
1;0;0.000000;-1000.822405;-;-;-;-347.994495;-346.697788;-;
1;1;0.500000;-1001.302944;-;-;-;-347.994495;-346.443243;-;
1;1;2.000000;-1001.097757;-;-;-;-347.994495;-346.551932;-;
1;1;5.000000;-1000.696870;-;-;-;-347.994495;-346.764286;-;
1;1;10.000000;-1000.087248;-;-;-;-347.994495;-347.087207;-;
1;2;0.500000;-1001.188147;-;-;-;-347.994495;-346.504052;-;
1;2;2.000000;-1002.243755;-;-;-;-347.994495;-345.944888;-;
1;2;5.000000;-1003.626169;-;-;-;-347.994495;-345.212612;-;
1;2;10.000000;-1004.268024;-;-;-;-347.994495;-344.872616;-;
1;3;0.500000;-1000.467642;-;-;-;-347.994495;-346.885709;-;
1;3;2.000000;-999.559561;-;-;-;-347.994495;-347.366727;-;
1;3;5.000000;-998.647101;-;-;-;-347.994495;-347.850064;-;
1;3;10.000000;-998.390326;-;-;-;-347.994495;-347.986080;-;
1;4;2.000000;-1002.270662;-;-;-;-347.994495;-345.930635;-;
1;4;5.000000;-1003.934269;-;-;-;-347.994495;-345.049409;-;
1;4;10.000000;-1004.337229;-;-;-;-347.994495;-344.835958;-;
1;5;2.000000;-999.374149;-;-;-;-347.994495;-347.464941;-;
1;5;5.000000;-998.442529;-;-;-;-347.994495;-347.958428;-;
1;5;10.000000;-998.375213;-;-;-;-347.994495;-347.994086;-;
2;0;0/0.000000;-1003.002316;0.000015;0.398047;1.000183;-347.994495;-345.008933;0.000005;
2;1;-1/1.000000;-1002.989713;0.000016;0.390182;1.000225;-347.994495;-345.011279;0.000006;
2;2;-1/0.500000;-1002.998457;0.000018;0.352729;1.000089;-347.994495;-345.009821;0.000006;
2;2;-1/2.000000;-1002.985530;0.000016;0.382208;1.000099;-347.994495;-345.013775;0.000006;
2;2;-1/5.000000;-1002.956893;0.000017;0.382352;1.000337;-347.994495;-345.027690;0.000006;
2;2;-1/10.000000;-1002.912842;0.000019;0.374717;1.000111;-347.994495;-345.044559;0.000007;
2;2;-1/20.000000;-1002.808179;0.000024;0.347018;1.000098;-347.994495;-345.087758;0.000010;
2;2;-1/40.000000;-1002.546788;0.000042;0.250866;1.000141;-347.994495;-345.203227;0.000019;
2;2;-1/80.000000;-1001.828640;0.000102;0.126011;1.000542;-347.994495;-345.578179;0.000063;
2;3;-1/1.000000;-1002.767990;0.000021;0.355347;1.000052;-347.994495;-345.098071;0.000009;
2;3;-1/2.000000;-1002.726953;0.000022;0.348017;1.000090;-347.994495;-345.114518;0.000009;
2;3;-1/5.000000;-1002.615318;0.000024;0.321893;1.000141;-347.994495;-345.163278;0.000011;
2;3;-1/10.000000;-1002.417396;0.000030;0.266523;1.000289;-347.994495;-345.253422;0.000017;
2;3;-1/20.000000;-1002.047963;0.000039;0.189369;1.000580;-347.994495;-345.437330;0.000029;
2;4;-1/1.000000;-1002.967590;0.000015;0.406708;1.000151;-347.994495;-345.021743;0.000006;
2;4;-1/2.000000;-1002.984965;0.000015;0.407040;1.000060;-347.994495;-345.015548;0.000005;
2;4;-1/5.000000;-1002.994572;0.000015;0.398097;1.000311;-347.994495;-345.010678;0.000005;
2;4;-1/10.000000;-1002.998711;0.000015;0.392381;1.000244;-347.994495;-345.011621;0.000005;
2;4;-1/20.000000;-1002.998669;0.000015;0.389813;1.000163;-347.994495;-345.010441;0.000006;

