FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-326.505898;-;-;-;-119.689655;-115.910685;-;
0;-;0.300000;-349.491105;-;-;-;-119.689655;-115.910685;-;
0;-;0.500000;-364.814577;-;-;-;-119.689655;-115.910685;-;
0;-;0.700000;-380.138048;-;-;-;-119.689655;-115.910685;-;
0;-;1.000000;-403.123256;-;-;-;-119.689655;-115.910685;-;
1;0;0.000000;-350.772577;-;-;-;-119.689655;-115.910685;-;
1;1;0.500000;-363.060554;-;-;-;-119.689655;-115.910685;-;
1;1;2.000000;-357.871145;-;-;-;-119.689655;-115.910685;-;
1;1;5.000000;-348.395301;-;-;-;-119.689655;-115.910685;-;
1;1;10.000000;-337.072329;-;-;-;-119.689655;-115.910685;-;
1;2;0.500000;-355.024952;-;-;-;-119.689655;-115.910685;-;
1;2;2.000000;-368.085214;-;-;-;-119.689655;-115.910685;-;
1;2;5.000000;-387.812218;-;-;-;-119.689655;-115.910685;-;
1;2;10.000000;-399.899540;-;-;-;-119.689655;-115.910685;-;
1;3;0.500000;-346.771708;-;-;-;-119.689655;-115.910685;-;
1;3;2.000000;-337.108018;-;-;-;-119.689655;-115.910685;-;
1;3;5.000000;-328.518666;-;-;-;-119.689655;-115.910685;-;
1;3;10.000000;-326.585008;-;-;-;-119.689655;-115.910685;-;
1;4;2.000000;-367.353377;-;-;-;-119.689655;-115.910685;-;
1;4;5.000000;-391.712802;-;-;-;-119.689655;-115.910685;-;
1;4;10.000000;-401.423922;-;-;-;-119.689655;-115.910685;-;
1;5;2.000000;-334.191776;-;-;-;-119.689655;-115.910685;-;
1;5;5.000000;-326.750096;-;-;-;-119.689655;-115.910685;-;
1;5;10.000000;-326.506676;-;-;-;-119.689655;-115.910685;-;
2;0;0/0.000000;-376.136738;0.019213;0.028177;1.001629;-119.689655;-116.381540;0.000013;
2;1;-1/1.000000;-374.933590;0.020611;0.027255;1.001765;-119.689655;-116.379114;0.000014;
2;2;-1/0.500000;-375.867313;0.019634;0.027943;1.001658;-119.689655;-116.380980;0.000013;
2;2;-1/2.000000;-375.056657;0.020934;0.027253;1.001755;-119.689655;-116.379340;0.000014;
2;2;-1/5.000000;-373.429181;0.023528;0.026079;1.001991;-119.689655;-116.375991;0.000014;
2;2;-1/10.000000;-370.757923;0.028025;0.024470;1.002399;-119.689655;-116.370098;0.000015;
2;2;-1/20.000000;-365.853539;0.039156;0.021323;1.003382;-119.689655;-116.355323;0.000018;
2;2;-1/40.000000;-358.077260;0.071340;0.015896;1.006412;-119.689655;-116.308425;0.000027;
2;2;-1/80.000000;-346.753068;0.088583;0.011759;1.009494;-119.689655;-116.180821;0.000029;
2;3;-1/1.000000;-370.696052;0.020279;0.025494;1.002372;-119.689655;-116.370940;0.000015;
2;3;-1/2.000000;-369.523497;0.020812;0.024956;1.002495;-119.689655;-116.368596;0.000015;
2;3;-1/5.000000;-366.595605;0.023289;0.023513;1.002892;-119.689655;-116.361556;0.000017;
2;3;-1/10.000000;-363.022324;0.029771;0.021280;1.003949;-119.689655;-116.348415;0.000019;
2;3;-1/20.000000;-357.994811;0.045764;0.017926;1.005272;-119.689655;-116.313868;0.000024;
2;4;-1/1.000000;-374.504765;0.019555;0.027223;1.001817;-119.689655;-116.378161;0.000014;
2;4;-1/2.000000;-375.303819;0.019408;0.027674;1.001714;-119.689655;-116.379757;0.000013;
2;4;-1/5.000000;-375.799879;0.019290;0.027975;1.001660;-119.689655;-116.380803;0.000013;
2;4;-1/10.000000;-375.967765;0.019251;0.028077;1.001644;-119.689655;-116.381166;0.000013;
2;4;-1/20.000000;-376.052124;0.019232;0.028127;1.001637;-119.689655;-116.381353;0.000013;

