FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;8077.693548;8077.693548;-;
0;-;0.300000;-18404.089144;-;-;-;8077.693548;8078.985484;-;
0;-;0.500000;-18404.761476;-;-;-;8077.693548;8079.846774;-;
0;-;0.700000;-18405.433809;-;-;-;8077.693548;8080.708065;-;
0;-;1.000000;-18406.442308;-;-;-;8077.693548;8082.000000;-;
1;0;0.000000;-18403.698053;-;-;-;8077.693548;8078.484477;-;
1;1;0.500000;-18404.628825;-;-;-;8077.693548;8079.676841;-;
1;1;2.000000;-18404.246818;-;-;-;8077.693548;8079.187473;-;
1;1;5.000000;-18403.653996;-;-;-;8077.693548;8078.428039;-;
1;1;10.000000;-18403.217018;-;-;-;8077.693548;8077.868248;-;
1;2;0.500000;-18403.830268;-;-;-;8077.693548;8078.653852;-;
1;2;2.000000;-18404.275816;-;-;-;8077.693548;8079.224620;-;
1;2;5.000000;-18405.114052;-;-;-;8077.693548;8080.298441;-;
1;2;10.000000;-18405.906735;-;-;-;8077.693548;8081.313905;-;
1;3;0.500000;-18403.579044;-;-;-;8077.693548;8078.332022;-;
1;3;2.000000;-18403.314188;-;-;-;8077.693548;8077.992728;-;
1;3;5.000000;-18403.114967;-;-;-;8077.693548;8077.737516;-;
1;3;10.000000;-18403.081450;-;-;-;8077.693548;8077.694580;-;
1;4;2.000000;-18404.202066;-;-;-;8077.693548;8079.130143;-;
1;4;5.000000;-18405.223582;-;-;-;8077.693548;8080.438754;-;
1;4;10.000000;-18406.000475;-;-;-;8077.693548;8081.433991;-;
1;5;2.000000;-18403.194039;-;-;-;8077.693548;8077.838811;-;
1;5;5.000000;-18403.081348;-;-;-;8077.693548;8077.694448;-;
1;5;10.000000;-18403.080645;-;-;-;8077.693548;8077.693549;-;
2;0;0/0.000000;-18404.764561;0.000005;0.852533;1.000182;8077.693548;8080.346691;0.000010;
2;1;-1/1.000000;-18404.699409;0.000005;0.821119;1.000206;8077.693548;8080.267321;0.000011;
2;2;-1/0.500000;-18404.748277;0.000005;0.843512;1.000187;8077.693548;8080.326798;0.000010;
2;2;-1/2.000000;-18404.699283;0.000005;0.814765;1.000205;8077.693548;8080.266588;0.000011;
2;2;-1/5.000000;-18404.601395;0.000005;0.749117;1.000237;8077.693548;8080.144399;0.000013;
2;2;-1/10.000000;-18404.440773;0.000006;0.612289;1.000304;8077.693548;8079.937217;0.000016;
2;2;-1/20.000000;-18404.143824;0.000007;0.374521;1.000412;8077.693548;8079.525726;0.000027;
2;2;-1/40.000000;-18403.732044;0.000007;0.198138;1.000674;8077.693548;8078.875206;0.000038;
2;2;-1/80.000000;-18403.414890;0.000003;0.129376;1.000783;8077.693548;8078.308354;0.000020;
2;3;-1/1.000000;-18404.602481;0.000005;0.772762;1.000238;8077.693548;8080.148044;0.000012;
2;3;-1/2.000000;-18404.547148;0.000005;0.733332;1.000238;8077.693548;8080.078478;0.000012;
2;3;-1/5.000000;-18404.398647;0.000005;0.612600;1.000282;8077.693548;8079.886395;0.000015;
2;3;-1/10.000000;-18404.195467;0.000005;0.438527;1.000394;8077.693548;8079.608648;0.000021;
2;3;-1/20.000000;-18403.907136;0.000006;0.267608;1.000552;8077.693548;8079.172705;0.000031;
2;4;-1/1.000000;-18404.697932;0.000005;0.824110;1.000208;8077.693548;8080.265886;0.000011;
2;4;-1/2.000000;-18404.730620;0.000005;0.837844;1.000194;8077.693548;8080.305701;0.000010;
2;4;-1/5.000000;-18404.750797;0.000005;0.846762;1.000186;8077.693548;8080.330096;0.000010;
2;4;-1/10.000000;-18404.757646;0.000005;0.849738;1.000184;8077.693548;8080.338360;0.000010;
2;4;-1/20.000000;-18404.761095;0.000005;0.851128;1.000183;8077.693548;8080.342517;0.000010;

