FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-171.580715;-;-;-;-10.285483;-8.756603;-;
0;-;0.300000;-174.313863;-;-;-;-10.285483;-8.756603;-;
0;-;0.500000;-176.135962;-;-;-;-10.285483;-8.756603;-;
0;-;0.700000;-177.958061;-;-;-;-10.285483;-8.756603;-;
0;-;1.000000;-180.691210;-;-;-;-10.285483;-8.756603;-;
1;0;0.000000;-172.193620;-;-;-;-10.285483;-8.756603;-;
1;1;0.500000;-175.645083;-;-;-;-10.285483;-8.756603;-;
1;1;2.000000;-174.279260;-;-;-;-10.285483;-8.756603;-;
1;1;5.000000;-172.519685;-;-;-;-10.285483;-8.756603;-;
1;1;10.000000;-171.699440;-;-;-;-10.285483;-8.756603;-;
1;2;0.500000;-172.346609;-;-;-;-10.285483;-8.756603;-;
1;2;2.000000;-172.907150;-;-;-;-10.285483;-8.756603;-;
1;2;5.000000;-174.200722;-;-;-;-10.285483;-8.756603;-;
1;2;10.000000;-176.042279;-;-;-;-10.285483;-8.756603;-;
1;3;0.500000;-172.061145;-;-;-;-10.285483;-8.756603;-;
1;3;2.000000;-171.786082;-;-;-;-10.285483;-8.756603;-;
1;3;5.000000;-171.605427;-;-;-;-10.285483;-8.756603;-;
1;3;10.000000;-171.581112;-;-;-;-10.285483;-8.756603;-;
1;4;2.000000;-172.765292;-;-;-;-10.285483;-8.756603;-;
1;4;5.000000;-174.259730;-;-;-;-10.285483;-8.756603;-;
1;4;10.000000;-176.150959;-;-;-;-10.285483;-8.756603;-;
1;5;2.000000;-171.621948;-;-;-;-10.285483;-8.756603;-;
1;5;5.000000;-171.580728;-;-;-;-10.285483;-8.756603;-;
1;5;10.000000;-171.580715;-;-;-;-10.285483;-8.756603;-;
2;0;0/0.000000;-175.777121;0.000042;0.096088;1.001366;-10.285483;-8.840528;0.000001;
2;1;-1/1.000000;-175.741159;0.000047;0.086739;1.001611;-10.285483;-8.840631;0.000001;
2;2;-1/0.500000;-175.760521;0.000045;0.091185;1.001365;-10.285483;-8.840308;0.000001;
2;2;-1/2.000000;-175.718892;0.000046;0.091260;1.001083;-10.285483;-8.840249;0.000001;
2;2;-1/5.000000;-175.652387;0.000041;0.090378;1.000885;-10.285483;-8.840379;0.000001;
2;2;-1/10.000000;-175.516533;0.000043;0.057000;1.001296;-10.285483;-8.839206;0.000001;
2;2;-1/20.000000;-175.249618;0.000055;0.059679;1.000742;-10.285483;-8.838002;0.000001;
2;2;-1/40.000000;-174.717072;0.000103;0.032141;1.001620;-10.285483;-8.830042;0.000001;
2;2;-1/80.000000;-173.712723;0.000176;0.014773;1.007151;-10.285483;-8.808215;0.000001;
2;3;-1/1.000000;-175.662050;0.000037;0.072408;1.002280;-10.285483;-8.840519;0.000001;
2;3;-1/2.000000;-175.627081;0.000038;0.097952;1.001099;-10.285483;-8.840560;0.000001;
2;3;-1/5.000000;-175.498396;0.000042;0.075473;1.001115;-10.285483;-8.839877;0.000001;
2;3;-1/10.000000;-175.284820;0.000046;0.061190;1.001437;-10.285483;-8.837724;0.000001;
2;3;-1/20.000000;-174.894550;0.000064;0.047699;1.001653;-10.285483;-8.834683;0.000001;
2;4;-1/1.000000;-175.728286;0.000036;0.094281;1.001105;-10.285483;-8.839865;0.000001;
2;4;-1/2.000000;-175.754707;0.000043;0.096323;1.001180;-10.285483;-8.840573;0.000001;
2;4;-1/5.000000;-175.766508;0.000043;0.077805;1.001990;-10.285483;-8.839596;0.000001;
2;4;-1/10.000000;-175.775818;0.000041;0.078058;1.001255;-10.285483;-8.839875;0.000001;
2;4;-1/20.000000;-175.776605;0.000041;0.074313;1.001705;-10.285483;-8.839271;0.000001;

