FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.543688;-;-;-;-30.750000;-29.212000;-;
0;-;0.300000;-433.274183;-;-;-;-30.750000;-29.212000;-;
0;-;0.500000;-434.427846;-;-;-;-30.750000;-29.212000;-;
0;-;0.700000;-435.581510;-;-;-;-30.750000;-29.212000;-;
0;-;1.000000;-437.312005;-;-;-;-30.750000;-29.212000;-;
1;0;0.000000;-432.696976;-;-;-;-30.750000;-29.212000;-;
1;1;0.500000;-434.211892;-;-;-;-30.750000;-29.212000;-;
1;1;2.000000;-433.587483;-;-;-;-30.750000;-29.212000;-;
1;1;5.000000;-432.595696;-;-;-;-30.750000;-29.212000;-;
1;1;10.000000;-431.817086;-;-;-;-30.750000;-29.212000;-;
1;2;0.500000;-432.938354;-;-;-;-30.750000;-29.212000;-;
1;2;2.000000;-433.742454;-;-;-;-30.750000;-29.212000;-;
1;2;5.000000;-435.214000;-;-;-;-30.750000;-29.212000;-;
1;2;10.000000;-436.531067;-;-;-;-30.750000;-29.212000;-;
1;3;0.500000;-432.478530;-;-;-;-30.750000;-29.212000;-;
1;3;2.000000;-431.987553;-;-;-;-30.750000;-29.212000;-;
1;3;5.000000;-431.610890;-;-;-;-30.750000;-29.212000;-;
1;3;10.000000;-431.545360;-;-;-;-30.750000;-29.212000;-;
1;4;2.000000;-433.619682;-;-;-;-30.750000;-29.212000;-;
1;4;5.000000;-435.421074;-;-;-;-30.750000;-29.212000;-;
1;4;10.000000;-436.692133;-;-;-;-30.750000;-29.212000;-;
1;5;2.000000;-431.774270;-;-;-;-30.750000;-29.212000;-;
1;5;5.000000;-431.545530;-;-;-;-30.750000;-29.212000;-;
1;5;10.000000;-431.543688;-;-;-;-30.750000;-29.212000;-;
2;0;0/0.000000;-434.604654;0.000018;0.857502;1.000051;-30.750000;-29.471768;0.000001;
2;1;-1/1.000000;-434.460077;0.000018;0.794511;1.000072;-30.750000;-29.466736;0.000001;
2;2;-1/0.500000;-434.569602;0.000018;0.859699;1.000052;-30.750000;-29.470539;0.000001;
2;2;-1/2.000000;-434.462162;0.000019;0.866867;1.000067;-30.750000;-29.466276;0.000001;
2;2;-1/5.000000;-434.235841;0.000020;0.870264;1.000121;-30.750000;-29.456334;0.000001;
2;2;-1/10.000000;-433.852340;0.000019;0.811899;1.000193;-30.750000;-29.435986;0.000001;
2;2;-1/20.000000;-433.217841;0.000013;0.761837;1.000141;-30.750000;-29.392780;0.000001;
2;2;-1/40.000000;-432.591511;0.000006;0.566086;1.000028;-30.750000;-29.334456;0.000000;
2;2;-1/80.000000;-432.133715;0.000003;0.346140;1.000039;-30.750000;-29.280755;0.000000;
2;3;-1/1.000000;-434.216714;0.000018;0.876096;1.000104;-30.750000;-29.457270;0.000001;
2;3;-1/2.000000;-434.082834;0.000017;0.873822;1.000133;-30.750000;-29.450628;0.000001;
2;3;-1/5.000000;-433.733635;0.000015;0.855528;1.000126;-30.750000;-29.430360;0.000001;
2;3;-1/10.000000;-433.305958;0.000011;0.759275;1.000109;-30.750000;-29.401270;0.000001;
2;3;-1/20.000000;-432.839539;0.000006;0.664406;1.000041;-30.750000;-29.361747;0.000001;
2;4;-1/1.000000;-434.453885;0.000018;0.796085;1.000084;-30.750000;-29.467041;0.000001;
2;4;-1/2.000000;-434.528389;0.000018;0.867117;1.000064;-30.750000;-29.469623;0.000001;
2;4;-1/5.000000;-434.573981;0.000018;0.860399;1.000051;-30.750000;-29.470953;0.000001;
2;4;-1/10.000000;-434.589397;0.000018;0.858372;1.000048;-30.750000;-29.471349;0.000001;
2;4;-1/20.000000;-434.597110;0.000018;0.857887;1.000050;-30.750000;-29.471540;0.000001;

