FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-689.947066;-689.947066;-;
0;-;0.300000;-998.572769;-;-;-;-689.947066;-689.781142;-;
0;-;0.500000;-998.704988;-;-;-;-689.947066;-689.670526;-;
0;-;0.700000;-998.837207;-;-;-;-689.947066;-689.559910;-;
0;-;1.000000;-999.035536;-;-;-;-689.947066;-689.393986;-;
1;0;0.000000;-998.761376;-;-;-;-689.947066;-689.623351;-;
1;1;0.500000;-998.712035;-;-;-;-689.947066;-689.664630;-;
1;1;2.000000;-998.733114;-;-;-;-689.947066;-689.646995;-;
1;1;5.000000;-998.774424;-;-;-;-689.947066;-689.612435;-;
1;1;10.000000;-998.837992;-;-;-;-689.947066;-689.559254;-;
1;2;0.500000;-998.800725;-;-;-;-689.947066;-689.590431;-;
1;2;2.000000;-998.901852;-;-;-;-689.947066;-689.505827;-;
1;2;5.000000;-999.004355;-;-;-;-689.947066;-689.420072;-;
1;2;10.000000;-999.033668;-;-;-;-689.947066;-689.395549;-;
1;3;0.500000;-998.720896;-;-;-;-689.947066;-689.657217;-;
1;3;2.000000;-998.604554;-;-;-;-689.947066;-689.754550;-;
1;3;5.000000;-998.453647;-;-;-;-689.947066;-689.880801;-;
1;3;10.000000;-998.384863;-;-;-;-689.947066;-689.938346;-;
1;4;2.000000;-998.921841;-;-;-;-689.947066;-689.489104;-;
1;4;5.000000;-999.027427;-;-;-;-689.947066;-689.400769;-;
1;4;10.000000;-999.035437;-;-;-;-689.947066;-689.394069;-;
1;5;2.000000;-998.600912;-;-;-;-689.947066;-689.757597;-;
1;5;5.000000;-998.419849;-;-;-;-689.947066;-689.909077;-;
1;5;10.000000;-998.377559;-;-;-;-689.947066;-689.944457;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-689.947066;-686.399839;0.000009;
2;1;-1/1.000000;-1003.043543;0.000013;0.385986;1.000110;-689.947066;-686.383159;0.000008;
2;2;-1/0.500000;-1003.035085;0.000014;0.403892;1.000133;-689.947066;-686.388243;0.000008;
2;2;-1/2.000000;-1003.126504;0.000010;0.403158;1.000164;-689.947066;-686.360416;0.000006;
2;2;-1/5.000000;-1003.262068;0.000006;0.346719;1.000193;-689.947066;-686.320872;0.000004;
2;2;-1/10.000000;-1003.413281;0.000004;0.230740;1.000345;-689.947066;-686.290425;0.000004;
2;2;-1/20.000000;-1003.574629;0.000003;0.110271;1.000137;-689.947066;-686.266388;0.000004;
2;2;-1/40.000000;-1003.729304;0.000005;0.041650;1.000252;-689.947066;-686.246512;0.000012;
2;2;-1/80.000000;-1003.913768;0.000025;0.010766;1.002441;-689.947066;-686.185569;0.000042;
2;3;-1/1.000000;-1003.069054;0.000012;0.404460;1.000122;-689.947066;-686.378419;0.000007;
2;3;-1/2.000000;-1003.077866;0.000011;0.408932;1.000058;-689.947066;-686.374567;0.000007;
2;3;-1/5.000000;-1003.106525;0.000010;0.414483;1.000150;-689.947066;-686.365490;0.000006;
2;3;-1/10.000000;-1003.144805;0.000009;0.414873;1.000090;-689.947066;-686.353456;0.000006;
2;3;-1/20.000000;-1003.212276;0.000007;0.369405;1.000082;-689.947066;-686.332848;0.000005;
2;4;-1/1.000000;-1003.013646;0.000014;0.422556;1.000149;-689.947066;-686.394680;0.000008;
2;4;-1/2.000000;-1003.008248;0.000015;0.399813;1.000125;-689.947066;-686.396176;0.000009;
2;4;-1/5.000000;-1003.005219;0.000014;0.408393;1.000092;-689.947066;-686.396342;0.000009;
2;4;-1/10.000000;-1003.001946;0.000015;0.397722;1.000069;-689.947066;-686.398626;0.000009;
2;4;-1/20.000000;-1003.002626;0.000016;0.386448;1.000157;-689.947066;-686.398457;0.000010;

