FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-390.979309;-390.982149;-;
0;-;0.300000;-1000.172723;-;-;-;-390.979309;-390.124900;-;
0;-;0.500000;-1001.371578;-;-;-;-390.979309;-389.553401;-;
0;-;0.700000;-1002.570434;-;-;-;-390.979309;-388.981901;-;
0;-;1.000000;-1004.368717;-;-;-;-390.979309;-388.124652;-;
1;0;0.000000;-1001.853217;-;-;-;-390.979309;-389.323801;-;
1;1;0.500000;-1001.431775;-;-;-;-390.979309;-389.524705;-;
1;1;2.000000;-1001.611881;-;-;-;-390.979309;-389.438847;-;
1;1;5.000000;-1001.965657;-;-;-;-390.979309;-389.270201;-;
1;1;10.000000;-1002.514819;-;-;-;-390.979309;-389.008413;-;
1;2;0.500000;-1002.211491;-;-;-;-390.979309;-389.153010;-;
1;2;2.000000;-1003.135207;-;-;-;-390.979309;-388.712671;-;
1;2;5.000000;-1004.077898;-;-;-;-390.979309;-388.263286;-;
1;2;10.000000;-1004.350903;-;-;-;-390.979309;-388.133144;-;
1;3;0.500000;-1001.485237;-;-;-;-390.979309;-389.499219;-;
1;3;2.000000;-1000.431151;-;-;-;-390.979309;-390.001706;-;
1;3;5.000000;-999.074087;-;-;-;-390.979309;-390.648624;-;
1;3;10.000000;-998.464374;-;-;-;-390.979309;-390.939277;-;
1;4;2.000000;-1003.313086;-;-;-;-390.979309;-388.627875;-;
1;4;5.000000;-1004.290702;-;-;-;-390.979309;-388.161842;-;
1;4;10.000000;-1004.367701;-;-;-;-390.979309;-388.125136;-;
1;5;2.000000;-1000.393347;-;-;-;-390.979309;-390.019727;-;
1;5;5.000000;-998.769066;-;-;-;-390.979309;-390.794029;-;
1;5;10.000000;-998.400419;-;-;-;-390.979309;-390.969765;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-390.979309;-388.499952;0.000005;
2;1;-1/1.000000;-1003.013723;0.000013;0.401049;1.000240;-390.979309;-388.496587;0.000004;
2;2;-1/0.500000;-1003.006569;0.000014;0.400958;1.000141;-390.979309;-388.497221;0.000004;
2;2;-1/2.000000;-1003.017624;0.000014;0.415567;1.000238;-390.979309;-388.493567;0.000004;
2;2;-1/5.000000;-1003.033877;0.000014;0.379504;1.000148;-390.979309;-388.492140;0.000004;
2;2;-1/10.000000;-1003.070979;0.000011;0.394445;1.000188;-390.979309;-388.481859;0.000004;
2;2;-1/20.000000;-1003.130878;0.000009;0.402002;1.000081;-390.979309;-388.467840;0.000003;
2;2;-1/40.000000;-1003.228628;0.000007;0.351952;1.000173;-390.979309;-388.445793;0.000003;
2;2;-1/80.000000;-1003.369413;0.000004;0.262713;1.000176;-390.979309;-388.421260;0.000002;
2;3;-1/1.000000;-1003.070644;0.000011;0.406695;1.000083;-390.979309;-388.481978;0.000004;
2;3;-1/2.000000;-1003.076747;0.000011;0.401901;1.000114;-390.979309;-388.480349;0.000004;
2;3;-1/5.000000;-1003.100462;0.000010;0.385789;1.000025;-390.979309;-388.473712;0.000003;
2;3;-1/10.000000;-1003.141647;0.000009;0.405690;1.000054;-390.979309;-388.463799;0.000003;
2;3;-1/20.000000;-1003.203934;0.000007;0.383032;1.000192;-390.979309;-388.451673;0.000003;
2;4;-1/1.000000;-1003.011010;0.000015;0.395320;1.000077;-390.979309;-388.495415;0.000004;
2;4;-1/2.000000;-1003.006943;0.000014;0.395586;1.000186;-390.979309;-388.497115;0.000005;
2;4;-1/5.000000;-1002.998361;0.000015;0.368034;1.000187;-390.979309;-388.500083;0.000005;
2;4;-1/10.000000;-1003.000037;0.000015;0.397998;1.000088;-390.979309;-388.500356;0.000005;
2;4;-1/20.000000;-1003.001038;0.000015;0.387109;1.000208;-390.979309;-388.498754;0.000005;

