FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-173.976209;-;-;-;-83.837353;-82.979403;-;
0;-;0.300000;-188.193312;-;-;-;-83.837353;-82.979403;-;
0;-;0.500000;-197.671381;-;-;-;-83.837353;-82.979403;-;
0;-;0.700000;-207.149450;-;-;-;-83.837353;-82.979403;-;
0;-;1.000000;-221.366553;-;-;-;-83.837353;-82.979403;-;
1;0;0.000000;-220.285213;-;-;-;-83.837353;-82.979403;-;
1;1;0.500000;-200.484776;-;-;-;-83.837353;-82.979403;-;
1;1;2.000000;-208.191662;-;-;-;-83.837353;-82.979403;-;
1;1;5.000000;-217.373757;-;-;-;-83.837353;-82.979403;-;
1;1;10.000000;-220.968764;-;-;-;-83.837353;-82.979403;-;
1;2;0.500000;-220.528341;-;-;-;-83.837353;-82.979403;-;
1;2;2.000000;-221.020213;-;-;-;-83.837353;-82.979403;-;
1;2;5.000000;-221.327702;-;-;-;-83.837353;-82.979403;-;
1;2;10.000000;-221.366001;-;-;-;-83.837353;-82.979403;-;
1;3;0.500000;-220.000252;-;-;-;-83.837353;-82.979403;-;
1;3;2.000000;-218.921588;-;-;-;-83.837353;-82.979403;-;
1;3;5.000000;-216.222210;-;-;-;-83.837353;-82.979403;-;
1;3;10.000000;-211.697685;-;-;-;-83.837353;-82.979403;-;
1;4;2.000000;-221.341879;-;-;-;-83.837353;-82.979403;-;
1;4;5.000000;-221.366553;-;-;-;-83.837353;-82.979403;-;
1;4;10.000000;-221.366553;-;-;-;-83.837353;-82.979403;-;
1;5;2.000000;-219.228547;-;-;-;-83.837353;-82.979403;-;
1;5;5.000000;-216.201024;-;-;-;-83.837353;-82.979403;-;
1;5;10.000000;-211.598536;-;-;-;-83.837353;-82.979403;-;
2;0;0/0.000000;-187.483599;0.000953;0.640744;1.000105;-83.837353;-83.071840;0.000000;
2;1;-1/1.000000;-190.013659;0.000880;0.641926;1.000112;-83.837353;-83.070876;0.000000;
2;2;-1/0.500000;-187.861161;0.000965;0.642018;1.000105;-83.837353;-83.071748;0.000000;
2;2;-1/2.000000;-189.010777;0.000992;0.637952;1.000101;-83.837353;-83.071429;0.000000;
2;2;-1/5.000000;-191.302737;0.001009;0.641855;1.000109;-83.837353;-83.070191;0.000000;
2;2;-1/10.000000;-194.765942;0.001054;0.550822;1.000189;-83.837353;-83.066681;0.000000;
2;2;-1/20.000000;-200.439060;0.001857;0.300431;1.000318;-83.837353;-83.054100;0.000000;
2;2;-1/40.000000;-209.114249;0.001799;0.188832;1.000454;-83.837353;-83.024171;0.000000;
2;2;-1/80.000000;-215.210412;0.000470;0.186355;1.000416;-83.837353;-83.001819;0.000000;
2;3;-1/1.000000;-192.211620;0.000760;0.645812;1.000108;-83.837353;-83.070124;0.000000;
2;3;-1/2.000000;-193.703833;0.000699;0.651220;1.000141;-83.837353;-83.068963;0.000000;
2;3;-1/5.000000;-196.818246;0.000724;0.524514;1.000206;-83.837353;-83.064338;0.000000;
2;3;-1/10.000000;-200.568389;0.001098;0.361851;1.000302;-83.837353;-83.054560;0.000000;
2;3;-1/20.000000;-206.283709;0.001310;0.252517;1.000391;-83.837353;-83.034570;0.000000;
2;4;-1/1.000000;-190.135061;0.000866;0.643133;1.000109;-83.837353;-83.071187;0.000000;
2;4;-1/2.000000;-188.895287;0.000918;0.640796;1.000101;-83.837353;-83.071577;0.000000;
2;4;-1/5.000000;-188.068555;0.000941;0.640335;1.000102;-83.837353;-83.071748;0.000000;
2;4;-1/10.000000;-187.779553;0.000948;0.642315;1.000107;-83.837353;-83.071801;0.000000;
2;4;-1/20.000000;-187.632203;0.000950;0.641665;1.000104;-83.837353;-83.071823;0.000000;

