FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-681.000168;-681.000168;-;
0;-;0.300000;-1000.172723;-;-;-;-681.000168;-679.721022;-;
0;-;0.500000;-1001.371578;-;-;-;-681.000168;-678.868259;-;
0;-;0.700000;-1002.570434;-;-;-;-681.000168;-678.015495;-;
0;-;1.000000;-1004.368717;-;-;-;-681.000168;-676.736350;-;
1;0;0.000000;-1002.918791;-;-;-;-681.000168;-677.767703;-;
1;1;0.500000;-1001.564712;-;-;-;-681.000168;-678.730880;-;
1;1;2.000000;-1002.128450;-;-;-;-681.000168;-678.329884;-;
1;1;5.000000;-1003.075418;-;-;-;-681.000168;-677.656292;-;
1;1;10.000000;-1003.946950;-;-;-;-681.000168;-677.036358;-;
1;2;0.500000;-1003.180803;-;-;-;-681.000168;-677.581330;-;
1;2;2.000000;-1003.784982;-;-;-;-681.000168;-677.151568;-;
1;2;5.000000;-1004.273095;-;-;-;-681.000168;-676.804367;-;
1;2;10.000000;-1004.365932;-;-;-;-681.000168;-676.738330;-;
1;3;0.500000;-1002.633286;-;-;-;-681.000168;-677.970787;-;
1;3;2.000000;-1001.709795;-;-;-;-681.000168;-678.627680;-;
1;3;5.000000;-1000.134414;-;-;-;-681.000168;-679.748272;-;
1;3;10.000000;-998.907826;-;-;-;-681.000168;-680.620762;-;
1;4;2.000000;-1004.018001;-;-;-;-681.000168;-676.985819;-;
1;4;5.000000;-1004.363753;-;-;-;-681.000168;-676.739880;-;
1;4;10.000000;-1004.368712;-;-;-;-681.000168;-676.736352;-;
1;5;2.000000;-1001.819580;-;-;-;-681.000168;-678.549588;-;
1;5;5.000000;-999.875548;-;-;-;-681.000168;-679.932407;-;
1;5;10.000000;-998.750353;-;-;-;-681.000168;-680.732775;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-681.000168;-678.813749;0.000006;
2;1;-1/1.000000;-1003.038681;0.000013;0.413260;1.000153;-681.000168;-678.799272;0.000006;
2;2;-1/0.500000;-1003.017207;0.000013;0.414634;1.000106;-681.000168;-678.807569;0.000006;
2;2;-1/2.000000;-1003.043931;0.000013;0.366670;1.000261;-681.000168;-678.797805;0.000006;
2;2;-1/5.000000;-1003.109666;0.000010;0.414137;1.000028;-681.000168;-678.774464;0.000005;
2;2;-1/10.000000;-1003.192544;0.000008;0.382310;1.000080;-681.000168;-678.745410;0.000006;
2;2;-1/20.000000;-1003.319092;0.000005;0.304123;1.000163;-681.000168;-678.699682;0.000007;
2;2;-1/40.000000;-1003.480865;0.000003;0.166507;1.000454;-681.000168;-678.634124;0.000012;
2;2;-1/80.000000;-1003.640789;0.000003;0.069159;1.000145;-681.000168;-678.548643;0.000034;
2;3;-1/1.000000;-1003.086115;0.000010;0.401986;1.000267;-681.000168;-678.783595;0.000005;
2;3;-1/2.000000;-1003.114327;0.000010;0.380591;1.000151;-681.000168;-678.773128;0.000005;
2;3;-1/5.000000;-1003.181438;0.000007;0.371488;1.000068;-681.000168;-678.747984;0.000006;
2;3;-1/10.000000;-1003.266354;0.000005;0.330404;1.000242;-681.000168;-678.719804;0.000006;
2;3;-1/20.000000;-1003.390467;0.000004;0.252964;1.000299;-681.000168;-678.672014;0.000008;
2;4;-1/1.000000;-1003.034261;0.000013;0.400134;1.000103;-681.000168;-678.802040;0.000006;
2;4;-1/2.000000;-1003.016698;0.000014;0.410339;1.000113;-681.000168;-678.808246;0.000006;
2;4;-1/5.000000;-1003.010074;0.000014;0.393455;1.000186;-681.000168;-678.810826;0.000006;
2;4;-1/10.000000;-1003.006928;0.000015;0.385995;1.000178;-681.000168;-678.810058;0.000006;
2;4;-1/20.000000;-1002.999467;0.000015;0.398631;1.000102;-681.000168;-678.814401;0.000006;

