FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-857.739309;-;-;-;-140.348837;-138.238007;-;
0;-;0.300000;-859.080307;-;-;-;-140.348837;-138.871256;-;
0;-;0.500000;-859.974306;-;-;-;-140.348837;-139.293422;-;
0;-;0.700000;-860.868304;-;-;-;-140.348837;-139.715588;-;
0;-;1.000000;-862.209302;-;-;-;-140.348837;-140.348837;-;
1;0;0.000000;-860.711402;-;-;-;-140.348837;-139.641496;-;
1;1;0.500000;-860.066391;-;-;-;-140.348837;-139.336907;-;
1;1;2.000000;-860.339550;-;-;-;-140.348837;-139.465898;-;
1;1;5.000000;-860.846801;-;-;-;-140.348837;-139.705434;-;
1;1;10.000000;-861.488535;-;-;-;-140.348837;-140.008475;-;
1;2;0.500000;-860.952446;-;-;-;-140.348837;-139.755322;-;
1;2;2.000000;-861.541410;-;-;-;-140.348837;-140.033444;-;
1;2;5.000000;-862.077656;-;-;-;-140.348837;-140.286671;-;
1;2;10.000000;-862.203715;-;-;-;-140.348837;-140.346199;-;
1;3;0.500000;-860.456768;-;-;-;-140.348837;-139.521251;-;
1;3;2.000000;-859.684483;-;-;-;-140.348837;-139.156561;-;
1;3;5.000000;-858.551506;-;-;-;-140.348837;-138.621545;-;
1;3;10.000000;-857.895782;-;-;-;-140.348837;-138.311897;-;
1;4;2.000000;-861.707354;-;-;-;-140.348837;-140.111806;-;
1;4;5.000000;-862.190414;-;-;-;-140.348837;-140.339918;-;
1;4;10.000000;-862.209223;-;-;-;-140.348837;-140.348800;-;
1;5;2.000000;-859.715451;-;-;-;-140.348837;-139.171185;-;
1;5;5.000000;-858.320187;-;-;-;-140.348837;-138.512311;-;
1;5;10.000000;-857.814795;-;-;-;-140.348837;-138.273653;-;
2;0;0/0.000000;-860.065070;0.000006;0.944624;1.000071;-140.348837;-138.585825;0.000002;
2;1;-1/1.000000;-860.099014;0.000006;0.944018;1.000069;-140.348837;-138.600999;0.000003;
2;2;-1/0.500000;-860.073988;0.000006;0.944558;1.000073;-140.348837;-138.589742;0.000002;
2;2;-1/2.000000;-860.100876;0.000006;0.942861;1.000069;-140.348837;-138.601858;0.000003;
2;2;-1/5.000000;-860.154521;0.000006;0.940164;1.000061;-140.348837;-138.627601;0.000003;
2;2;-1/10.000000;-860.243173;0.000007;0.873065;1.000054;-140.348837;-138.674640;0.000004;
2;2;-1/20.000000;-860.420594;0.000008;0.783166;1.000014;-140.348837;-138.785464;0.000005;
2;2;-1/40.000000;-860.785902;0.000011;0.586924;1.000042;-140.348837;-139.066445;0.000009;
2;2;-1/80.000000;-861.364105;0.000008;0.425234;1.000103;-140.348837;-139.575686;0.000007;
2;3;-1/1.000000;-860.202116;0.000006;0.931754;1.000053;-140.348837;-138.647119;0.000003;
2;3;-1/2.000000;-860.232778;0.000006;0.882906;1.000051;-140.348837;-138.662761;0.000003;
2;3;-1/5.000000;-860.320046;0.000006;0.850687;1.000029;-140.348837;-138.711779;0.000004;
2;3;-1/10.000000;-860.454652;0.000007;0.786080;1.000019;-140.348837;-138.799505;0.000005;
2;3;-1/20.000000;-860.703983;0.000008;0.667595;1.000022;-140.348837;-138.991141;0.000007;
2;4;-1/1.000000;-860.101331;0.000006;0.943362;1.000069;-140.348837;-138.600602;0.000003;
2;4;-1/2.000000;-860.083371;0.000006;0.943955;1.000073;-140.348837;-138.593170;0.000003;
2;4;-1/5.000000;-860.072426;0.000006;0.944471;1.000073;-140.348837;-138.588750;0.000002;
2;4;-1/10.000000;-860.068782;0.000006;0.944681;1.000073;-140.348837;-138.587293;0.000002;
2;4;-1/20.000000;-860.066929;0.000006;0.944602;1.000072;-140.348837;-138.586560;0.000002;

