FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-198.935373;-;-;-;-16.000000;-14.465890;-;
0;-;0.300000;-202.295786;-;-;-;-16.000000;-14.465890;-;
0;-;0.500000;-204.536062;-;-;-;-16.000000;-14.465890;-;
0;-;0.700000;-206.776338;-;-;-;-16.000000;-14.465890;-;
0;-;1.000000;-210.136752;-;-;-;-16.000000;-14.465890;-;
1;0;0.000000;-200.103620;-;-;-;-16.000000;-14.465890;-;
1;1;0.500000;-203.983807;-;-;-;-16.000000;-14.465890;-;
1;1;2.000000;-202.428702;-;-;-;-16.000000;-14.465890;-;
1;1;5.000000;-200.296073;-;-;-;-16.000000;-14.465890;-;
1;1;10.000000;-199.145519;-;-;-;-16.000000;-14.465890;-;
1;2;0.500000;-200.381876;-;-;-;-16.000000;-14.465890;-;
1;2;2.000000;-201.374360;-;-;-;-16.000000;-14.465890;-;
1;2;5.000000;-203.517994;-;-;-;-16.000000;-14.465890;-;
1;2;10.000000;-206.189563;-;-;-;-16.000000;-14.465890;-;
1;3;0.500000;-199.859687;-;-;-;-16.000000;-14.465890;-;
1;3;2.000000;-199.342013;-;-;-;-16.000000;-14.465890;-;
1;3;5.000000;-198.987386;-;-;-;-16.000000;-14.465890;-;
1;3;10.000000;-198.936307;-;-;-;-16.000000;-14.465890;-;
1;4;2.000000;-201.150026;-;-;-;-16.000000;-14.465890;-;
1;4;5.000000;-203.678775;-;-;-;-16.000000;-14.465890;-;
1;4;10.000000;-206.413508;-;-;-;-16.000000;-14.465890;-;
1;5;2.000000;-199.057215;-;-;-;-16.000000;-14.465890;-;
1;5;5.000000;-198.935511;-;-;-;-16.000000;-14.465890;-;
1;5;10.000000;-198.935373;-;-;-;-16.000000;-14.465890;-;
2;0;0/0.000000;-205.664660;0.000037;0.425754;1.000082;-16.000000;-14.634757;0.000001;
2;1;-1/1.000000;-205.474721;0.000041;0.435807;1.000084;-16.000000;-14.630546;0.000001;
2;2;-1/0.500000;-205.619053;0.000038;0.440263;0.999978;-16.000000;-14.633819;0.000001;
2;2;-1/2.000000;-205.488053;0.000042;0.431383;1.000082;-16.000000;-14.630160;0.000001;
2;2;-1/5.000000;-205.191179;0.000057;0.446971;1.000051;-16.000000;-14.622909;0.000001;
2;2;-1/10.000000;-204.541163;0.000121;0.349789;1.000058;-16.000000;-14.606719;0.000001;
2;2;-1/20.000000;-202.787134;0.000308;0.172182;1.000157;-16.000000;-14.568433;0.000000;
2;2;-1/40.000000;-200.596442;0.000086;0.187146;1.000284;-16.000000;-14.526001;0.000000;
2;2;-1/80.000000;-199.756309;0.000007;0.291074;1.000643;-16.000000;-14.508947;0.000000;
2;3;-1/1.000000;-205.186731;0.000051;0.423134;1.000071;-16.000000;-14.622337;0.000001;
2;3;-1/2.000000;-204.966494;0.000063;0.443460;1.000171;-16.000000;-14.616444;0.000001;
2;3;-1/5.000000;-204.255698;0.000107;0.348732;1.000050;-16.000000;-14.598892;0.000000;
2;3;-1/10.000000;-203.046435;0.000173;0.235301;1.000203;-16.000000;-14.572746;0.000000;
2;3;-1/20.000000;-201.442193;0.000123;0.201826;1.000424;-16.000000;-14.542298;0.000000;
2;4;-1/1.000000;-205.457198;0.000041;0.440171;1.000092;-16.000000;-14.630039;0.000001;
2;4;-1/2.000000;-205.558658;0.000037;0.433630;1.000088;-16.000000;-14.632179;0.000001;
2;4;-1/5.000000;-205.622039;0.000037;0.446843;1.000037;-16.000000;-14.634039;0.000001;
2;4;-1/10.000000;-205.640669;0.000036;0.445683;1.000055;-16.000000;-14.634697;0.000001;
2;4;-1/20.000000;-205.653096;0.000035;0.445566;1.000054;-16.000000;-14.634838;0.000001;

