FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-243.457224;-;-;-;-308.571429;-305.485719;-;
0;-;0.300000;-382.927340;-;-;-;-308.571429;-305.485719;-;
0;-;0.500000;-475.907417;-;-;-;-308.571429;-305.485719;-;
0;-;0.700000;-568.887493;-;-;-;-308.571429;-305.485719;-;
0;-;1.000000;-708.357609;-;-;-;-308.571429;-305.485719;-;
1;0;0.000000;-708.358255;-;-;-;-308.571429;-305.485719;-;
1;1;0.500000;-504.813375;-;-;-;-308.571429;-305.485719;-;
1;1;2.000000;-583.326893;-;-;-;-308.571429;-305.485719;-;
1;1;5.000000;-673.091338;-;-;-;-308.571429;-305.485719;-;
1;1;10.000000;-705.246143;-;-;-;-308.571429;-305.485719;-;
1;2;0.500000;-708.358107;-;-;-;-308.571429;-305.485719;-;
1;2;2.000000;-708.357811;-;-;-;-308.571429;-305.485719;-;
1;2;5.000000;-708.357631;-;-;-;-308.571429;-305.485719;-;
1;2;10.000000;-708.357609;-;-;-;-308.571429;-305.485719;-;
1;3;0.500000;-708.358429;-;-;-;-308.571429;-305.485719;-;
1;3;2.000000;-708.359102;-;-;-;-308.571429;-305.485719;-;
1;3;5.000000;-708.360859;-;-;-;-308.571429;-305.485719;-;
1;3;10.000000;-708.364066;-;-;-;-308.571429;-305.485719;-;
1;4;2.000000;-708.357609;-;-;-;-308.571429;-305.485719;-;
1;4;5.000000;-708.357609;-;-;-;-308.571429;-305.485719;-;
1;4;10.000000;-708.357609;-;-;-;-308.571429;-305.485719;-;
1;5;2.000000;-708.358900;-;-;-;-308.571429;-305.485719;-;
1;5;5.000000;-708.360837;-;-;-;-308.571429;-305.485719;-;
1;5;10.000000;-708.364066;-;-;-;-308.571429;-305.485719;-;
2;0;0/0.000000;-422.725948;0.250381;0.745233;1.000059;-308.571429;-305.894066;0.000004;
2;1;-1/1.000000;-472.570669;0.262398;0.750382;1.000056;-308.571429;-305.894420;0.000004;
2;2;-1/0.500000;-432.580340;0.266495;0.750640;1.000061;-308.571429;-305.894060;0.000004;
2;2;-1/2.000000;-464.302218;0.304190;0.745172;1.000053;-308.571429;-305.894359;0.000004;
2;2;-1/5.000000;-527.490143;0.291963;0.723406;1.000049;-308.571429;-305.895810;0.000004;
2;2;-1/10.000000;-595.159575;0.147041;0.679648;1.000058;-308.571429;-305.899550;0.000004;
2;2;-1/20.000000;-641.176697;0.040665;0.654530;1.000093;-308.571429;-305.906233;0.000004;
2;2;-1/40.000000;-665.246738;0.011716;0.572664;1.000089;-308.571429;-305.918894;0.000005;
2;2;-1/80.000000;-678.619392;0.004965;0.383679;1.000119;-308.571429;-305.940894;0.000006;
2;3;-1/1.000000;-511.330700;0.235836;0.743246;1.000059;-308.571429;-305.894850;0.000004;
2;3;-1/2.000000;-539.714399;0.198689;0.740261;1.000054;-308.571429;-305.895651;0.000004;
2;3;-1/5.000000;-588.715991;0.114698;0.727028;1.000056;-308.571429;-305.898239;0.000004;
2;3;-1/10.000000;-623.993354;0.056068;0.702704;1.000065;-308.571429;-305.902017;0.000004;
2;3;-1/20.000000;-650.765403;0.022523;0.659832;1.000083;-308.571429;-305.908593;0.000004;
2;4;-1/1.000000;-472.621213;0.262036;0.750530;1.000059;-308.571429;-305.894235;0.000004;
2;4;-1/2.000000;-448.891736;0.262653;0.750437;1.000057;-308.571429;-305.894009;0.000004;
2;4;-1/5.000000;-433.425822;0.256925;0.751013;1.000061;-308.571429;-305.894021;0.000004;
2;4;-1/10.000000;-428.109848;0.253943;0.751339;1.000061;-308.571429;-305.894041;0.000004;
2;4;-1/20.000000;-425.425202;0.252210;0.751396;1.000060;-308.571429;-305.894049;0.000004;

