FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-678.343592;-678.343592;-;
0;-;0.300000;-1000.172723;-;-;-;-678.343592;-677.086003;-;
0;-;0.500000;-1001.371578;-;-;-;-678.343592;-676.247611;-;
0;-;0.700000;-1002.570434;-;-;-;-678.343592;-675.409218;-;
0;-;1.000000;-1004.368717;-;-;-;-678.343592;-674.151629;-;
1;0;0.000000;-1002.897817;-;-;-;-678.343592;-675.180269;-;
1;1;0.500000;-1001.562101;-;-;-;-678.343592;-676.114373;-;
1;1;2.000000;-1002.118624;-;-;-;-678.343592;-675.725181;-;
1;1;5.000000;-1003.057586;-;-;-;-678.343592;-675.068539;-;
1;1;10.000000;-1003.933024;-;-;-;-678.343592;-674.456321;-;
1;2;0.500000;-1003.162544;-;-;-;-678.343592;-674.995139;-;
1;2;2.000000;-1003.774295;-;-;-;-678.343592;-674.567325;-;
1;2;5.000000;-1004.270690;-;-;-;-678.343592;-674.220182;-;
1;2;10.000000;-1004.365823;-;-;-;-678.343592;-674.153653;-;
1;3;0.500000;-1002.609691;-;-;-;-678.343592;-675.381764;-;
1;3;2.000000;-1001.679994;-;-;-;-678.343592;-676.031927;-;
1;3;5.000000;-1000.103187;-;-;-;-678.343592;-677.134632;-;
1;3;10.000000;-998.889477;-;-;-;-678.343592;-677.983413;-;
1;4;2.000000;-1004.007782;-;-;-;-678.343592;-674.404041;-;
1;4;5.000000;-1004.363384;-;-;-;-678.343592;-674.155359;-;
1;4;10.000000;-1004.368712;-;-;-;-678.343592;-674.151632;-;
1;5;2.000000;-1001.787853;-;-;-;-678.343592;-675.956498;-;
1;5;5.000000;-999.841227;-;-;-;-678.343592;-677.317828;-;
1;5;10.000000;-998.733359;-;-;-;-678.343592;-678.092590;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-678.343592;-676.200568;0.000006;
2;1;-1/1.000000;-1003.033436;0.000013;0.408713;1.000126;-678.343592;-676.186757;0.000006;
2;2;-1/0.500000;-1003.010702;0.000014;0.391847;1.000084;-678.343592;-676.197898;0.000006;
2;2;-1/2.000000;-1003.043107;0.000013;0.409924;1.000066;-678.343592;-676.186971;0.000005;
2;2;-1/5.000000;-1003.105182;0.000011;0.380661;1.000054;-678.343592;-676.164230;0.000005;
2;2;-1/10.000000;-1003.191467;0.000008;0.387368;1.000178;-678.343592;-676.133849;0.000005;
2;2;-1/20.000000;-1003.318405;0.000005;0.297945;1.000118;-678.343592;-676.088866;0.000007;
2;2;-1/40.000000;-1003.477747;0.000003;0.196842;1.000123;-678.343592;-676.032023;0.000010;
2;2;-1/80.000000;-1003.636823;0.000003;0.083327;1.000180;-678.343592;-675.947025;0.000028;
2;3;-1/1.000000;-1003.087485;0.000011;0.398209;1.000210;-678.343592;-676.168556;0.000006;
2;3;-1/2.000000;-1003.112306;0.000009;0.426704;1.000169;-678.343592;-676.161567;0.000005;
2;3;-1/5.000000;-1003.177588;0.000008;0.399242;1.000115;-678.343592;-676.138015;0.000005;
2;3;-1/10.000000;-1003.265821;0.000005;0.352459;1.000129;-678.343592;-676.109333;0.000006;
2;3;-1/20.000000;-1003.389726;0.000004;0.257235;1.000206;-678.343592;-676.064415;0.000008;
2;4;-1/1.000000;-1003.030048;0.000013;0.404677;1.000274;-678.343592;-676.191303;0.000005;
2;4;-1/2.000000;-1003.015617;0.000014;0.356248;1.000124;-678.343592;-676.195734;0.000006;
2;4;-1/5.000000;-1003.007200;0.000015;0.390049;1.000050;-678.343592;-676.198547;0.000006;
2;4;-1/10.000000;-1003.001834;0.000015;0.388062;1.000084;-678.343592;-676.198583;0.000006;
2;4;-1/20.000000;-1003.003532;0.000014;0.405237;1.000172;-678.343592;-676.197784;0.000006;

