FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-331.062486;-;-;-;-199.317073;-197.262443;-;
0;-;0.300000;-428.534089;-;-;-;-199.317073;-197.262443;-;
0;-;0.500000;-493.515157;-;-;-;-199.317073;-197.262443;-;
0;-;0.700000;-558.496225;-;-;-;-199.317073;-197.262443;-;
0;-;1.000000;-655.967827;-;-;-;-199.317073;-197.262443;-;
1;0;0.000000;-646.249073;-;-;-;-199.317073;-197.262443;-;
1;1;0.500000;-512.519485;-;-;-;-199.317073;-197.262443;-;
1;1;2.000000;-564.713281;-;-;-;-199.317073;-197.262443;-;
1;1;5.000000;-627.690980;-;-;-;-199.317073;-197.262443;-;
1;1;10.000000;-653.041895;-;-;-;-199.317073;-197.262443;-;
1;2;0.500000;-648.420829;-;-;-;-199.317073;-197.262443;-;
1;2;2.000000;-652.832669;-;-;-;-199.317073;-197.262443;-;
1;2;5.000000;-655.612256;-;-;-;-199.317073;-197.262443;-;
1;2;10.000000;-655.962684;-;-;-;-199.317073;-197.262443;-;
1;3;0.500000;-643.709646;-;-;-;-199.317073;-197.262443;-;
1;3;2.000000;-634.147223;-;-;-;-199.317073;-197.262443;-;
1;3;5.000000;-610.527200;-;-;-;-199.317073;-197.262443;-;
1;3;10.000000;-571.964996;-;-;-;-199.317073;-197.262443;-;
1;4;2.000000;-655.677114;-;-;-;-199.317073;-197.262443;-;
1;4;5.000000;-655.967819;-;-;-;-199.317073;-197.262443;-;
1;4;10.000000;-655.967827;-;-;-;-199.317073;-197.262443;-;
1;5;2.000000;-636.821031;-;-;-;-199.317073;-197.262443;-;
1;5;5.000000;-610.195517;-;-;-;-199.317073;-197.262443;-;
1;5;10.000000;-570.871561;-;-;-;-199.317073;-197.262443;-;
2;0;0/0.000000;-499.764335;0.107240;0.511361;1.000120;-199.317073;-197.541285;0.000003;
2;1;-1/1.000000;-522.784849;0.093722;0.512376;1.000137;-199.317073;-197.541059;0.000003;
2;2;-1/0.500000;-505.727128;0.106975;0.510468;1.000118;-199.317073;-197.541553;0.000003;
2;2;-1/2.000000;-523.181137;0.101072;0.514268;1.000126;-199.317073;-197.542098;0.000003;
2;2;-1/5.000000;-552.791742;0.075392;0.511097;1.000116;-199.317073;-197.543239;0.000003;
2;2;-1/10.000000;-582.817656;0.037825;0.514691;1.000149;-199.317073;-197.544272;0.000003;
2;2;-1/20.000000;-607.319394;0.013534;0.506852;1.000143;-199.317073;-197.546965;0.000003;
2;2;-1/40.000000;-624.542937;0.004878;0.484263;1.000150;-199.317073;-197.551734;0.000003;
2;2;-1/80.000000;-636.221379;0.001859;0.415958;1.000251;-199.317073;-197.558269;0.000003;
2;3;-1/1.000000;-541.670015;0.075244;0.509933;1.000133;-199.317073;-197.542653;0.000003;
2;3;-1/2.000000;-554.737031;0.060673;0.510564;1.000123;-199.317073;-197.543176;0.000003;
2;3;-1/5.000000;-578.438193;0.034412;0.514400;1.000142;-199.317073;-197.543896;0.000003;
2;3;-1/10.000000;-597.118985;0.018123;0.512477;1.000154;-199.317073;-197.545269;0.000003;
2;3;-1/20.000000;-613.694942;0.008401;0.501609;1.000142;-199.317073;-197.548057;0.000003;
2;4;-1/1.000000;-522.932993;0.093014;0.513463;1.000122;-199.317073;-197.542140;0.000003;
2;4;-1/2.000000;-512.055752;0.100901;0.510618;1.000126;-199.317073;-197.541942;0.000003;
2;4;-1/5.000000;-504.843917;0.104985;0.510770;1.000124;-199.317073;-197.541512;0.000003;
2;4;-1/10.000000;-502.329594;0.106163;0.511185;1.000120;-199.317073;-197.541430;0.000003;
2;4;-1/20.000000;-501.053378;0.106711;0.511516;1.000118;-199.317073;-197.541386;0.000003;

