FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-611.809664;-611.809664;-;
0;-;0.300000;-1000.172723;-;-;-;-611.809664;-610.853563;-;
0;-;0.500000;-1001.371578;-;-;-;-611.809664;-610.216163;-;
0;-;0.700000;-1002.570434;-;-;-;-611.809664;-609.578762;-;
0;-;1.000000;-1004.368717;-;-;-;-611.809664;-608.622661;-;
1;0;0.000000;-1002.029283;-;-;-;-611.809664;-609.866478;-;
1;1;0.500000;-1001.453771;-;-;-;-611.809664;-610.172463;-;
1;1;2.000000;-1001.699117;-;-;-;-611.809664;-610.042019;-;
1;1;5.000000;-1002.173691;-;-;-;-611.809664;-609.789700;-;
1;1;10.000000;-1002.868583;-;-;-;-611.809664;-609.420244;-;
1;2;0.500000;-1002.377652;-;-;-;-611.809664;-609.681259;-;
1;2;2.000000;-1003.259109;-;-;-;-611.809664;-609.212611;-;
1;2;5.000000;-1004.123174;-;-;-;-611.809664;-608.753210;-;
1;2;10.000000;-1004.355506;-;-;-;-611.809664;-608.629684;-;
1;3;0.500000;-1001.667964;-;-;-;-611.809664;-610.058582;-;
1;3;2.000000;-1000.612357;-;-;-;-611.809664;-610.619821;-;
1;3;5.000000;-999.191200;-;-;-;-611.809664;-611.375414;-;
1;3;10.000000;-998.495172;-;-;-;-611.809664;-611.745474;-;
1;4;2.000000;-1003.455687;-;-;-;-611.809664;-609.108095;-;
1;4;5.000000;-1004.314441;-;-;-;-611.809664;-608.651518;-;
1;4;10.000000;-1004.368225;-;-;-;-611.809664;-608.622922;-;
1;5;2.000000;-1000.602878;-;-;-;-611.809664;-610.624861;-;
1;5;5.000000;-998.879562;-;-;-;-611.809664;-611.541104;-;
1;5;10.000000;-998.417005;-;-;-;-611.809664;-611.787033;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-611.809664;-609.325659;0.000009;
2;1;-1/1.000000;-1003.014720;0.000014;0.398577;1.000085;-611.809664;-609.325524;0.000009;
2;2;-1/0.500000;-1003.006087;0.000014;0.400306;1.000206;-611.809664;-609.323361;0.000009;
2;2;-1/2.000000;-1003.021830;0.000014;0.380870;1.000197;-611.809664;-609.322633;0.000009;
2;2;-1/5.000000;-1003.050508;0.000013;0.408925;1.000107;-611.809664;-609.321054;0.000008;
2;2;-1/10.000000;-1003.090893;0.000011;0.410602;1.000136;-611.809664;-609.317945;0.000007;
2;2;-1/20.000000;-1003.169309;0.000008;0.386086;1.000221;-611.809664;-609.314142;0.000006;
2;2;-1/40.000000;-1003.288152;0.000006;0.318272;1.000214;-611.809664;-609.315549;0.000005;
2;2;-1/80.000000;-1003.443019;0.000003;0.209446;1.000134;-611.809664;-609.321509;0.000005;
2;3;-1/1.000000;-1003.071391;0.000011;0.404099;1.000188;-611.809664;-609.317410;0.000007;
2;3;-1/2.000000;-1003.082671;0.000011;0.400560;1.000113;-611.809664;-609.317637;0.000007;
2;3;-1/5.000000;-1003.115886;0.000010;0.393172;1.000038;-611.809664;-609.316378;0.000007;
2;3;-1/10.000000;-1003.162601;0.000008;0.393317;1.000072;-611.809664;-609.314409;0.000006;
2;3;-1/20.000000;-1003.245958;0.000006;0.342939;1.000099;-611.809664;-609.312025;0.000006;
2;4;-1/1.000000;-1003.014734;0.000014;0.392465;1.000106;-611.809664;-609.324224;0.000009;
2;4;-1/2.000000;-1003.003014;0.000015;0.399694;1.000114;-611.809664;-609.324626;0.000009;
2;4;-1/5.000000;-1003.002677;0.000014;0.409306;1.000184;-611.809664;-609.324082;0.000009;
2;4;-1/10.000000;-1003.004981;0.000015;0.387145;1.000098;-611.809664;-609.324612;0.000009;
2;4;-1/20.000000;-1002.997688;0.000015;0.377137;1.000111;-611.809664;-609.326498;0.000009;

