FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;11397.370759;11398.306452;-;
0;-;0.300000;-18404.089144;-;-;-;11397.370759;11398.964516;-;
0;-;0.500000;-18404.761476;-;-;-;11397.370759;11399.403226;-;
0;-;0.700000;-18405.433809;-;-;-;11397.370759;11399.841935;-;
0;-;1.000000;-18406.442308;-;-;-;11397.370759;11400.500000;-;
1;0;0.000000;-18403.665923;-;-;-;11397.370759;11398.688356;-;
1;1;0.500000;-18404.624834;-;-;-;11397.370759;11399.314064;-;
1;1;2.000000;-18404.232302;-;-;-;11397.370759;11399.057930;-;
1;1;5.000000;-18403.631626;-;-;-;11397.370759;11398.665977;-;
1;1;10.000000;-18403.205047;-;-;-;11397.370759;11398.387626;-;
1;2;0.500000;-18403.792932;-;-;-;11397.370759;11398.771232;-;
1;2;2.000000;-18404.223849;-;-;-;11397.370759;11399.052414;-;
1;2;5.000000;-18405.047918;-;-;-;11397.370759;11399.590135;-;
1;2;10.000000;-18405.853004;-;-;-;11397.370759;11400.115468;-;
1;3;0.500000;-18403.551963;-;-;-;11397.370759;11398.613995;-;
1;3;2.000000;-18403.299804;-;-;-;11397.370759;11398.449457;-;
1;3;5.000000;-18403.112301;-;-;-;11397.370759;11398.327108;-;
1;3;10.000000;-18403.081363;-;-;-;11397.370759;11398.306920;-;
1;4;2.000000;-18404.149301;-;-;-;11397.370759;11399.003770;-;
1;4;5.000000;-18405.150547;-;-;-;11397.370759;11399.657102;-;
1;4;10.000000;-18405.945933;-;-;-;11397.370759;11400.176106;-;
1;5;2.000000;-18403.182544;-;-;-;11397.370759;11398.372943;-;
1;5;5.000000;-18403.081183;-;-;-;11397.370759;11398.306803;-;
1;5;10.000000;-18403.080645;-;-;-;11397.370759;11398.306452;-;
2;0;0/0.000000;-18404.764914;0.000005;0.854447;1.000164;11397.370759;11399.976759;0.000016;
2;1;-1/1.000000;-18404.697807;0.000005;0.822897;1.000186;11397.370759;11399.951116;0.000018;
2;2;-1/0.500000;-18404.748142;0.000005;0.845261;1.000169;11397.370759;11399.970315;0.000017;
2;2;-1/2.000000;-18404.697670;0.000005;0.816132;1.000185;11397.370759;11399.951024;0.000018;
2;2;-1/5.000000;-18404.596881;0.000005;0.747682;1.000213;11397.370759;11399.911877;0.000021;
2;2;-1/10.000000;-18404.431743;0.000006;0.605412;1.000258;11397.370759;11399.842459;0.000027;
2;2;-1/20.000000;-18404.128081;0.000008;0.366355;1.000299;11397.370759;11399.669417;0.000048;
2;2;-1/40.000000;-18403.715623;0.000007;0.192754;1.000444;11397.370759;11399.266279;0.000078;
2;2;-1/80.000000;-18403.405443;0.000002;0.129395;1.000477;11397.370759;11398.815867;0.000041;
2;3;-1/1.000000;-18404.601156;0.000005;0.774175;1.000214;11397.370759;11399.914631;0.000020;
2;3;-1/2.000000;-18404.544331;0.000005;0.733217;1.000210;11397.370759;11399.893065;0.000022;
2;3;-1/5.000000;-18404.392245;0.000005;0.607856;1.000235;11397.370759;11399.831009;0.000030;
2;3;-1/10.000000;-18404.185103;0.000005;0.439244;1.000303;11397.370759;11399.724271;0.000046;
2;3;-1/20.000000;-18403.894068;0.000006;0.261287;1.000395;11397.370759;11399.488206;0.000076;
2;4;-1/1.000000;-18404.696362;0.000005;0.825810;1.000189;11397.370759;11399.950494;0.000018;
2;4;-1/2.000000;-18404.729981;0.000005;0.839620;1.000175;11397.370759;11399.963322;0.000017;
2;4;-1/5.000000;-18404.750742;0.000005;0.848618;1.000168;11397.370759;11399.971285;0.000017;
2;4;-1/10.000000;-18404.757792;0.000005;0.851605;1.000166;11397.370759;11399.974004;0.000017;
2;4;-1/20.000000;-18404.761344;0.000005;0.853017;1.000165;11397.370759;11399.975376;0.000016;

