FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-121.962955;-;-;-;-30.889535;-29.728765;-;
0;-;0.300000;-124.639404;-;-;-;-30.889535;-29.728765;-;
0;-;0.500000;-126.423704;-;-;-;-30.889535;-29.728765;-;
0;-;0.700000;-128.208004;-;-;-;-30.889535;-29.728765;-;
0;-;1.000000;-130.884453;-;-;-;-30.889535;-29.728765;-;
1;0;0.000000;-124.337077;-;-;-;-30.889535;-29.728765;-;
1;1;0.500000;-126.163172;-;-;-;-30.889535;-29.728765;-;
1;1;2.000000;-125.399007;-;-;-;-30.889535;-29.728765;-;
1;1;5.000000;-124.076963;-;-;-;-30.889535;-29.728765;-;
1;1;10.000000;-122.747637;-;-;-;-30.889535;-29.728765;-;
1;2;0.500000;-124.787767;-;-;-;-30.889535;-29.728765;-;
1;2;2.000000;-126.221173;-;-;-;-30.889535;-29.728765;-;
1;2;5.000000;-128.570769;-;-;-;-30.889535;-29.728765;-;
1;2;10.000000;-130.261488;-;-;-;-30.889535;-29.728765;-;
1;3;0.500000;-123.920122;-;-;-;-30.889535;-29.728765;-;
1;3;2.000000;-122.944209;-;-;-;-30.889535;-29.728765;-;
1;3;5.000000;-122.131394;-;-;-;-30.889535;-29.728765;-;
1;3;10.000000;-121.968347;-;-;-;-30.889535;-29.728765;-;
1;4;2.000000;-126.079415;-;-;-;-30.889535;-29.728765;-;
1;4;5.000000;-128.985189;-;-;-;-30.889535;-29.728765;-;
1;4;10.000000;-130.480126;-;-;-;-30.889535;-29.728765;-;
1;5;2.000000;-122.594738;-;-;-;-30.889535;-29.728765;-;
1;5;5.000000;-121.974861;-;-;-;-30.889535;-29.728765;-;
1;5;10.000000;-121.962971;-;-;-;-30.889535;-29.728765;-;
2;0;0/0.000000;-125.573706;0.000085;0.081683;1.002741;-30.889535;-29.790282;0.000001;
2;1;-1/1.000000;-125.554760;0.000084;0.067852;1.002784;-30.889535;-29.791305;0.000001;
2;2;-1/0.500000;-125.562943;0.000087;0.079877;1.002278;-30.889535;-29.790520;0.000001;
2;2;-1/2.000000;-125.543472;0.000093;0.087435;1.002046;-30.889535;-29.790543;0.000001;
2;2;-1/5.000000;-125.490081;0.000073;0.082466;1.001828;-30.889535;-29.790795;0.000001;
2;2;-1/10.000000;-125.407761;0.000068;0.077934;1.002263;-30.889535;-29.789281;0.000001;
2;2;-1/20.000000;-125.251879;0.000059;0.070761;1.001923;-30.889535;-29.789086;0.000001;
2;2;-1/40.000000;-125.013639;0.000061;0.046283;1.003334;-30.889535;-29.788601;0.000001;
2;2;-1/80.000000;-124.601877;0.000119;0.021279;1.005094;-30.889535;-29.782493;0.000001;
2;3;-1/1.000000;-125.468669;0.000068;0.086437;1.001348;-30.889535;-29.791171;0.000001;
2;3;-1/2.000000;-125.449927;0.000068;0.071757;1.000875;-30.889535;-29.791798;0.000001;
2;3;-1/5.000000;-125.375219;0.000058;0.075461;1.002425;-30.889535;-29.791316;0.000001;
2;3;-1/10.000000;-125.252569;0.000058;0.055735;1.001537;-30.889535;-29.791487;0.000001;
2;3;-1/20.000000;-125.076911;0.000046;0.050875;1.001714;-30.889535;-29.789581;0.000001;
2;4;-1/1.000000;-125.546837;0.000082;0.077753;1.001212;-30.889535;-29.790018;0.000001;
2;4;-1/2.000000;-125.568660;0.000075;0.089330;1.002978;-30.889535;-29.791566;0.000001;
2;4;-1/5.000000;-125.575047;0.000103;0.068353;1.001322;-30.889535;-29.789887;0.000001;
2;4;-1/10.000000;-125.580237;0.000089;0.076480;1.001111;-30.889535;-29.789795;0.000001;
2;4;-1/20.000000;-125.577926;0.000083;0.074182;1.001544;-30.889535;-29.790467;0.000001;

