FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-498.798025;-498.798025;-;
0;-;0.300000;-1000.172723;-;-;-;-498.798025;-498.222591;-;
0;-;0.500000;-1001.371578;-;-;-;-498.798025;-497.838969;-;
0;-;0.700000;-1002.570434;-;-;-;-498.798025;-497.455346;-;
0;-;1.000000;-1004.368717;-;-;-;-498.798025;-496.879913;-;
1;0;0.000000;-1001.723376;-;-;-;-498.798025;-497.726397;-;
1;1;0.500000;-1001.415550;-;-;-;-498.798025;-497.824898;-;
1;1;2.000000;-1001.547275;-;-;-;-498.798025;-497.782747;-;
1;1;5.000000;-1001.808196;-;-;-;-498.798025;-497.699255;-;
1;1;10.000000;-1002.226668;-;-;-;-498.798025;-497.565348;-;
1;2;0.500000;-1002.087382;-;-;-;-498.798025;-497.609918;-;
1;2;2.000000;-1003.039057;-;-;-;-498.798025;-497.305391;-;
1;2;5.000000;-1004.039981;-;-;-;-498.798025;-496.985105;-;
1;2;10.000000;-1004.346529;-;-;-;-498.798025;-496.887012;-;
1;3;0.500000;-1001.352193;-;-;-;-498.798025;-497.845172;-;
1;3;2.000000;-1000.304177;-;-;-;-498.798025;-498.180527;-;
1;3;5.000000;-998.998098;-;-;-;-498.798025;-498.598460;-;
1;3;10.000000;-998.446806;-;-;-;-498.798025;-498.774868;-;
1;4;2.000000;-1003.201298;-;-;-;-498.798025;-497.253476;-;
1;4;5.000000;-1004.268380;-;-;-;-498.798025;-496.912020;-;
1;4;10.000000;-1004.367037;-;-;-;-498.798025;-496.880450;-;
1;5;2.000000;-1000.245453;-;-;-;-498.798025;-498.199318;-;
1;5;5.000000;-998.700717;-;-;-;-498.798025;-498.693619;-;
1;5;10.000000;-998.392199;-;-;-;-498.798025;-498.792342;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-498.798025;-496.927418;0.000010;
2;1;-1/1.000000;-1003.000215;0.000015;0.391713;1.000136;-498.798025;-496.927418;0.000010;
2;2;-1/0.500000;-1003.003919;0.000014;0.395903;1.000232;-498.798025;-496.925277;0.000010;
2;2;-1/2.000000;-1003.012269;0.000014;0.382155;1.000044;-498.798025;-496.928306;0.000010;
2;2;-1/5.000000;-1003.024160;0.000014;0.401515;1.000149;-498.798025;-496.927982;0.000009;
2;2;-1/10.000000;-1003.052529;0.000012;0.422478;1.000145;-498.798025;-496.935175;0.000008;
2;2;-1/20.000000;-1003.095589;0.000011;0.383442;1.000069;-498.798025;-496.940005;0.000008;
2;2;-1/40.000000;-1003.177239;0.000008;0.391893;1.000126;-498.798025;-496.952208;0.000007;
2;2;-1/80.000000;-1003.301182;0.000005;0.296535;1.000135;-498.798025;-496.979368;0.000005;
2;3;-1/1.000000;-1003.065419;0.000012;0.391955;1.000091;-498.798025;-496.933010;0.000009;
2;3;-1/2.000000;-1003.074809;0.000011;0.406663;1.000146;-498.798025;-496.934779;0.000008;
2;3;-1/5.000000;-1003.092938;0.000010;0.410546;1.000036;-498.798025;-496.939571;0.000008;
2;3;-1/10.000000;-1003.118746;0.000009;0.400171;1.000219;-498.798025;-496.940765;0.000008;
2;3;-1/20.000000;-1003.170163;0.000008;0.373660;1.000122;-498.798025;-496.951928;0.000007;
2;4;-1/1.000000;-1003.010066;0.000014;0.392260;1.000142;-498.798025;-496.929401;0.000009;
2;4;-1/2.000000;-1003.004898;0.000014;0.409651;1.000124;-498.798025;-496.925036;0.000010;
2;4;-1/5.000000;-1002.999678;0.000015;0.375111;1.000157;-498.798025;-496.923549;0.000010;
2;4;-1/10.000000;-1003.002797;0.000015;0.390191;1.000160;-498.798025;-496.927435;0.000010;
2;4;-1/20.000000;-1003.000220;0.000015;0.409682;1.000054;-498.798025;-496.926681;0.000009;

