FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;307.652239;307.757859;-;
0;-;0.300000;-1782.358225;-;-;-;307.652239;308.587975;-;
0;-;0.500000;-1787.139451;-;-;-;307.652239;309.141386;-;
0;-;0.700000;-1791.920676;-;-;-;307.652239;309.694797;-;
0;-;1.000000;-1799.092514;-;-;-;307.652239;310.524913;-;
1;0;0.000000;-1780.202666;-;-;-;307.652239;308.338476;-;
1;1;0.500000;-1786.273870;-;-;-;307.652239;309.041198;-;
1;1;2.000000;-1783.765231;-;-;-;307.652239;308.750831;-;
1;1;5.000000;-1779.725505;-;-;-;307.652239;308.283247;-;
1;1;10.000000;-1776.431197;-;-;-;307.652239;307.901941;-;
1;2;0.500000;-1781.237812;-;-;-;307.652239;308.458291;-;
1;2;2.000000;-1784.662215;-;-;-;307.652239;308.854654;-;
1;2;5.000000;-1790.825215;-;-;-;307.652239;309.568001;-;
1;2;10.000000;-1796.161095;-;-;-;307.652239;310.185611;-;
1;3;0.500000;-1779.262770;-;-;-;307.652239;308.229686;-;
1;3;2.000000;-1777.137517;-;-;-;307.652239;307.983696;-;
1;3;5.000000;-1775.487256;-;-;-;307.652239;307.792683;-;
1;3;10.000000;-1775.194150;-;-;-;307.652239;307.758757;-;
1;4;2.000000;-1784.166367;-;-;-;307.652239;308.797261;-;
1;4;5.000000;-1791.728655;-;-;-;307.652239;309.672571;-;
1;4;10.000000;-1796.824208;-;-;-;307.652239;310.262364;-;
1;5;2.000000;-1776.238965;-;-;-;307.652239;307.879691;-;
1;5;5.000000;-1775.196112;-;-;-;307.652239;307.758984;-;
1;5;10.000000;-1775.186391;-;-;-;307.652239;307.757859;-;
2;0;0/0.000000;-1785.256795;0.000265;0.526444;1.000074;307.652239;310.169149;0.000012;
2;1;-1/1.000000;-1784.926269;0.000259;0.496293;1.000062;307.652239;310.171034;0.000012;
2;2;-1/0.500000;-1785.170183;0.000265;0.523979;1.000013;307.652239;310.168346;0.000012;
2;2;-1/2.000000;-1784.902926;0.000263;0.489587;1.000067;307.652239;310.167892;0.000012;
2;2;-1/5.000000;-1784.384790;0.000255;0.430700;1.000148;307.652239;310.170893;0.000014;
2;2;-1/10.000000;-1783.581816;0.000246;0.336340;1.000109;307.652239;310.158343;0.000020;
2;2;-1/20.000000;-1782.250637;0.000266;0.202664;1.000227;307.652239;310.098393;0.000038;
2;2;-1/40.000000;-1780.480600;0.000456;0.088056;1.000331;307.652239;309.845922;0.000116;
2;2;-1/80.000000;-1778.561041;0.000505;0.041016;1.000845;307.652239;309.275339;0.000168;
2;3;-1/1.000000;-1784.433816;0.000241;0.435091;1.000052;307.652239;310.171046;0.000015;
2;3;-1/2.000000;-1784.155100;0.000234;0.402753;1.000468;307.652239;310.170524;0.000016;
2;3;-1/5.000000;-1783.454127;0.000211;0.331768;1.000122;307.652239;310.166203;0.000020;
2;3;-1/10.000000;-1782.512376;0.000210;0.232537;1.000378;307.652239;310.132192;0.000033;
2;3;-1/20.000000;-1781.247583;0.000283;0.130717;1.000271;307.652239;310.011703;0.000069;
2;4;-1/1.000000;-1784.946339;0.000253;0.492371;1.000068;307.652239;310.171879;0.000012;
2;4;-1/2.000000;-1785.094276;0.000259;0.503438;1.000063;307.652239;310.170668;0.000012;
2;4;-1/5.000000;-1785.188958;0.000261;0.515114;1.000025;307.652239;310.168832;0.000012;
2;4;-1/10.000000;-1785.219825;0.000267;0.519198;1.000085;307.652239;310.166349;0.000012;
2;4;-1/20.000000;-1785.245289;0.000269;0.510676;1.000145;307.652239;310.168433;0.000013;

