FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-547.968090;-;-;-;-381.060811;-376.662791;-;
0;-;0.300000;-580.975255;-;-;-;-381.060811;-376.662791;-;
0;-;0.500000;-602.980031;-;-;-;-381.060811;-376.662791;-;
0;-;0.700000;-624.984808;-;-;-;-381.060811;-376.662791;-;
0;-;1.000000;-657.991973;-;-;-;-381.060811;-376.662791;-;
1;0;0.000000;-643.296875;-;-;-;-381.060811;-376.662791;-;
1;1;0.500000;-608.005586;-;-;-;-381.060811;-376.662791;-;
1;1;2.000000;-622.282151;-;-;-;-381.060811;-376.662791;-;
1;1;5.000000;-642.811090;-;-;-;-381.060811;-376.662791;-;
1;1;10.000000;-655.243548;-;-;-;-381.060811;-376.662791;-;
1;2;0.500000;-646.279018;-;-;-;-381.060811;-376.662791;-;
1;2;2.000000;-652.718924;-;-;-;-381.060811;-376.662791;-;
1;2;5.000000;-657.282950;-;-;-;-381.060811;-376.662791;-;
1;2;10.000000;-657.977974;-;-;-;-381.060811;-376.662791;-;
1;3;0.500000;-639.928098;-;-;-;-381.060811;-376.662791;-;
1;3;2.000000;-628.162908;-;-;-;-381.060811;-376.662791;-;
1;3;5.000000;-604.027852;-;-;-;-381.060811;-376.662791;-;
1;3;10.000000;-576.899914;-;-;-;-381.060811;-376.662791;-;
1;4;2.000000;-656.029255;-;-;-;-381.060811;-376.662791;-;
1;4;5.000000;-657.987297;-;-;-;-381.060811;-376.662791;-;
1;4;10.000000;-657.991973;-;-;-;-381.060811;-376.662791;-;
1;5;2.000000;-630.564495;-;-;-;-381.060811;-376.662791;-;
1;5;5.000000;-601.692593;-;-;-;-381.060811;-376.662791;-;
1;5;10.000000;-574.201687;-;-;-;-381.060811;-376.662791;-;
2;0;0/0.000000;-601.780618;0.019284;0.539749;1.000155;-381.060811;-377.106441;0.000005;
2;1;-1/1.000000;-611.922171;0.016589;0.542697;1.000136;-381.060811;-377.108024;0.000005;
2;2;-1/0.500000;-604.276065;0.019178;0.540499;1.000152;-381.060811;-377.106809;0.000005;
2;2;-1/2.000000;-611.548987;0.017808;0.542441;1.000132;-381.060811;-377.107880;0.000005;
2;2;-1/5.000000;-623.596819;0.012460;0.543861;1.000112;-381.060811;-377.110277;0.000005;
2;2;-1/10.000000;-634.925840;0.005438;0.545367;1.000095;-381.060811;-377.114107;0.000006;
2;2;-1/20.000000;-642.766117;0.001590;0.540918;1.000059;-381.060811;-377.118853;0.000006;
2;2;-1/40.000000;-647.196146;0.000469;0.530829;1.000085;-381.060811;-377.124517;0.000007;
2;2;-1/80.000000;-649.852892;0.000163;0.494514;1.000141;-381.060811;-377.127251;0.000008;
2;3;-1/1.000000;-622.211967;0.010884;0.542199;1.000114;-381.060811;-377.109321;0.000005;
2;3;-1/2.000000;-626.710764;0.008422;0.542611;1.000116;-381.060811;-377.110409;0.000006;
2;3;-1/5.000000;-634.404422;0.004503;0.544982;1.000106;-381.060811;-377.113050;0.000006;
2;3;-1/10.000000;-640.101692;0.002192;0.546105;1.000081;-381.060811;-377.116308;0.000006;
2;3;-1/20.000000;-644.657702;0.000902;0.535624;1.000060;-381.060811;-377.120781;0.000006;
2;4;-1/1.000000;-612.666796;0.015705;0.541696;1.000132;-381.060811;-377.107826;0.000005;
2;4;-1/2.000000;-607.698575;0.017670;0.540184;1.000142;-381.060811;-377.107125;0.000005;
2;4;-1/5.000000;-604.262082;0.018715;0.540538;1.000150;-381.060811;-377.106858;0.000005;
2;4;-1/10.000000;-603.039995;0.019016;0.540319;1.000153;-381.060811;-377.106716;0.000005;
2;4;-1/20.000000;-602.415065;0.019155;0.540104;1.000154;-381.060811;-377.106591;0.000005;

