FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-148.715479;-;-;-;-17.000000;-15.596450;-;
0;-;0.300000;-158.772574;-;-;-;-17.000000;-15.596450;-;
0;-;0.500000;-165.477305;-;-;-;-17.000000;-15.596450;-;
0;-;0.700000;-172.182035;-;-;-;-17.000000;-15.596450;-;
0;-;1.000000;-182.239130;-;-;-;-17.000000;-15.596450;-;
1;0;0.000000;-152.775912;-;-;-;-17.000000;-15.596450;-;
1;1;0.500000;-163.894362;-;-;-;-17.000000;-15.596450;-;
1;1;2.000000;-159.413996;-;-;-;-17.000000;-15.596450;-;
1;1;5.000000;-153.098509;-;-;-;-17.000000;-15.596450;-;
1;1;10.000000;-149.457109;-;-;-;-17.000000;-15.596450;-;
1;2;0.500000;-153.722129;-;-;-;-17.000000;-15.596450;-;
1;2;2.000000;-157.056392;-;-;-;-17.000000;-15.596450;-;
1;2;5.000000;-164.047138;-;-;-;-17.000000;-15.596450;-;
1;2;10.000000;-172.255670;-;-;-;-17.000000;-15.596450;-;
1;3;0.500000;-151.941752;-;-;-;-17.000000;-15.596450;-;
1;3;2.000000;-150.153712;-;-;-;-17.000000;-15.596450;-;
1;3;5.000000;-148.904769;-;-;-;-17.000000;-15.596450;-;
1;3;10.000000;-148.719067;-;-;-;-17.000000;-15.596450;-;
1;4;2.000000;-156.344539;-;-;-;-17.000000;-15.596450;-;
1;4;5.000000;-164.660070;-;-;-;-17.000000;-15.596450;-;
1;4;10.000000;-173.021060;-;-;-;-17.000000;-15.596450;-;
1;5;2.000000;-149.207284;-;-;-;-17.000000;-15.596450;-;
1;5;5.000000;-148.716353;-;-;-;-17.000000;-15.596450;-;
1;5;10.000000;-148.715479;-;-;-;-17.000000;-15.596450;-;
2;0;0/0.000000;-165.827980;0.001744;0.128015;1.000600;-17.000000;-15.688175;0.000001;
2;1;-1/1.000000;-163.484046;0.001502;0.103081;1.001536;-17.000000;-15.685959;0.000001;
2;2;-1/0.500000;-165.246483;0.001715;0.145366;1.000484;-17.000000;-15.687494;0.000001;
2;2;-1/2.000000;-163.584713;0.001654;0.123368;1.000695;-17.000000;-15.686872;0.000001;
2;2;-1/5.000000;-160.753306;0.001232;0.131106;1.001024;-17.000000;-15.688044;0.000001;
2;2;-1/10.000000;-157.840209;0.000552;0.112694;1.000691;-17.000000;-15.686222;0.000001;
2;2;-1/20.000000;-155.621826;0.000209;0.126635;1.000931;-17.000000;-15.685800;0.000001;
2;2;-1/40.000000;-154.327435;0.000165;0.054428;1.000945;-17.000000;-15.683905;0.000001;
2;2;-1/80.000000;-153.393595;0.000275;0.020201;1.001909;-17.000000;-15.680406;0.000001;
2;3;-1/1.000000;-161.084636;0.001021;0.117038;1.001333;-17.000000;-15.687788;0.000001;
2;3;-1/2.000000;-159.879133;0.000805;0.094684;1.001700;-17.000000;-15.687031;0.000001;
2;3;-1/5.000000;-157.741172;0.000421;0.125839;1.001623;-17.000000;-15.686565;0.000001;
2;3;-1/10.000000;-156.187381;0.000220;0.123353;1.000699;-17.000000;-15.685806;0.000001;
2;3;-1/20.000000;-154.936382;0.000156;0.075640;1.001852;-17.000000;-15.686012;0.000001;
2;4;-1/1.000000;-163.355185;0.001495;0.120424;1.000823;-17.000000;-15.688146;0.000001;
2;4;-1/2.000000;-164.534852;0.001592;0.132968;1.000893;-17.000000;-15.688720;0.000001;
2;4;-1/5.000000;-165.255458;0.001680;0.120710;1.001259;-17.000000;-15.688526;0.000001;
2;4;-1/10.000000;-165.558164;0.001699;0.138147;1.001672;-17.000000;-15.688967;0.000001;
2;4;-1/20.000000;-165.657636;0.001711;0.124072;1.001249;-17.000000;-15.687403;0.000001;

