FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-340.569281;-339.784138;-;
0;-;0.300000;-1000.172723;-;-;-;-340.569281;-338.871299;-;
0;-;0.500000;-1001.371578;-;-;-;-340.569281;-338.262740;-;
0;-;0.700000;-1002.570434;-;-;-;-340.569281;-337.654180;-;
0;-;1.000000;-1004.368717;-;-;-;-340.569281;-336.741341;-;
1;0;0.000000;-1000.708484;-;-;-;-340.569281;-338.599338;-;
1;1;0.500000;-1001.288713;-;-;-;-340.569281;-338.304804;-;
1;1;2.000000;-1001.041377;-;-;-;-340.569281;-338.430356;-;
1;1;5.000000;-1000.563215;-;-;-;-340.569281;-338.673079;-;
1;1;10.000000;-999.864484;-;-;-;-340.569281;-339.027767;-;
1;2;0.500000;-1001.069557;-;-;-;-340.569281;-338.416051;-;
1;2;2.000000;-1002.125082;-;-;-;-340.569281;-337.880248;-;
1;2;5.000000;-1003.548093;-;-;-;-340.569281;-337.157904;-;
1;2;10.000000;-1004.246892;-;-;-;-340.569281;-336.803182;-;
1;3;0.500000;-1000.360457;-;-;-;-340.569281;-338.776002;-;
1;3;2.000000;-999.480368;-;-;-;-340.569281;-339.222750;-;
1;3;5.000000;-998.618699;-;-;-;-340.569281;-339.660148;-;
1;3;10.000000;-998.387529;-;-;-;-340.569281;-339.777494;-;
1;4;2.000000;-1002.133701;-;-;-;-340.569281;-337.875873;-;
1;4;5.000000;-1003.859859;-;-;-;-340.569281;-336.999646;-;
1;4;10.000000;-1004.325519;-;-;-;-340.569281;-336.763269;-;
1;5;2.000000;-999.283267;-;-;-;-340.569281;-339.322802;-;
1;5;5.000000;-998.428093;-;-;-;-340.569281;-339.756903;-;
1;5;10.000000;-998.374920;-;-;-;-340.569281;-339.783895;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-340.569281;-338.799870;0.000005;
2;1;-1/1.000000;-1002.987148;0.000016;0.387261;1.000163;-340.569281;-338.808848;0.000004;
2;2;-1/0.500000;-1002.998076;0.000015;0.392574;1.000105;-340.569281;-338.800676;0.000004;
2;2;-1/2.000000;-1002.979951;0.000015;0.394086;1.000174;-340.569281;-338.806986;0.000004;
2;2;-1/5.000000;-1002.944944;0.000018;0.378443;1.000051;-340.569281;-338.820431;0.000004;
2;2;-1/10.000000;-1002.896192;0.000019;0.381659;1.000116;-340.569281;-338.836608;0.000005;
2;2;-1/20.000000;-1002.764104;0.000027;0.322112;1.000184;-340.569281;-338.881740;0.000005;
2;2;-1/40.000000;-1002.423773;0.000053;0.223881;1.000137;-340.569281;-338.983879;0.000006;
2;2;-1/80.000000;-1001.478605;0.000133;0.097114;1.000628;-340.569281;-339.226943;0.000007;
2;3;-1/1.000000;-1002.755106;0.000022;0.353222;1.000081;-340.569281;-338.887439;0.000004;
2;3;-1/2.000000;-1002.712025;0.000022;0.349234;1.000028;-340.569281;-338.899563;0.000004;
2;3;-1/5.000000;-1002.574382;0.000025;0.307355;1.000228;-340.569281;-338.946395;0.000004;
2;3;-1/10.000000;-1002.338813;0.000033;0.242747;1.000195;-340.569281;-339.016862;0.000004;
2;3;-1/20.000000;-1001.905300;0.000043;0.170177;1.000657;-340.569281;-339.135646;0.000004;
2;4;-1/1.000000;-1002.957611;0.000016;0.403797;1.000274;-340.569281;-338.816893;0.000004;
2;4;-1/2.000000;-1002.976540;0.000016;0.391392;1.000077;-340.569281;-338.808966;0.000004;
2;4;-1/5.000000;-1002.990265;0.000015;0.396727;1.000140;-340.569281;-338.802554;0.000004;
2;4;-1/10.000000;-1002.996638;0.000015;0.401578;1.000206;-340.569281;-338.799302;0.000004;
2;4;-1/20.000000;-1002.998213;0.000015;0.390156;1.000150;-340.569281;-338.800870;0.000005;

