FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-92.641411;-;-;-;-74.024390;-72.273910;-;
0;-;0.300000;-102.024330;-;-;-;-74.024390;-72.273910;-;
0;-;0.500000;-108.279610;-;-;-;-74.024390;-72.273910;-;
0;-;0.700000;-114.534889;-;-;-;-74.024390;-72.273910;-;
0;-;1.000000;-123.917808;-;-;-;-74.024390;-72.273910;-;
1;0;0.000000;-105.867590;-;-;-;-74.024390;-72.273910;-;
1;1;0.500000;-107.978144;-;-;-;-74.024390;-72.273910;-;
1;1;2.000000;-107.075985;-;-;-;-74.024390;-72.273910;-;
1;1;5.000000;-105.301396;-;-;-;-74.024390;-72.273910;-;
1;1;10.000000;-102.531656;-;-;-;-74.024390;-72.273910;-;
1;2;0.500000;-107.790571;-;-;-;-74.024390;-72.273910;-;
1;2;2.000000;-113.287115;-;-;-;-74.024390;-72.273910;-;
1;2;5.000000;-120.329138;-;-;-;-74.024390;-72.273910;-;
1;2;10.000000;-123.463517;-;-;-;-74.024390;-72.273910;-;
1;3;0.500000;-103.993313;-;-;-;-74.024390;-72.273910;-;
1;3;2.000000;-99.150948;-;-;-;-74.024390;-72.273910;-;
1;3;5.000000;-94.186979;-;-;-;-74.024390;-72.273910;-;
1;3;10.000000;-92.737453;-;-;-;-74.024390;-72.273910;-;
1;4;2.000000;-113.500676;-;-;-;-74.024390;-72.273910;-;
1;4;5.000000;-121.915434;-;-;-;-74.024390;-72.273910;-;
1;4;10.000000;-123.789612;-;-;-;-74.024390;-72.273910;-;
1;5;2.000000;-98.234505;-;-;-;-74.024390;-72.273910;-;
1;5;5.000000;-93.064376;-;-;-;-74.024390;-72.273910;-;
1;5;10.000000;-92.647131;-;-;-;-74.024390;-72.273910;-;
2;0;0/0.000000;-112.264693;0.000181;0.009652;1.005558;-74.024390;-72.289783;0.000000;
2;1;-1/1.000000;-112.264693;0.000181;0.009652;1.005558;-74.024390;-72.289783;0.000000;
2;2;-1/0.500000;-112.254513;0.000226;0.008878;1.005496;-74.024390;-72.290208;0.000000;
2;2;-1/2.000000;-112.268775;0.000232;0.007194;1.003732;-74.024390;-72.289822;0.000000;
2;2;-1/5.000000;-112.269445;0.000207;0.009405;1.004776;-74.024390;-72.290302;0.000000;
2;2;-1/10.000000;-112.265954;0.000191;0.009566;1.005306;-74.024390;-72.290554;0.000000;
2;2;-1/20.000000;-112.255793;0.000192;0.009992;1.004423;-74.024390;-72.290051;0.000000;
2;2;-1/40.000000;-112.244910;0.000171;0.010814;1.004447;-74.024390;-72.289970;0.000000;
2;2;-1/80.000000;-112.221472;0.000173;0.009958;1.006690;-74.024390;-72.289524;0.000000;
2;3;-1/1.000000;-112.241729;0.000199;0.009591;1.005849;-74.024390;-72.290052;0.000000;
2;3;-1/2.000000;-112.251128;0.000180;0.010962;1.005965;-74.024390;-72.290071;0.000000;
2;3;-1/5.000000;-112.247021;0.000207;0.010323;1.006643;-74.024390;-72.290566;0.000000;
2;3;-1/10.000000;-112.239878;0.000191;0.009872;1.007233;-74.024390;-72.290087;0.000000;
2;3;-1/20.000000;-112.228210;0.000176;0.010569;1.003442;-74.024390;-72.290090;0.000000;
2;4;-1/1.000000;-112.243487;0.000165;0.010366;1.004422;-74.024390;-72.289911;0.000000;
2;4;-1/2.000000;-112.260092;0.000184;0.010666;1.006071;-74.024390;-72.290092;0.000000;
2;4;-1/5.000000;-112.267184;0.000183;0.010734;1.003871;-74.024390;-72.290139;0.000000;
2;4;-1/10.000000;-112.257969;0.000194;0.009732;1.003888;-74.024390;-72.290135;0.000000;
2;4;-1/20.000000;-112.278836;0.000222;0.009551;1.007413;-74.024390;-72.290239;0.000000;

