FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-563.159828;-;-;-;-311.600000;-308.142000;-;
0;-;0.300000;-623.261392;-;-;-;-311.600000;-308.752054;-;
0;-;0.500000;-663.329101;-;-;-;-311.600000;-309.158757;-;
0;-;0.700000;-703.396811;-;-;-;-311.600000;-309.565460;-;
0;-;1.000000;-763.498375;-;-;-;-311.600000;-310.175515;-;
1;0;0.000000;-743.684672;-;-;-;-311.600000;-309.974398;-;
1;1;0.500000;-673.340017;-;-;-;-311.600000;-309.260372;-;
1;1;2.000000;-701.482459;-;-;-;-311.600000;-309.546029;-;
1;1;5.000000;-739.732766;-;-;-;-311.600000;-309.934284;-;
1;1;10.000000;-759.933723;-;-;-;-311.600000;-310.139332;-;
1;2;0.500000;-747.843132;-;-;-;-311.600000;-310.016608;-;
1;2;2.000000;-756.640037;-;-;-;-311.600000;-310.105900;-;
1;2;5.000000;-762.629022;-;-;-;-311.600000;-310.166690;-;
1;2;10.000000;-763.483016;-;-;-;-311.600000;-310.175359;-;
1;3;0.500000;-738.932573;-;-;-;-311.600000;-309.926162;-;
1;3;2.000000;-721.916558;-;-;-;-311.600000;-309.753443;-;
1;3;5.000000;-684.810588;-;-;-;-311.600000;-309.376803;-;
1;3;10.000000;-637.668909;-;-;-;-311.600000;-308.898296;-;
1;4;2.000000;-761.538778;-;-;-;-311.600000;-310.155624;-;
1;4;5.000000;-763.496479;-;-;-;-311.600000;-310.175495;-;
1;4;10.000000;-763.498375;-;-;-;-311.600000;-310.175515;-;
1;5;2.000000;-725.830567;-;-;-;-311.600000;-309.793172;-;
1;5;5.000000;-682.181712;-;-;-;-311.600000;-309.350119;-;
1;5;10.000000;-633.871176;-;-;-;-311.600000;-308.859748;-;
2;0;0/0.000000;-666.824545;0.152225;0.015759;1.004594;-311.600000;-308.874272;0.000052;
2;1;-1/1.000000;-681.571392;0.126388;0.016872;1.004093;-311.600000;-308.889860;0.000048;
2;2;-1/0.500000;-670.605269;0.153685;0.016003;1.004435;-311.600000;-308.878434;0.000051;
2;2;-1/2.000000;-681.692975;0.154495;0.016781;1.004165;-311.600000;-308.890838;0.000049;
2;2;-1/5.000000;-700.694437;0.128810;0.019806;1.003537;-311.600000;-308.917588;0.000041;
2;2;-1/10.000000;-720.094684;0.087110;0.025091;1.003737;-311.600000;-308.962147;0.000032;
2;2;-1/20.000000;-735.554527;0.035995;0.039244;1.002608;-311.600000;-309.038389;0.000022;
2;2;-1/40.000000;-746.039296;0.006428;0.112352;1.000661;-311.600000;-309.152783;0.000016;
2;2;-1/80.000000;-753.046373;0.001087;0.351292;1.000112;-311.600000;-309.311002;0.000014;
2;3;-1/1.000000;-695.891612;0.099361;0.018819;1.003778;-311.600000;-308.905997;0.000043;
2;3;-1/2.000000;-703.903436;0.088812;0.020397;1.003445;-311.600000;-308.917441;0.000040;
2;3;-1/5.000000;-718.291970;0.070411;0.024421;1.003521;-311.600000;-308.948459;0.000033;
2;3;-1/10.000000;-729.533002;0.046915;0.030802;1.003324;-311.600000;-308.993458;0.000025;
2;3;-1/20.000000;-739.533285;0.018741;0.051874;1.001740;-311.600000;-309.068323;0.000019;
2;4;-1/1.000000;-681.921108;0.118470;0.016957;1.004064;-311.600000;-308.890231;0.000048;
2;4;-1/2.000000;-674.807739;0.130001;0.016420;1.004212;-311.600000;-308.882898;0.000050;
2;4;-1/5.000000;-670.118343;0.144589;0.016042;1.004440;-311.600000;-308.877980;0.000051;
2;4;-1/10.000000;-668.486936;0.148265;0.015908;1.004516;-311.600000;-308.876156;0.000052;
2;4;-1/20.000000;-667.659458;0.150213;0.015835;1.004557;-311.600000;-308.875224;0.000052;

