FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-429.462367;-;-;-;-47.650000;-46.112000;-;
0;-;0.300000;-436.111129;-;-;-;-47.650000;-46.112000;-;
0;-;0.500000;-440.543638;-;-;-;-47.650000;-46.112000;-;
0;-;0.700000;-444.976146;-;-;-;-47.650000;-46.112000;-;
0;-;1.000000;-451.624908;-;-;-;-47.650000;-46.112000;-;
1;0;0.000000;-436.328720;-;-;-;-47.650000;-46.112000;-;
1;1;0.500000;-440.017170;-;-;-;-47.650000;-46.112000;-;
1;1;2.000000;-438.461225;-;-;-;-47.650000;-46.112000;-;
1;1;5.000000;-435.639107;-;-;-;-47.650000;-46.112000;-;
1;1;10.000000;-432.341338;-;-;-;-47.650000;-46.112000;-;
1;2;0.500000;-437.545530;-;-;-;-47.650000;-46.112000;-;
1;2;2.000000;-441.300463;-;-;-;-47.650000;-46.112000;-;
1;2;5.000000;-447.035074;-;-;-;-47.650000;-46.112000;-;
1;2;10.000000;-450.625645;-;-;-;-47.650000;-46.112000;-;
1;3;0.500000;-435.186506;-;-;-;-47.650000;-46.112000;-;
1;3;2.000000;-432.439494;-;-;-;-47.650000;-46.112000;-;
1;3;5.000000;-430.019716;-;-;-;-47.650000;-46.112000;-;
1;3;10.000000;-429.483656;-;-;-;-47.650000;-46.112000;-;
1;4;2.000000;-441.067754;-;-;-;-47.650000;-46.112000;-;
1;4;5.000000;-448.154042;-;-;-;-47.650000;-46.112000;-;
1;4;10.000000;-451.081337;-;-;-;-47.650000;-46.112000;-;
1;5;2.000000;-431.589687;-;-;-;-47.650000;-46.112000;-;
1;5;5.000000;-429.525631;-;-;-;-47.650000;-46.112000;-;
1;5;10.000000;-429.462548;-;-;-;-47.650000;-46.112000;-;
2;0;0/0.000000;-437.768804;0.000423;0.834253;1.000091;-47.650000;-46.400551;0.000002;
2;1;-1/1.000000;-437.245875;0.000394;0.832186;1.000096;-47.650000;-46.402952;0.000002;
2;2;-1/0.500000;-437.624855;0.000417;0.834457;1.000093;-47.650000;-46.401306;0.000002;
2;2;-1/2.000000;-437.207641;0.000396;0.831910;1.000098;-47.650000;-46.402763;0.000002;
2;2;-1/5.000000;-436.445793;0.000351;0.830407;1.000088;-47.650000;-46.405531;0.000002;
2;2;-1/10.000000;-435.382157;0.000277;0.807511;1.000091;-47.650000;-46.406651;0.000002;
2;2;-1/20.000000;-433.932939;0.000162;0.725730;1.000094;-47.650000;-46.403375;0.000002;
2;2;-1/40.000000;-432.609197;0.000064;0.540538;1.000059;-47.650000;-46.389356;0.000002;
2;2;-1/80.000000;-431.719650;0.000029;0.298312;1.000142;-47.650000;-46.357202;0.000002;
2;3;-1/1.000000;-436.191904;0.000305;0.829677;1.000094;-47.650000;-46.407408;0.000002;
2;3;-1/2.000000;-435.866957;0.000281;0.824612;1.000093;-47.650000;-46.408003;0.000002;
2;3;-1/5.000000;-435.070089;0.000227;0.794926;1.000095;-47.650000;-46.408767;0.000002;
2;3;-1/10.000000;-434.152631;0.000157;0.746390;1.000083;-47.650000;-46.406341;0.000002;
2;3;-1/20.000000;-433.127851;0.000085;0.634698;1.000085;-47.650000;-46.399023;0.000002;
2;4;-1/1.000000;-437.248840;0.000383;0.835631;1.000093;-47.650000;-46.403318;0.000002;
2;4;-1/2.000000;-437.499561;0.000403;0.835028;1.000087;-47.650000;-46.402141;0.000002;
2;4;-1/5.000000;-437.657546;0.000415;0.835341;1.000091;-47.650000;-46.401297;0.000002;
2;4;-1/10.000000;-437.712521;0.000419;0.835921;1.000098;-47.650000;-46.400925;0.000002;
2;4;-1/20.000000;-437.740366;0.000421;0.835093;1.000094;-47.650000;-46.400709;0.000002;

