FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-681.095290;-681.097109;-;
0;-;0.300000;-1000.172723;-;-;-;-681.095290;-679.562766;-;
0;-;0.500000;-1001.371578;-;-;-;-681.095290;-678.539872;-;
0;-;0.700000;-1002.570434;-;-;-;-681.095290;-677.516977;-;
0;-;1.000000;-1004.368717;-;-;-;-681.095290;-675.982635;-;
1;0;0.000000;-1001.694736;-;-;-;-681.095290;-678.264145;-;
1;1;0.500000;-1001.411970;-;-;-;-681.095290;-678.505408;-;
1;1;2.000000;-1001.533001;-;-;-;-681.095290;-678.402142;-;
1;1;5.000000;-1001.773097;-;-;-;-681.095290;-678.197285;-;
1;1;10.000000;-1002.160457;-;-;-;-681.095290;-677.866779;-;
1;2;0.500000;-1002.059825;-;-;-;-681.095290;-677.952641;-;
1;2;2.000000;-1003.017282;-;-;-;-681.095290;-677.135714;-;
1;2;5.000000;-1004.031050;-;-;-;-681.095290;-676.270741;-;
1;2;10.000000;-1004.345430;-;-;-;-681.095290;-676.002503;-;
1;3;0.500000;-1001.323040;-;-;-;-681.095290;-678.581286;-;
1;3;2.000000;-1000.276902;-;-;-;-681.095290;-679.473878;-;
1;3;5.000000;-998.982415;-;-;-;-681.095290;-680.578368;-;
1;3;10.000000;-998.443417;-;-;-;-681.095290;-681.038255;-;
1;4;2.000000;-1003.175883;-;-;-;-681.095290;-677.000391;-;
1;4;5.000000;-1004.262829;-;-;-;-681.095290;-676.072981;-;
1;4;10.000000;-1004.366846;-;-;-;-681.095290;-675.984231;-;
1;5;2.000000;-1000.213588;-;-;-;-681.095290;-679.527899;-;
1;5;5.000000;-998.687002;-;-;-;-681.095290;-680.830422;-;
1;5;10.000000;-998.390738;-;-;-;-681.095290;-681.083203;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-681.095290;-676.858225;0.000012;
2;1;-1/1.000000;-1003.000215;0.000015;0.391713;1.000136;-681.095290;-676.858225;0.000012;
2;2;-1/0.500000;-1003.003508;0.000015;0.393482;1.000095;-681.095290;-676.857581;0.000012;
2;2;-1/2.000000;-1003.010545;0.000014;0.388634;1.000060;-681.095290;-676.849351;0.000011;
2;2;-1/5.000000;-1003.022312;0.000013;0.401627;1.000073;-681.095290;-676.848512;0.000011;
2;2;-1/10.000000;-1003.045495;0.000013;0.383308;1.000226;-681.095290;-676.837371;0.000010;
2;2;-1/20.000000;-1003.091355;0.000011;0.401213;1.000085;-681.095290;-676.817075;0.000009;
2;2;-1/40.000000;-1003.164183;0.000008;0.400056;1.000247;-681.095290;-676.787675;0.000007;
2;2;-1/80.000000;-1003.282249;0.000006;0.325835;1.000104;-681.095290;-676.742206;0.000005;
2;3;-1/1.000000;-1003.066387;0.000012;0.394757;1.000180;-681.095290;-676.827997;0.000010;
2;3;-1/2.000000;-1003.069833;0.000011;0.390214;1.000061;-681.095290;-676.827015;0.000009;
2;3;-1/5.000000;-1003.090071;0.000011;0.395851;1.000098;-681.095290;-676.815235;0.000009;
2;3;-1/10.000000;-1003.116801;0.000010;0.396625;1.000072;-681.095290;-676.807447;0.000008;
2;3;-1/20.000000;-1003.165715;0.000008;0.387207;1.000151;-681.095290;-676.786793;0.000007;
2;4;-1/1.000000;-1003.006902;0.000015;0.397668;1.000027;-681.095290;-676.855501;0.000011;
2;4;-1/2.000000;-1003.002177;0.000015;0.387529;1.000092;-681.095290;-676.856247;0.000012;
2;4;-1/5.000000;-1003.002475;0.000014;0.411196;1.000178;-681.095290;-676.855449;0.000011;
2;4;-1/10.000000;-1003.001664;0.000014;0.406916;1.000197;-681.095290;-676.853734;0.000012;
2;4;-1/20.000000;-1002.998614;0.000015;0.397063;1.000167;-681.095290;-676.859399;0.000012;

