FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-325.573255;-323.592969;-;
0;-;0.300000;-1000.172723;-;-;-;-325.573255;-322.565483;-;
0;-;0.500000;-1001.371578;-;-;-;-325.573255;-321.880493;-;
0;-;0.700000;-1002.570434;-;-;-;-325.573255;-321.195502;-;
0;-;1.000000;-1004.368717;-;-;-;-325.573255;-320.168016;-;
1;0;0.000000;-1000.593352;-;-;-;-325.573255;-322.325148;-;
1;1;0.500000;-1001.274334;-;-;-;-325.573255;-321.936055;-;
1;1;2.000000;-1000.984637;-;-;-;-325.573255;-322.101580;-;
1;1;5.000000;-1000.431574;-;-;-;-325.573255;-322.417583;-;
1;1;10.000000;-999.659938;-;-;-;-325.573255;-322.858473;-;
1;2;0.500000;-1000.948555;-;-;-;-325.573255;-322.122195;-;
1;2;2.000000;-1002.000477;-;-;-;-325.573255;-321.521158;-;
1;2;5.000000;-1003.461278;-;-;-;-325.573255;-320.686500;-;
1;2;10.000000;-1004.221037;-;-;-;-325.573255;-320.252396;-;
1;3;0.500000;-1000.253162;-;-;-;-325.573255;-322.519522;-;
1;3;2.000000;-999.403333;-;-;-;-325.573255;-323.005089;-;
1;3;5.000000;-998.592609;-;-;-;-325.573255;-323.468313;-;
1;3;10.000000;-998.385194;-;-;-;-325.573255;-323.586824;-;
1;4;2.000000;-1001.990885;-;-;-;-325.573255;-321.526639;-;
1;4;5.000000;-1003.774633;-;-;-;-325.573255;-320.507458;-;
1;4;10.000000;-1004.309838;-;-;-;-325.573255;-320.201658;-;
1;5;2.000000;-999.195818;-;-;-;-325.573255;-323.123657;-;
1;5;5.000000;-998.416103;-;-;-;-325.573255;-323.569164;-;
1;5;10.000000;-998.374729;-;-;-;-325.573255;-323.592803;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-325.573255;-322.250012;0.000007;
2;1;-1/1.000000;-1002.976501;0.000016;0.387085;1.000221;-325.573255;-322.265869;0.000008;
2;2;-1/0.500000;-1002.994199;0.000015;0.402783;1.000139;-325.573255;-322.252750;0.000008;
2;2;-1/2.000000;-1002.977275;0.000016;0.391552;1.000086;-325.573255;-322.262476;0.000008;
2;2;-1/5.000000;-1002.939731;0.000019;0.364249;1.000231;-325.573255;-322.284785;0.000008;
2;2;-1/10.000000;-1002.868404;0.000021;0.362566;1.000216;-325.573255;-322.323336;0.000009;
2;2;-1/20.000000;-1002.712176;0.000030;0.311237;1.000176;-325.573255;-322.406295;0.000010;
2;2;-1/40.000000;-1002.282518;0.000064;0.192592;1.000075;-325.573255;-322.605950;0.000014;
2;2;-1/80.000000;-1001.134038;0.000136;0.084562;1.000789;-325.573255;-323.004697;0.000016;
2;3;-1/1.000000;-1002.751109;0.000021;0.365245;1.000236;-325.573255;-322.392581;0.000008;
2;3;-1/2.000000;-1002.700746;0.000022;0.355659;1.000110;-325.573255;-322.418230;0.000009;
2;3;-1/5.000000;-1002.530680;0.000028;0.294781;1.000137;-325.573255;-322.505619;0.000011;
2;3;-1/10.000000;-1002.262911;0.000033;0.232108;1.000384;-325.573255;-322.632868;0.000011;
2;3;-1/20.000000;-1001.775657;0.000046;0.149962;1.000254;-325.573255;-322.831408;0.000015;
2;4;-1/1.000000;-1002.951119;0.000015;0.386979;1.000244;-325.573255;-322.279474;0.000007;
2;4;-1/2.000000;-1002.978445;0.000015;0.402253;1.000163;-325.573255;-322.263026;0.000008;
2;4;-1/5.000000;-1002.994210;0.000014;0.399117;1.000083;-325.573255;-322.254455;0.000007;
2;4;-1/10.000000;-1002.999257;0.000014;0.409516;1.000060;-325.573255;-322.251745;0.000007;
2;4;-1/20.000000;-1002.999914;0.000015;0.401558;1.000264;-325.573255;-322.250931;0.000007;

