FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;-1.532258;-1.532258;-;
0;-;0.300000;-18404.089144;-;-;-;-1.532258;-1.072581;-;
0;-;0.500000;-18404.761476;-;-;-;-1.532258;-0.766129;-;
0;-;0.700000;-18405.433809;-;-;-;-1.532258;-0.459677;-;
0;-;1.000000;-18406.442308;-;-;-;-1.532258;0.000000;-;
1;0;0.000000;-18403.081504;-;-;-;-1.532258;-1.531867;-;
1;1;0.500000;-18404.552566;-;-;-;-1.532258;-0.861351;-;
1;1;2.000000;-18403.985073;-;-;-;-1.532258;-1.120017;-;
1;1;5.000000;-18403.335956;-;-;-;-1.532258;-1.415887;-;
1;1;10.000000;-18403.103201;-;-;-;-1.532258;-1.521977;-;
1;2;0.500000;-18403.081736;-;-;-;-1.532258;-1.531761;-;
1;2;2.000000;-18403.082630;-;-;-;-1.532258;-1.531353;-;
1;2;5.000000;-18403.084964;-;-;-;-1.532258;-1.530290;-;
1;2;10.000000;-18403.089220;-;-;-;-1.532258;-1.528350;-;
1;3;0.500000;-18403.081307;-;-;-;-1.532258;-1.531956;-;
1;3;2.000000;-18403.080914;-;-;-;-1.532258;-1.532136;-;
1;3;5.000000;-18403.080674;-;-;-;-1.532258;-1.532245;-;
1;3;10.000000;-18403.080646;-;-;-;-1.532258;-1.532258;-;
1;4;2.000000;-18403.082362;-;-;-;-1.532258;-1.531476;-;
1;4;5.000000;-18403.084935;-;-;-;-1.532258;-1.530303;-;
1;4;10.000000;-18403.089220;-;-;-;-1.532258;-1.528350;-;
1;5;2.000000;-18403.080645;-;-;-;-1.532258;-1.532258;-;
1;5;5.000000;-18403.080645;-;-;-;-1.532258;-1.532258;-;
1;5;10.000000;-18403.080645;-;-;-;-1.532258;-1.532258;-;
2;0;0/0.000000;-18404.764914;0.000005;0.854447;1.000164;-1.532258;-0.510247;0.000003;
2;1;-1/1.000000;-18404.662013;0.000005;0.809619;1.000200;-1.532258;-0.561427;0.000003;
2;2;-1/0.500000;-18404.739209;0.000005;0.840153;1.000171;-1.532258;-0.523088;0.000003;
2;2;-1/2.000000;-18404.661762;0.000005;0.793715;1.000199;-1.532258;-0.563136;0.000003;
2;2;-1/5.000000;-18404.508125;0.000006;0.673295;1.000220;-1.532258;-0.647493;0.000004;
2;2;-1/10.000000;-18404.263288;0.000007;0.455326;1.000292;-1.532258;-0.792629;0.000004;
2;2;-1/20.000000;-18403.873481;0.000008;0.245853;1.000344;-1.532258;-1.040235;0.000004;
2;2;-1/40.000000;-18403.503599;0.000004;0.134930;1.000480;-1.532258;-1.273739;0.000002;
2;2;-1/80.000000;-18403.292598;0.000001;0.127781;1.000423;-1.532258;-1.402858;0.000000;
2;3;-1/1.000000;-18404.570428;0.000005;0.752701;1.000212;-1.532258;-0.609995;0.000003;
2;3;-1/2.000000;-18404.487178;0.000005;0.687717;1.000208;-1.532258;-0.656300;0.000003;
2;3;-1/5.000000;-18404.275367;0.000005;0.510139;1.000286;-1.532258;-0.782480;0.000004;
2;3;-1/10.000000;-18404.012881;0.000006;0.322505;1.000355;-1.532258;-0.949824;0.000004;
2;3;-1/20.000000;-18403.701320;0.000005;0.186076;1.000475;-1.532258;-1.150946;0.000003;
2;4;-1/1.000000;-18404.662010;0.000005;0.809624;1.000200;-1.532258;-0.561428;0.000003;
2;4;-1/2.000000;-18404.711882;0.000005;0.832284;1.000183;-1.532258;-0.536118;0.000003;
2;4;-1/5.000000;-18404.743306;0.000005;0.845364;1.000170;-1.532258;-0.520646;0.000003;
2;4;-1/10.000000;-18404.754020;0.000005;0.850050;1.000167;-1.532258;-0.515468;0.000003;
2;4;-1/20.000000;-18404.759447;0.000005;0.852263;1.000166;-1.532258;-0.512861;0.000003;

