FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-465.274782;-;-;-;-13.285714;-12.094284;-;
0;-;0.300000;-516.898290;-;-;-;-13.285714;-12.094284;-;
0;-;0.500000;-551.313963;-;-;-;-13.285714;-12.094284;-;
0;-;0.700000;-585.729635;-;-;-;-13.285714;-12.094284;-;
0;-;1.000000;-637.353144;-;-;-;-13.285714;-12.094284;-;
1;0;0.000000;-484.463353;-;-;-;-13.285714;-12.094284;-;
1;1;0.500000;-542.983812;-;-;-;-13.285714;-12.094284;-;
1;1;2.000000;-519.474547;-;-;-;-13.285714;-12.094284;-;
1;1;5.000000;-486.849847;-;-;-;-13.285714;-12.094284;-;
1;1;10.000000;-468.739789;-;-;-;-13.285714;-12.094284;-;
1;2;0.500000;-488.991297;-;-;-;-13.285714;-12.094284;-;
1;2;2.000000;-505.057652;-;-;-;-13.285714;-12.094284;-;
1;2;5.000000;-539.318538;-;-;-;-13.285714;-12.094284;-;
1;2;10.000000;-580.937284;-;-;-;-13.285714;-12.094284;-;
1;3;0.500000;-480.484385;-;-;-;-13.285714;-12.094284;-;
1;3;2.000000;-472.003992;-;-;-;-13.285714;-12.094284;-;
1;3;5.000000;-466.146063;-;-;-;-13.285714;-12.094284;-;
1;3;10.000000;-465.290797;-;-;-;-13.285714;-12.094284;-;
1;4;2.000000;-501.512194;-;-;-;-13.285714;-12.094284;-;
1;4;5.000000;-542.076297;-;-;-;-13.285714;-12.094284;-;
1;4;10.000000;-584.599983;-;-;-;-13.285714;-12.094284;-;
1;5;2.000000;-467.414512;-;-;-;-13.285714;-12.094284;-;
1;5;5.000000;-465.277749;-;-;-;-13.285714;-12.094284;-;
1;5;10.000000;-465.274782;-;-;-;-13.285714;-12.094284;-;
2;0;0/0.000000;-552.048583;0.060655;0.953217;1.000019;-13.285714;-12.333942;0.000001;
2;1;-1/1.000000;-530.227126;0.048827;0.953701;1.000020;-13.285714;-12.333950;0.000001;
2;2;-1/0.500000;-546.634911;0.060260;0.952850;1.000019;-13.285714;-12.333964;0.000001;
2;2;-1/2.000000;-531.095075;0.054270;0.953510;1.000020;-13.285714;-12.334019;0.000001;
2;2;-1/5.000000;-507.387267;0.033115;0.954831;1.000021;-13.285714;-12.334157;0.000001;
2;2;-1/10.000000;-488.667917;0.012015;0.955456;1.000020;-13.285714;-12.334445;0.000001;
2;2;-1/20.000000;-477.532358;0.003086;0.954658;1.000022;-13.285714;-12.335023;0.000001;
2;2;-1/40.000000;-471.920668;0.000773;0.954945;1.000025;-13.285714;-12.336177;0.000001;
2;2;-1/80.000000;-469.105672;0.000194;0.955164;1.000016;-13.285714;-12.338439;0.000001;
2;3;-1/1.000000;-512.099947;0.030058;0.954227;1.000020;-13.285714;-12.334084;0.000001;
2;3;-1/2.000000;-504.303818;0.022757;0.954621;1.000021;-13.285714;-12.334136;0.000001;
2;3;-1/5.000000;-491.457829;0.011608;0.955436;1.000021;-13.285714;-12.334308;0.000001;
2;3;-1/10.000000;-482.395078;0.005274;0.955560;1.000020;-13.285714;-12.334591;0.000001;
2;3;-1/20.000000;-475.658298;0.001924;0.954691;1.000023;-13.285714;-12.335186;0.000001;
2;4;-1/1.000000;-528.512854;0.044961;0.954003;1.000020;-13.285714;-12.334016;0.000001;
2;4;-1/2.000000;-538.512496;0.052787;0.953911;1.000020;-13.285714;-12.333986;0.000001;
2;4;-1/5.000000;-546.122624;0.057666;0.953450;1.000019;-13.285714;-12.333962;0.000001;
2;4;-1/10.000000;-548.992900;0.059210;0.953045;1.000019;-13.285714;-12.333954;0.000001;
2;4;-1/20.000000;-550.496912;0.059948;0.952959;1.000019;-13.285714;-12.333950;0.000001;

