FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-343.776698;-;-;-;-37.714634;-35.544344;-;
0;-;0.300000;-348.528268;-;-;-;-37.714634;-35.544344;-;
0;-;0.500000;-351.695981;-;-;-;-37.714634;-35.544344;-;
0;-;0.700000;-354.863694;-;-;-;-37.714634;-35.544344;-;
0;-;1.000000;-359.615264;-;-;-;-37.714634;-35.544344;-;
1;0;0.000000;-346.529075;-;-;-;-37.714634;-35.544344;-;
1;1;0.500000;-351.051546;-;-;-;-37.714634;-35.544344;-;
1;1;2.000000;-349.200433;-;-;-;-37.714634;-35.544344;-;
1;1;5.000000;-346.369117;-;-;-;-37.714634;-35.544344;-;
1;1;10.000000;-344.360980;-;-;-;-37.714634;-35.544344;-;
1;2;0.500000;-347.126631;-;-;-;-37.714634;-35.544344;-;
1;2;2.000000;-349.154484;-;-;-;-37.714634;-35.544344;-;
1;2;5.000000;-353.034647;-;-;-;-37.714634;-35.544344;-;
1;2;10.000000;-356.829657;-;-;-;-37.714634;-35.544344;-;
1;3;0.500000;-345.992975;-;-;-;-37.714634;-35.544344;-;
1;3;2.000000;-344.806978;-;-;-;-37.714634;-35.544344;-;
1;3;5.000000;-343.925426;-;-;-;-37.714634;-35.544344;-;
1;3;10.000000;-343.780066;-;-;-;-37.714634;-35.544344;-;
1;4;2.000000;-348.803153;-;-;-;-37.714634;-35.544344;-;
1;4;5.000000;-353.517053;-;-;-;-37.714634;-35.544344;-;
1;4;10.000000;-357.267313;-;-;-;-37.714634;-35.544344;-;
1;5;2.000000;-344.254997;-;-;-;-37.714634;-35.544344;-;
1;5;5.000000;-343.779208;-;-;-;-37.714634;-35.544344;-;
1;5;10.000000;-343.776698;-;-;-;-37.714634;-35.544344;-;
2;0;0/0.000000;-353.570829;0.000099;0.836515;1.000012;-37.714634;-35.906833;0.000003;
2;1;-1/1.000000;-353.224212;0.000106;0.832060;1.000015;-37.714634;-35.904886;0.000003;
2;2;-1/0.500000;-353.496493;0.000102;0.834707;1.000007;-37.714634;-35.906231;0.000003;
2;2;-1/2.000000;-353.262231;0.000109;0.828449;1.000011;-37.714634;-35.903821;0.000003;
2;2;-1/5.000000;-352.744181;0.000128;0.807995;1.000022;-37.714634;-35.895608;0.000002;
2;2;-1/10.000000;-351.723284;0.000166;0.741360;1.000091;-37.714634;-35.868751;0.000002;
2;2;-1/20.000000;-349.473310;0.000204;0.578126;1.000110;-37.714634;-35.787369;0.000002;
2;2;-1/40.000000;-346.799665;0.000081;0.518838;1.000118;-37.714634;-35.674553;0.000001;
2;2;-1/80.000000;-345.288957;0.000020;0.516486;1.000114;-37.714634;-35.609548;0.000000;
2;3;-1/1.000000;-352.595940;0.000114;0.818501;1.000036;-37.714634;-35.897620;0.000003;
2;3;-1/2.000000;-352.213150;0.000123;0.801706;1.000061;-37.714634;-35.888779;0.000002;
2;3;-1/5.000000;-351.109869;0.000137;0.739998;1.000104;-37.714634;-35.854215;0.000002;
2;3;-1/10.000000;-349.569528;0.000132;0.668520;1.000104;-37.714634;-35.793145;0.000002;
2;3;-1/20.000000;-347.713089;0.000084;0.603074;1.000107;-37.714634;-35.713756;0.000001;
2;4;-1/1.000000;-353.182121;0.000104;0.833291;1.000010;-37.714634;-35.905669;0.000003;
2;4;-1/2.000000;-353.376396;0.000102;0.835749;1.000011;-37.714634;-35.906633;0.000003;
2;4;-1/5.000000;-353.492681;0.000101;0.836456;1.000006;-37.714634;-35.906855;0.000003;
2;4;-1/10.000000;-353.531642;0.000100;0.837054;1.000010;-37.714634;-35.906872;0.000003;
2;4;-1/20.000000;-353.551157;0.000099;0.836911;1.000010;-37.714634;-35.906849;0.000003;

