FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-147.818053;-;-;-;-19.075000;-17.377180;-;
0;-;0.300000;-150.313180;-;-;-;-19.075000;-17.377180;-;
0;-;0.500000;-151.976598;-;-;-;-19.075000;-17.377180;-;
0;-;0.700000;-153.640016;-;-;-;-19.075000;-17.377180;-;
0;-;1.000000;-156.135144;-;-;-;-19.075000;-17.377180;-;
1;0;0.000000;-148.752477;-;-;-;-19.075000;-17.377180;-;
1;1;0.500000;-151.574840;-;-;-;-19.075000;-17.377180;-;
1;1;2.000000;-150.440712;-;-;-;-19.075000;-17.377180;-;
1;1;5.000000;-148.864677;-;-;-;-19.075000;-17.377180;-;
1;1;10.000000;-147.986910;-;-;-;-19.075000;-17.377180;-;
1;2;0.500000;-148.972734;-;-;-;-19.075000;-17.377180;-;
1;2;2.000000;-149.753792;-;-;-;-19.075000;-17.377180;-;
1;2;5.000000;-151.416900;-;-;-;-19.075000;-17.377180;-;
1;2;10.000000;-153.431180;-;-;-;-19.075000;-17.377180;-;
1;3;0.500000;-148.558871;-;-;-;-19.075000;-17.377180;-;
1;3;2.000000;-148.146030;-;-;-;-19.075000;-17.377180;-;
1;3;5.000000;-147.860579;-;-;-;-19.075000;-17.377180;-;
1;3;10.000000;-147.818836;-;-;-;-19.075000;-17.377180;-;
1;4;2.000000;-149.581920;-;-;-;-19.075000;-17.377180;-;
1;4;5.000000;-151.551822;-;-;-;-19.075000;-17.377180;-;
1;4;10.000000;-153.609400;-;-;-;-19.075000;-17.377180;-;
1;5;2.000000;-147.923035;-;-;-;-19.075000;-17.377180;-;
1;5;5.000000;-147.818201;-;-;-;-19.075000;-17.377180;-;
1;5;10.000000;-147.818053;-;-;-;-19.075000;-17.377180;-;
2;0;0/0.000000;-152.901974;0.000055;0.081812;1.001449;-19.075000;-17.455372;0.000001;
2;1;-1/1.000000;-152.860461;0.000055;0.056201;1.001732;-19.075000;-17.453552;0.000001;
2;2;-1/0.500000;-152.882262;0.000057;0.071822;1.001084;-19.075000;-17.452578;0.000001;
2;2;-1/2.000000;-152.866437;0.000059;0.075103;1.001541;-19.075000;-17.452444;0.000001;
2;2;-1/5.000000;-152.802875;0.000075;0.064908;1.002231;-19.075000;-17.450058;0.000001;
2;2;-1/10.000000;-152.704669;0.000093;0.056813;1.004255;-19.075000;-17.446810;0.000001;
2;2;-1/20.000000;-152.433374;0.000124;0.042299;1.001779;-19.075000;-17.437094;0.000001;
2;2;-1/40.000000;-151.831494;0.000291;0.014708;1.005284;-19.075000;-17.423540;0.000000;
2;2;-1/80.000000;-150.538850;0.001053;0.002359;1.029409;-19.075000;-17.405619;0.000000;
2;3;-1/1.000000;-152.787815;0.000058;0.069240;1.002033;-19.075000;-17.449698;0.000001;
2;3;-1/2.000000;-152.727886;0.000064;0.057873;1.001219;-19.075000;-17.446509;0.000001;
2;3;-1/5.000000;-152.589760;0.000082;0.037319;1.001796;-19.075000;-17.442227;0.000001;
2;3;-1/10.000000;-152.314714;0.000120;0.032034;1.002317;-19.075000;-17.433308;0.000000;
2;3;-1/20.000000;-151.804029;0.000214;0.018170;1.003952;-19.075000;-17.423056;0.000000;
2;4;-1/1.000000;-152.854706;0.000060;0.078407;1.001382;-19.075000;-17.452818;0.000001;
2;4;-1/2.000000;-152.877916;0.000059;0.063203;1.001505;-19.075000;-17.453592;0.000001;
2;4;-1/5.000000;-152.884793;0.000065;0.068855;1.003570;-19.075000;-17.453616;0.000001;
2;4;-1/10.000000;-152.892446;0.000061;0.079577;1.001488;-19.075000;-17.452572;0.000001;
2;4;-1/20.000000;-152.903910;0.000054;0.079767;1.002095;-19.075000;-17.453396;0.000001;

