FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-336.372013;-;-;-;0.000000;3.392090;-;
0;-;0.300000;-393.886261;-;-;-;0.000000;2.374463;-;
0;-;0.500000;-432.229093;-;-;-;0.000000;1.696045;-;
0;-;0.700000;-470.571926;-;-;-;0.000000;1.017627;-;
0;-;1.000000;-528.086174;-;-;-;0.000000;0.000000;-;
1;0;0.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;1;0.500000;-420.308978;-;-;-;0.000000;1.906953;-;
1;1;2.000000;-387.931892;-;-;-;0.000000;2.479816;-;
1;1;5.000000;-350.915100;-;-;-;0.000000;3.134772;-;
1;1;10.000000;-337.655127;-;-;-;0.000000;3.369387;-;
1;2;0.500000;-336.372013;-;-;-;0.000000;3.392090;-;
1;2;2.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;2;5.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;2;10.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;3;0.500000;-336.372013;-;-;-;0.000000;3.392090;-;
1;3;2.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;3;5.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;3;10.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;4;2.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;4;5.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;4;10.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;5;2.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;5;5.000000;-336.372013;-;-;-;0.000000;3.392090;-;
1;5;10.000000;-336.372013;-;-;-;0.000000;3.392090;-;
2;0;0/0.000000;-431.933740;0.058516;0.880652;1.000007;0.000000;1.153586;0.000019;
2;1;-1/1.000000;-408.459736;0.044215;0.879192;1.000004;0.000000;1.177707;0.000020;
2;2;-1/0.500000;-426.064221;0.058009;0.880937;1.000007;0.000000;1.159703;0.000020;
2;2;-1/2.000000;-409.441213;0.050789;0.876460;1.000008;0.000000;1.178012;0.000020;
2;2;-1/5.000000;-385.486207;0.028566;0.874881;0.999998;0.000000;1.216302;0.000020;
2;2;-1/10.000000;-368.061527;0.009856;0.874247;1.000003;0.000000;1.283078;0.000021;
2;2;-1/20.000000;-357.577918;0.002824;0.861142;1.000012;0.000000;1.418741;0.000023;
2;2;-1/40.000000;-351.074786;0.000989;0.784415;1.000021;0.000000;1.703533;0.000024;
2;2;-1/80.000000;-345.930314;0.000457;0.588023;1.000059;0.000000;2.223009;0.000021;
2;3;-1/1.000000;-394.164906;0.030951;0.877643;1.000006;0.000000;1.192925;0.000020;
2;3;-1/2.000000;-385.202314;0.022299;0.876280;1.000002;0.000000;1.206842;0.000020;
2;3;-1/5.000000;-371.521787;0.010442;0.875178;1.000002;0.000000;1.248878;0.000021;
2;3;-1/10.000000;-362.446288;0.004615;0.872444;1.000008;0.000000;1.319762;0.000022;
2;3;-1/20.000000;-355.525259;0.001848;0.850095;1.000016;0.000000;1.466219;0.000023;
2;4;-1/1.000000;-408.448539;0.044232;0.878604;1.000006;0.000000;1.177550;0.000020;
2;4;-1/2.000000;-418.812628;0.052035;0.880566;1.000006;0.000000;1.167374;0.000020;
2;4;-1/5.000000;-426.341946;0.056315;0.880598;1.000006;0.000000;1.159886;0.000020;
2;4;-1/10.000000;-429.080772;0.057525;0.880815;1.000006;0.000000;1.156890;0.000019;
2;4;-1/20.000000;-430.493712;0.058062;0.881451;1.000007;0.000000;1.155283;0.000019;

